delta_x	delta_ca	gamma_category_id	gamma_encoding	gamma_scs	status
-1.303607	-39.989980	154	28652	14,0,1,0,0	ok
-1.301603	-39.989980	154	28652	14,0,1,0,0	ok
-1.299599	-39.989980	154	28652	14,0,1,0,0	ok
-1.297595	-39.989980	154	28652	14,0,1,0,0	ok
-1.295591	-39.989980	154	28652	14,0,1,0,0	ok
-1.293587	-39.989980	154	28652	14,0,1,0,0	ok
-1.291583	-39.989980	154	28652	14,0,1,0,0	ok
-1.289579	-39.989980	965	4837577	14,0,-1,0,0,0	ok
-1.287575	-39.989980	965	4837577	14,0,-1,0,0,0	ok
-1.285571	-39.989980	88	11147	14,0,-1,0,0	ok
-1.283567	-39.989980	88	11147	14,0,-1,0,0	ok
-1.281563	-39.989980	88	11147	14,0,-1,0,0	ok
-1.279559	-39.989980	88	11147	14,0,-1,0,0	ok
-1.277555	-39.989980	88	11147	14,0,-1,0,0	ok
-1.275551	-39.989980	88	11147	14,0,-1,0,0	ok
-1.273547	-39.989980	88	11147	14,0,-1,0,0	ok
-1.271543	-39.989980	88	11147	14,0,-1,0,0	ok
-1.269539	-39.989980	88	11147	14,0,-1,0,0	ok
-1.267535	-39.989980	88	11147	14,0,-1,0,0	ok
-1.265531	-39.989980	88	11147	14,0,-1,0,0	ok
-1.263527	-39.989980	88	11147	14,0,-1,0,0	ok
-1.261523	-39.989980	88	11147	14,0,-1,0,0	ok
-1.259519	-39.989980	88	11147	14,0,-1,0,0	ok
-1.257515	-39.989980	479	241832	14,0,-1,0,-1	ok
-1.255511	-39.989980	1816	731741612	14,0,-1,0,-1,0	ok
-1.253507	-39.989980	1423	69743927	14,0,-1,0,1	ok
-1.251503	-39.989980	1423	69743927	14,0,-1,0,1	ok
-1.249499	-39.989980	3492	2671083149712722	14,0,-1,0,-3	ok
-1.247495	-39.989980	1736	517148852	14,0,-1,-1,1	ok
-1.245491	-39.989980	307	94802	14,0,-1,-1,0	ok
-1.243487	-39.989980	1350	43669157	14,0,-1,-1,0,0	ok
-1.241483	-39.989980	1350	43669157	14,0,-1,-1,0,0	ok
-1.239479	-39.989980	745	1231637	14,0,-1,1,0	ok
-1.237475	-39.989980	745	1231637	14,0,-1,1,0	ok
-1.235471	-39.989980	745	1231637	14,0,-1,1,0	ok
-1.233467	-39.989980	172	33902	14,0,-1,1	ok
-1.231463	-39.989980	1551	165156197	14,0,-1,2,0	ok
-1.229459	-39.989980	1886	1020593582	14,0,-1,3	ok
-1.227455	-39.989980	4362	1905213356734001000	14,0,0,13	ok
-1.225451	-39.989980	3376	139467370547102	14,0,0,7	ok
-1.223447	-39.989980	2721	38000420375	14,0,0,4	ok
-1.221443	-39.989980	2496	7661053625	14,0,0,3,0	ok
-1.219439	-39.989980	2539	9830052977	14,0,0,-3,-1	ok
-1.217435	-39.989980	2015	1422071087	14,0,0,2,-1	ok
-1.215431	-39.989980	1493	111116750	14,0,0,2,0	ok
-1.213427	-39.989980	980	5086427	14,0,0,2	ok
-1.211423	-39.989980	1076	9277250	14,0,0,-2,0	ok
-1.209419	-39.989980	1560	168645767	14,0,0,-2,-1	ok
-1.207415	-39.989980	101	13667	14,0,0,1	ok
-1.205411	-39.989980	3003	610369410857	14,0,0,1,-2	ok
-1.203407	-39.989980	101	13667	14,0,0,1	ok
-1.201403	-39.989980	1170	16247822	14,0,0,1,-1	ok
-1.199399	-39.989980	628	616577	14,0,0,1,0	ok
-1.197395	-39.989980	628	616577	14,0,0,1,0	ok
-1.195391	-39.989980	628	616577	14,0,0,1,0	ok
-1.193387	-39.989980	628	616577	14,0,0,1,0	ok
-1.191383	-39.989980	628	616577	14,0,0,1,0	ok
-1.189379	-39.989980	628	616577	14,0,0,1,0	ok
-1.187375	-39.989980	191	39875	14,0,0,-1,0	ok
-1.185371	-39.989980	191	39875	14,0,0,-1,0	ok
-1.183367	-39.989980	191	39875	14,0,0,-1,0	ok
-1.181363	-39.989980	191	39875	14,0,0,-1,0	ok
-1.179359	-39.989980	191	39875	14,0,0,-1,0	ok
-1.177355	-39.989980	191	39875	14,0,0,-1,0	ok
-1.175351	-39.989980	759	1321097	14,0,0,-1,-1	ok
-1.173347	-39.989980	1684	366054125	14,0,0,-1,1	ok
-1.171343	-39.989980	2877	144289502582	14,0,0,-1,-2	ok
-1.169339	-39.989980	13	1625	14,0,0,-1	ok
-1.167335	-39.989980	4	752	14,0,0,0	ok
-1.165331	-39.989980	3746	274761577007812877	14,0,0,0,3	ok
-1.163327	-39.989980	3215	12487855451207	14,0,0,0,2	ok
-1.161323	-39.989980	2693	30799013927	14,0,0,0,-2	ok
