delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-33.77755511	-43.78140215	0.8738772224	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2405.958441,10024.16297,17643.50915,25263.39896,32883.52616,40503.75407,48124.02403,55744.31163	5390.842903,12824.72897,20447.45444,28066.20955,35685.82763,43305.83747,50926.01577,58546.26506	0.9418979432,0.939914773,0.9396329944,0.9395151652,0.939466198,0.9394451569,0.9394372863,0.9394338139	-0.9630921134,-0.5971212863,-0.9402442667,-0.9397714873,-0.9395728511,-0.9394899744,-0.9394554767,-0.9394411297	ok
-1.49799599	-33.77755511	-44.21114052	0.8710838736	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2811.350343,10429.82466,18049.38922,25669.4735,33289.78611,40910.19623,48530.64749,56151.11602	5389.372878,12838.4898,20460.93546,28079.89912,35699.70532,43319.897,50940.2557,58560.68528	0.9410591511,0.9399241104,0.9396547656,0.9395415191,0.9394944197,0.9394748129,0.9394664319,0.9394628484	-0.9630802099,-0.6289679366,-0.9402595951,-0.939797135,-0.9396015382,-0.9395193694,-0.9394849301,-0.9394705072	ok
-1.49599198	-33.77755511	-44.63767031	0.8682905247	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3018.894288,10637.58747,18257.34786,25877.62151,33498.12253,41118.72133,48739.36157,56360.01946	5387.915033,12853.0409,20475.23942,28094.42079,35714.4243,43334.8069,50955.35495,58575.97375	0.9413938349,0.9399505481,0.9396840613,0.939571315,0.9395237449,0.9395032405,0.9394957127,0.9394919524	-0.963068308,-0.662894018,-0.9402746673,-0.9398225897,-0.9396301082,-0.9395486925,-0.9395143327,-0.939499844	ok
-1.49398798	-33.77755511	-45.06614794	0.8658315443	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3162.327839,10781.24388,18401.20657,26021.67736,33642.37514,41263.17135,48884.00951,56504.86562	5386.469266,12868.43616,20490.42164,28109.82988,35730.03993,43350.62252,50971.36892,58592.18587	0.9416353019,0.9399782748,0.939713985,0.9396018147,0.9395540727,0.9395327346,0.9395243729,0.9395205135	-0.9630564079,-0.6986219002,-0.9402894895,-0.939847851,-0.9396585588,-0.9395779421,-0.939543684,-0.9395291372	ok
-1.49198397	-33.77755511	-45.49528053	0.8639135837	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3332.840798,10951.98853,18572.16257,26192.83957,33813.74313,41434.74544,49055.79045,56676.85371	5385.035481,12884.73489,20506.54269,28126.18699,35746.61281,43367.40449,50988.35825,58609.38231	-0.9382612653,-0.9400059913,-0.9397438248,-0.939631745,-0.9395831431,-0.9395628335,-0.9395536867,-0.9395498143	-0.9630445094,-0.735682939,-0.9403040707,-0.9398729204,-0.9396868897,-0.9396071172,-0.9395729831,-0.9395583886	ok
-1.48997996	-33.77755511	-45.92020305	0.8624577090	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3464.729722,11084.11769,18704.51206,26325.40416,33946.52233,41567.73982,49189.00055,56810.27991	5383.613579,12902.00228,20523.66895,28143.55849,35764.20932,43385.21923,51006.38938,58627.62954	-0.9380082192,-0.9400340229,-0.9397736619,-0.9396617931,-0.9396130877,-0.9395926434,-0.9395833173,-0.9395791423	-0.9630326125,-0.7733840054,-0.9403184194,-0.9398977998,-0.9397150998,-0.9396362168,-0.9396022296,-0.9395875971	ok
-1.48797595	-33.77755511	-46.33609727	0.8616217876	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3638.158577,11257.79471,18878.41777,26499.53381,34120.87547,41742.31699,49363.8024,56985.30673	5382.203465,12920.31012,20541.87317,28162.01712,35782.90225,43404.13951,51025.5351,58647.00036	-0.9403206541,-0.9400615483,-0.9398036471,-0.9396913639,-0.9396421835,-0.9396219791,-0.9396119554,-0.9396086469	-0.963020717,-0.8107975744,-0.9403325475,-0.9399224908,-0.9397431882,-0.93966524,-0.9396314223,-0.9396167623	ok
-1.48597194	-33.77755511	-46.73624918	0.8612479522	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	40.20707249,3754.063868,11373.95873,18994.82052,26616.16991,34237.7441,41859.41886,49481.13791	5380.805043,12939.7374,20561.23511,28181.64266,35802.77134,43424.24514,51045.87524,58667.57462	0.9696085077,-0.9401213845,-0.9400888401,-0.9398333043,-0.9397209143,-0.9396727315,-0.939651324,-0.9396413988	-0.963008823,-0.846793749,-0.940346467,-0.9399469971,-0.9397711555,-0.9396941852,-0.9396605605,-0.9396458826	ok
-1.48396794	-33.77755511	-47.11554959	0.8608741168	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	68.60266173,3692.301897,11312.46294,18933.57178,26555.16317,34176.97886,41798.89567,49420.85729	5379.418219,12960.37104,20581.8422,28202.52252,35823.90405,43445.62356,51067.49727,58689.43981	0.9841105517,0.9413893103,0.940116679,0.9398631415,0.9397508222,0.9397024205,0.9396807503,0.9396711209	-0.9629969304,-0.8801292185,-0.9403601931,-0.939971323,-0.9397990018,-0.939723053,-0.9396896439,-0.9396749592	ok
-1.48196393	-33.77755511	-41.09920826	0.8788502276	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7924.540967,15544.06919,23164.85701,30786.41114,38408.34349,46030.45089,53652.63714,61274.85853	5378.0429,12982.30664,20603.79029,28224.75257,35846.39623,43468.37066,51090.49708,58712.69185	0.941434724,0.9404788084,0.9400426965,0.939847432,0.939761342,0.9397226098,0.9397055666,0.9396986958	-0.962985039,-0.9095937899,-0.9403737427,-0.9399954735,-0.9398267275,-0.9397518423,-0.9397186724,-0.9397039917	ok
