delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_scs	gamma_scs	T_signs	gamma_signs	T_event_times	gamma_event_times	T_tangent_V	gamma_tangent_V	status
-1.11306533	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.10804020	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.10301508	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.09798995	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.09296482	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.08793970	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.08291457	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.07788945	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.07286432	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.06783920	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.06281407	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.05778894	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.05276382	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.04773869	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.04271357	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.03768844	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.03266332	-45.00000000												error: T SSCS does not start with ±1: Int64[]
-1.02763819	-45.00000000												error: T SSCS does not start with ±1: [-2]
-1.02261307	-45.00000000												error: T SSCS does not start with ±1: [-2]
-1.01758794	-45.00000000												error: T SSCS does not start with ±1: [-2]
-1.01256281	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -1, -1, -1, -1]
-1.00753769	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-1.00251256	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-0.99748744	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.99246231	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.98743719	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.98241206	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.97738693	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.97236181	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.96733668	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.96231156	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.95728643	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.95226131	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.94723618	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.94221106	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.93718593	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.93216080	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.92713568	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.92211055	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.91708543	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.91206030	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.90703518	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.90201005	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.89698492	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.89195980	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.88693467	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.88190955	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.87688442	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.87185930	-45.00000000												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.86683417	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-0.86180905	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-0.85678392	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-0.85175879	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-0.84673367	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -1, -1, -1, -1, -1]
-0.84170854	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.83668342	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.83165829	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
