category_id	count	symbol
1	4823	-4
2	149	-17
3	89	16
4	48276	-1
5	19301	-2
6	3034	-5
7	270901	0
8	8798	-3
9	1821	-16
10	33438	1
11	4826	-8
12	84072	-9
13	62655	-10
14	12752	2
15	6490	3
16	3960	4
17	3009	5
18	2274	-6
19	2952	6
20	13015	-13
21	3837	-15
22	2329	-7
23	28405	-12
24	6576	-14
25	42337	10
26	1312	15
27	12543	12
28	44418	-11
29	2948	14
30	5697	13
31	24005	11
32	56654	8
33	4601	7
34	70368	9
