category_id	count	symbol
1	836	-5
2	556871	missing_k
3	44653	-1
4	3583	-3
5	10895	-2
6	1539	-4
7	534	-8
8	366	-7
9	521	-6
10	22784	1
11	195721	0
12	6282	2
13	173	-16
14	807	5
15	41	15
16	1218	9
17	1246	4
18	360	-15
19	447	-11
20	2498	3
21	347	-13
22	672	6
23	106	14
24	353	-14
25	8513	8
26	27989	-9
27	398	-12
28	795	10
29	164	13
30	463	-10
31	753	7
32	466	11
33	271	12
