symbol_index	T_unique	gamma_unique	plot_path	T_legend_path	gamma_legend_path
1	2	20	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol01_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol01_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol01_gamma_legend.tsv
2	34	33	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol02_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol02_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol02_gamma_legend.tsv
3	34	35	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol03_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol03_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol03_gamma_legend.tsv
4	35	33	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol04_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol04_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol04_gamma_legend.tsv
5	33	33	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol05_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol05_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol05_gamma_legend.tsv
6	33	19	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol06_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol06_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol06_gamma_legend.tsv
7	31	6	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol07_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol07_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol07_gamma_legend.tsv
8	32	3	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol08_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol08_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol08_gamma_legend.tsv
9	31	1	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol09_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol09_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol09_gamma_legend.tsv
10	31	1	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol10_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol10_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol10_gamma_legend.tsv
11	30	1	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol11_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol11_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol11_gamma_legend.tsv
12	28	1	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol12_contours.png	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol12_T_legend.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-049/gcs_results/grid1000_seq12_symbol12_gamma_legend.tsv
