delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.611111	-45.000000	17505000363921614390	11277341565956793520	-1,0,-15,-15	15,-1,2,-15	ok
-0.611111	-42.222222	5939583698530895609	3446948908	-1,-12,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	1862402202891664994	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	31288139504878815	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.611111	-22.777778	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.611111	-20.000000	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
