delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-32.56281407	-44.76062445	0.8589725723	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9064.837256,16683.98546,24303.4757,31923.16006,39542.95064,47162.79851,54782.67678,62402.5712	5305.578449,18347.04288,25968.63495,33586.37455,41204.29559,48822.92362,56442.09375,64061.59664	0.9431404987,0.9429769624,0.9428896385,0.9428438108,0.9428204998,0.9428071356,0.942800336,0.9427966266	-0.9633372876,-0.9466565889,-0.9449932092,-0.9439850672,-0.9434282204,-0.9431295834,-0.9429710043,-0.9428871054	ok
-1.44472362	-32.56281407	-45.23620439	0.8561792234	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9321.344384,16942.01098,24562.94287,32184.0259,39805.19252,47426.40472,55047.64167,62668.89201	5303.384819,18342.93847,25966.55171,33585.87888,41205.1807,48825.12621,56445.60652,64066.42842	0.9431267238,0.943002981,0.942936341,0.9428998776,0.9428802169,0.942870311,0.9428652508,0.942862251	-0.9633078035,-0.9467146352,-0.9450953567,-0.9440936155,-0.9435289698,-0.943220243,-0.9430531978,-0.9429631663	ok
-1.43969849	-32.56281407	-45.70640687	0.8545956313	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	3388.212271,11010.42192,18632.83813,26255.37283,33877.97417,41500.61224,49123.2707,56745.94034	5301.240576,18338.91458,25964.63983,33585.6482,41206.41015,48827.74199,56449.59627,64071.79916	-0.9429035124,-0.943038248,-0.9429861747,-0.942958175,-0.9429416633,-0.9429338645,-0.9429290652,-0.9429259742	-0.9632783149,-0.9467718362,-0.9451975746,-0.9442034178,-0.9436314778,-0.9433126231,-0.9431368127,-0.9430402792	ok
-1.43467337	-32.56281407	-46.15980829	0.8524710195	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3181.057883,10804.80987,18428.7358,26052.76532,33676.85411,41300.97631,48925.11727,56549.26865	5299.14488,18334.96273,25962.89165,33585.6777,41207.98183,48830.77063,56454.06363,64077.71002	0.9475114333,0.943091215,0.943045107,0.9430205035,0.9430062276,0.942998001,0.9429931116,0.9429912798	-0.9632488213,-0.9468281685,-0.9452998394,-0.9443145138,-0.9437358539,-0.943406875,-0.9432220111,-0.9431185957	ok
-1.42964824	-32.56281407	-46.60176513	0.8505530588	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	9817.945233,17443.27503,25068.76392,32694.34687,40319.98449,47945.65355,55571.34063,63197.03784	5297.096912,18331.07412,25961.29917,33585.96237,41209.89374,48834.21219,56459.00984,64084.16284	0.9432227577,0.9431486905,0.9431069802,0.9430836584,0.9430705481,0.9430628965,0.9430578144,0.9430561166	-0.9632193222,-0.9468836078,-0.9454021251,-0.9444269429,-0.9438422137,-0.9435031616,-0.9433089726,-0.9431982874	ok
-1.42462312	-32.56281407	-47.02864585	0.8498448549	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	14.52037074,10026.73005,17653.75178,25280.8964,32908.11462,40535.37601,48162.66277,55789.96421	5295.095873,18327.23963,25959.85401,33586.497,41212.14402,48838.06717,56464.43682,64091.16025	0.9634558758,0.9432501145,0.9431937323,0.9431616675,0.9431423296,0.9431318456,0.9431254067,0.9431221367	-0.9631898173,-0.9469381282,-0.9455044023,-0.9445407437,-0.9439506787,-0.9436016594,-0.9433978942,-0.9432795474	ok
-1.41959799	-32.56281407	-47.42784186	0.8496776706	full	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	29.43863229,3701.431546,11330.19054,18959.04482,26587.95735,34216.90471,41845.87279,49474.85316	5293.140983,18323.44976,25958.54734,33587.27611,41214.7309,48842.3366,56470.34722,64098.70583	0.9989030859,-0.9395250541,-0.9432438529,-0.9432181259,-0.9432027182,-0.9431939782,-0.9431887363,-0.9431853905	-0.9631603063,-0.9469917027,-0.9456066391,-0.944655954,-0.9440613762,-0.9437025589,-0.9434889935,-0.9433625911	ok
-1.41457286	-32.56281407	-40.75372887	0.8689371354	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7531.40868,15162.38215,22791.74789,30421.11284,38050.82987,45680.88507,53311.18863,60941.65759	5291.23148,18319.6946,25957.36983,33588.29394,41217.65275,48847.02199,56476.74463,64106.80426	0.945726031,0.9447840343,0.9441814037,0.9438103951,0.9435852092,0.943449288,0.9433677077,0.9433185412	-0.9631307887,-0.9470443027,-0.9457087998,-0.9447726103,-0.944174441,-0.9438060664,-0.9435825112,-0.9434476625	ok
-1.40954774	-32.56281407	-42.04061228	0.8661437865	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7739.81745,15371.65864,23002.84112,30634.20434,38265.89762,45897.87458,53530.0554,61162.37211	5289.36662,18315.96377,25956.31163,33589.54431,41220.90802,48852.12553,56483.63362,64115.46154	0.9452516081,0.944521584,0.9440570928,0.9437681141,0.9435899968,0.9434804857,0.9434131685,0.9433720641	-0.9631012641,-0.9470958987,-0.9458108455,-0.9448907477,-0.9442900137,-0.9439124049,-0.9436787131,-0.9435350356	ok
-1.40452261	-32.56281407	-42.79240208	0.8633504376	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7899.012792,15532.34361,23165.51916,30798.94521,38432.66198,46066.61205,53700.72755,61334.95367	5287.545674,18312.24635,25955.36223,33591.02066,41224.49526,48857.65007,56491.01999,64124.68519	0.9448762286,0.9443210063,0.943966602,0.9437429047,0.9436034523,0.9435162365,0.9434613037,0.9434278511	-0.9630717322,-0.9471464599,-0.9459127336,-0.9450103994,-0.9444082433,-0.9440218161,-0.9437778932,-0.9436250188	ok
