delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	runtime_seconds	status	error
-1.500000000	-42.222222222	0	-4.9944224972e-05	-9.15015426963e-05	-0.000115993060564	-0.00398693195663	-0.0102393911513	-0.0146628542337	45056.749233	5000.000000	true	9	2.832292	ok	
-1.388888889	-42.222222222	0	-3.43529380079e-05	-4.97286215612e-05	-7.75533520673e-05	-0.00676698842083	-0.011453685014	-0.0170680772355	55065.613752	5000.000000	true	11	0.106768	ok	
-1.277777778	-42.222222222	0	-5.37730779803e-05	-6.62792839313e-05	-0.00012230989212	-0.00920000518129	-0.0138067278337	-0.0173324866337	40029.208935	5000.000000	true	8	0.096600	ok	
-1.166666667	-42.222222222	3.00101340692	0.000154517447965	-6.65589050559e-05	-7.91178535005e-05	-0.00872373100841	-0.0144489819607	-0.0310859347844	30023.761820	5000.000000	true	6	0.232875	ok	
-1.055555556	-42.222222222	3.00870492072	5.69054941554e-05	2.05241976399e-05	1.03715326685e-06	-0.00901407922895	-0.0145820121676	-0.0334571197578	55031.432891	5000.000000	true	11	0.489427	ok	
-0.944444444	-42.222222222	3.00831090237	8.99682212877e-05	5.97778117685e-08	-1.82020400554e-05	-0.0086423779082	-0.0144677028532	-0.03049421693	45028.943911	5000.000000	true	9	0.325294	ok	
-0.833333333	-42.222222222	3.01770704849	0.000121549520724	3.07232240101e-05	1.08700014575e-06	-0.00866094340614	-0.0146328003179	-0.0330433298726	40005.809165	5000.000000	true	8	0.375765	ok	
-0.722222222	-42.222222222	0	-1.82291215141e-05	-2.37362677561e-05	-8.70182908445e-05	-0.00898568495194	-0.0151888475462	-0.0463043164814	30041.951579	5000.000000	true	6	0.491303	ok	
-0.611111111	-42.222222222	3.00177966271	2.48850303435e-05	2.1862715179e-05	-2.98298558112e-05	-0.00950623372759	-0.0152327596605	-0.0441419948238	50014.194428	5000.000000	true	10	0.768020	ok	
-0.500000000	-42.222222222	0	-1.65641102861e-05	-4.32586118986e-05	-7.40512184143e-05	-0.00997935185026	-0.0154128539489	-0.0462949685275	35012.565575	5000.000000	true	7	0.546818	ok	
