delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	runtime_seconds	status	error
-1.500000000	-31.111111111	0	-4.4665396144e-05	-4.80202268431e-05	-7.30418818194e-05	-0.00538169176746	-0.0112001227964	-0.014996824917	65019.686745	5000.000000	true	13	2.852800	ok	
-1.388888889	-31.111111111	2.79145600018	4.34353577893e-05	2.1610980729e-05	-8.2185666043e-05	-0.00903286621396	-0.014528660315	-0.0283152255476	30056.368020	5000.000000	true	6	0.136474	ok	
-1.277777778	-31.111111111	3.00580531902	5.25987856394e-05	3.75469404575e-06	-4.84061563723e-07	-0.00962383254208	-0.0151704020448	-0.0421282323317	30012.674808	5000.000000	true	6	0.404373	ok	
-1.166666667	-31.111111111	2.9690009185	5.50177195382e-05	-1.54653744592e-06	-5.5181766159e-05	-0.0101877216151	-0.0153430076668	-0.0425434767778	35011.301559	5000.000000	true	7	0.608846	ok	
-1.055555556	-31.111111111	1.65792195009	3.31483240654e-05	-5.03833685152e-05	-5.61417815526e-05	-0.0102680024659	-0.0153997421593	-0.0426426859094	45002.676006	5000.000000	true	9	0.568546	ok	
-0.944444444	-31.111111111	2.09341495204	6.39630571407e-05	-4.63445787138e-05	-0.000188604479705	-0.0102325846608	-0.0154508914458	-0.04432165456	45004.497607	5000.000000	true	9	0.633095	ok	
-0.833333333	-31.111111111	0	-3.80478736786e-05	-4.16727534838e-05	-0.00019540761394	-0.0101418046915	-0.0154375170944	-0.0440790529868	60026.821769	5000.000000	true	12	0.792817	ok	
-0.722222222	-31.111111111	0	-4.19126185545e-05	-5.75549912546e-05	-0.000277612162525	-0.0104088584029	-0.0155162297857	-0.0439979948797	70030.325123	5000.000000	true	14	0.768518	ok	
-0.611111111	-31.111111111	0	-4.73087858149e-05	-8.02610738273e-05	-0.000389699057614	-0.0105963312441	-0.0155616924896	-0.0441223861313	30004.481954	5000.000000	true	6	0.289868	ok	
-0.500000000	-31.111111111	1.44428637452	2.07235772619e-05	-4.66446383466e-05	-0.000313789189197	-0.0107210468576	-0.0156108027474	-0.0456323981847	30002.293471	5000.000000	true	6	0.197447	ok	
