category_id	count	symbol
1	65441	-1
2	2770	-16
3	23523	-2
4	4672	-15
5	10357	-3
6	42	missing_k
7	24	-17
8	3486	-5
9	42803	-11
10	5536	-4
11	4384	-8
12	3264	14
13	2586	-6
14	7737	3
15	30286	-12
16	1359	15
17	8888	-14
18	2442	-7
19	41520	1
20	220866	0
21	4596	4
22	23374	11
23	58235	-10
24	15492	2
25	77466	-9
26	38	16
27	5097	7
28	16638	-13
29	3380	6
30	75343	9
31	44608	10
32	3491	5
33	11975	12
34	6177	13
35	64762	8
