category_id	count	symbol
1	18225	-2
2	325567	missing_k
3	7063	-3
4	598	-16
5	3433	-4
6	1997	-5
7	57488	-1
8	29913	-10
9	1217	-7
10	231873	0
11	1369	-6
12	1811	-15
13	11527	2
14	4927	-11
15	289	15
16	1811	-8
17	2928	-12
18	3053	4
19	2860	-14
20	33288	1
21	1	-17
22	25281	9
23	5282	3
24	59229	-9
25	2513	7
26	2973	-13
27	4	16
28	1872	6
29	1922	13
30	1300	14
31	2433	12
32	2106	5
33	3089	11
34	39271	8
35	4145	10
