category_id	count	symbol
1	17021	-1
2	735290	missing_k
3	673	-3
4	227	-4
5	128878	0
6	2917	-2
7	11	-16
8	51	-6
9	92	-5
10	988	2
11	5907	1
12	9	-10
13	15	-8
14	30	-15
15	13	-9
16	17	-7
17	4	15
18	22	6
19	4	-11
20	11	-14
21	268	3
22	17	14
23	6	10
24	45	5
25	72	4
26	6	11
27	6	9
28	15	7
29	6	8
30	18	-12
31	10	-13
32	6	13
33	3	12
