curve	part	source_handles	x	y
homSF	1	62,63,64,67,66	-53.459930018185297	0.57520976684428771
homSF	1	62,63,64,67,66	-53.45963796734906	0.57517911174167513
homSF	1	62,63,64,67,66	-53.459579163806829	0.5751729394435704
homSF	1	62,63,64,67,66	-53.459423426316945	0.57515659236655181
homSF	1	62,63,64,67,66	-53.459273820606683	0.57514088909207139
homSF	1	62,63,64,67,66	-53.459126276317285	0.57512540222103092
homSF	1	62,63,64,67,66	-53.459052124840603	0.5751176187592929
homSF	1	62,63,64,67,66	-53.458896751785936	0.57510131019217581
homSF	1	62,63,64,67,66	-53.458531752919363	0.57506299859477561
homSF	1	62,63,64,67,66	-53.458548573736856	0.57506476401620921
homSF	1	62,63,64,67,66	-53.458318501118057	0.57504061484577351
homSF	1	62,63,64,67,66	-53.458095894973731	0.57501724944428723
homSF	1	62,63,64,67,66	-53.4578511914738	0.57499156452370714
homSF	1	62,63,64,67,66	-53.457577993820863	0.57496288905689197
homSF	1	62,63,64,67,66	-53.457444991838642	0.57494892889070992
homSF	1	62,63,64,67,66	-53.457342607090915	0.57493818224371263
homSF	1	62,63,64,67,66	-53.457218475456777	0.57492515316395965
homSF	1	62,63,64,67,66	-53.457060202619722	0.57490854059024366
homSF	1	62,63,64,67,66	-53.456949133622572	0.57489688255773719
homSF	1	62,63,64,67,66	-53.456827347864511	0.57488409976556509
homSF	1	62,63,64,67,66	-53.456550281520805	0.57485501859002985
homSF	1	62,63,64,67,66	-53.456437876441434	0.57484322045405134
homSF	1	62,63,64,67,66	-53.456324311576275	0.57483130061012611
homSF	1	62,63,64,67,66	-53.455901487670808	0.57478692087413497
homSF	1	62,63,64,67,66	-53.455878468549678	0.57478450473427412
homSF	1	62,63,64,67,66	-53.455762544506698	0.57477233735137789
homSF	1	62,63,64,67,66	-53.455288694740993	0.57472260227495819
homSF	1	62,63,64,67,66	-53.455460669970734	0.57474065262254803
homSF	1	62,63,64,67,66	-53.455235357953264	0.57471700401631731
homSF	1	62,63,64,67,66	-53.45499168996848	0.57469142885137925
homSF	1	62,63,64,67,66	-53.454733027567009	0.57466427991580915
homSF	1	62,63,64,67,66	-53.454488944314285	0.57463866131924524
homSF	1	62,63,64,67,66	-53.45419659703942	0.57460797710519662
homSF	1	62,63,64,67,66	-53.454283064874687	0.57461705244563577
homSF	1	62,63,64,67,66	-53.453754158005054	0.57456153960219714
homSF	1	62,63,64,67,66	-53.453795916112803	0.57456592242391213
homSF	1	62,63,64,67,66	-53.453675659463194	0.57455330053806875
homSF	1	62,63,64,67,66	-53.453239583264832	0.57450753129559817
homSF	1	62,63,64,67,66	-53.45326529507701	0.57451022992322387
homSF	1	62,63,64,67,66	-53.453205602989513	0.57450396485717148
homSF	1	62,63,64,67,66	-53.452749243132381	0.57445606697922269
homSF	1	62,63,64,67,66	-53.452873453252387	0.57446910359761749
homSF	1	62,63,64,67,66	-53.452663455266268	0.5744470630040226
homSF	1	62,63,64,67,66	-53.452293834366074	0.57440826916515331
homSF	1	62,63,64,67,66	-53.452309596195981	0.57440992345630137
homSF	1	62,63,64,67,66	-53.451815748523245	0.57435809149528505
homSF	1	62,63,64,67,66	-53.451872228106616	0.57436401930717396
homSF	1	62,63,64,67,66	-53.451689959138797	0.57434488929108196
homSF	1	62,63,64,67,66	-53.45141883434632	0.5743164334444153
homSF	1	62,63,64,67,66	-53.451555420984057	0.57433076882686018
homSF	1	62,63,64,67,66	-53.451332437595049	0.57430736572861418
homSF	1	62,63,64,67,66	-53.45133332808367	0.57430745920330017
homSF	1	62,63,64,67,66	-53.45086143205706	0.5742579318229456
homSF	1	62,63,64,67,66	-53.450885400415316	0.5742604473914823
homSF	1	62,63,64,67,66	-53.450790367455014	0.57425047342401359
homSF	1	62,63,64,67,66	-53.450422443066337	0.57421185851158851
homSF	1	62,63,64,67,66	-53.450520012217979	0.57422209870836127
homSF	1	62,63,64,67,66	-53.450329228009927	0.57420207530687573
homSF	1	62,63,64,67,66	-53.450205497935002	0.57418908946871661
homSF	1	62,63,64,67,66	-53.449950947393013	0.57416237369537848
homSF	1	62,63,64,67,66	-53.449786675640425	0.57414513301580905
homSF	1	62,63,64,67,66	-53.449486416708481	0.57411362018939693
homSF	1	62,63,64,67,66	-53.449457168775538	0.57411055056145299
homSF	1	62,63,64,67,66	-53.449215887813722	0.57408522798206474
homSF	1	62,63,64,67,66	-53.448939410823485	0.57405621131672657
homSF	1	62,63,64,67,66	-53.448751696577354	0.57403651048634308
homSF	1	62,63,64,67,66	-53.448673326952203	0.57402828550543639
homSF	1	62,63,64,67,66	-53.448443848680476	0.57400420157453136
homSF	1	62,63,64,67,66	-53.448387632451251	0.57399830164575905
homSF	1	62,63,64,67,66	-53.448274003218252	0.57398637614913339
homSF	1	62,63,64,67,66	-53.448172375615826	0.57397571029270233
homSF	1	62,63,64,67,66	-53.447896561833858	0.57394676359447339
homSF	1	62,63,64,67,66	-53.447717952915418	0.57392801857787978
homSF	1	62,63,64,67,66	-53.447658635179181	0.57392179319833114
homSF	1	62,63,64,67,66	-53.447252408933345	0.57387915998851546
homSF	1	62,63,64,67,66	-53.44734766740531	0.5738891572368785
homSF	1	62,63,64,67,66	-53.447158271854178	0.57386928033153017
homSF	1	62,63,64,67,66	-53.446628989966108	0.57381373287772608
homSF	1	62,63,64,67,66	-53.446750855772578	0.57382652239530885
homSF	1	62,63,64,67,66	-53.446532374226656	0.57380359310724049
homSF	1	62,63,64,67,66	-53.446341553671388	0.57378356684495546
homSF	1	62,63,64,67,66	-53.446083219705606	0.57375645517065166
homSF	1	62,63,64,67,66	-53.445829367240215	0.57372981398033573
homSF	1	62,63,64,67,66	-53.445536353341915	0.57369906299510298
homSF	1	62,63,64,67,66	-53.445597159308569	0.57370544436059989
homSF	1	62,63,64,67,66	-53.445151358625765	0.57365865900491231
homSF	1	62,63,64,67,66	-53.445130484796636	0.57365646836945428
homSF	1	62,63,64,67,66	-53.44506959257243	0.57365007804956969
homSF	1	62,63,64,67,66	-53.444570633084489	0.57359771419553141
homSF	1	62,63,64,67,66	-53.444606910415402	0.57360152134950426
homSF	1	62,63,64,67,66	-53.444563562312148	0.5735969724245229
homSF	1	62,63,64,67,66	-53.444131277539547	0.57355160607946343
homSF	1	62,63,64,67,66	-53.44421620643746	0.57356051896720772
homSF	1	62,63,64,67,66	-53.444028559881104	0.57354082639182646
homSF	1	62,63,64,67,66	-53.443668970856322	0.57350308936477168
homSF	1	62,63,64,67,66	-53.443663539895866	0.57350251941454278
homSF	1	62,63,64,67,66	-53.443188751982397	0.57345269323460546
homSF	1	62,63,64,67,66	-53.443230265906493	0.57345704987497836
homSF	1	62,63,64,67,66	-53.443053113628068	0.57343845880813094
homSF	1	62,63,64,67,66	-53.442780516310137	0.57340985165048941
homSF	1	62,63,64,67,66	-53.44291983253737	0.57342447200000379
homSF	1	62,63,64,67,66	-53.442696381399614	0.57340102224004286
homSF	1	62,63,64,67,66	-53.442690552846344	0.57340041059073454
homSF	1	62,63,64,67,66	-53.442247614885986	0.57335392728928503
homSF	1	62,63,64,67,66	-53.442255345223955	0.57335473853313512
homSF	1	62,63,64,67,66	-53.442147716414503	0.57334344356235079
homSF	1	62,63,64,67,66	-53.441825187308268	0.57330959654049585
homSF	1	62,63,64,67,66	-53.441883927871388	0.57331576091431202
homSF	1	62,63,64,67,66	-53.441713570595766	0.57329788309406071
homSF	1	62,63,64,67,66	-53.441611035376646	0.57328712283014793
homSF	1	62,63,64,67,66	-53.441292771234288	0.57325372359864024
homSF	1	62,63,64,67,66	-53.441174529507194	0.57324131511401233
homSF	1	62,63,64,67,66	-53.440912248121244	0.57321379095212388
homSF	1	62,63,64,67,66	-53.440842349354625	0.57320645569603246
homSF	1	62,63,64,67,66	-53.440593564996391	0.5731803479240154
homSF	1	62,63,64,67,66	-53.440330843306164	0.57315277774827866
