direction	alpha	step_index	iter	s	map_value	first_derivative	second_derivative	raw_step	damping	accepted	sciml_first_derivative	first_derivative_mismatch
seed	0.400000000000	0	1	4.485451975406	1.174267034222	-6.881759759623e-03	9.572393319578e-01	7.189173626566e-03	1.000000	true	-6.881759759621e-03	1.721713049907e-15
seed	0.400000000000	0	2	4.492641149032	1.174241995821	-1.248293338652e-04	9.230155351800e-01	1.352407723461e-04	1.000000	true	-1.248293338610e-04	4.154066413770e-15
seed	0.400000000000	0	3	4.492776389805	1.174241987378	-4.160583660368e-08	9.224004233014e-01	4.510604673702e-08	1.000000	true	-4.160584852125e-08	1.191757298441e-14
seed	0.400000000000	0	4	4.492776434911	1.174241987378	-1.338354772222e-14	9.224002183208e-01	0.000000000000e+00	1.000000	true	-1.749688251216e-14	4.113334789935e-15
decreasing	0.399899949975	1	1	4.492776434911	1.173919473264	1.315288093476e-03	8.212016858357e-01	-1.601662680633e-03	1.000000	true	1.315288093477e-03	1.089623183348e-15
decreasing	0.399899949975	1	2	4.491174772230	1.173918431595	-2.192274304636e-05	8.488117540625e-01	2.582756770443e-05	1.000000	true	-2.192274304781e-05	1.440508275814e-15
decreasing	0.399899949975	1	3	4.491200599798	1.173918431311	-5.895079772875e-09	8.483553201560e-01	6.948833387160e-09	1.000000	true	-5.895088007975e-09	8.235099953588e-15
decreasing	0.399899949975	1	4	4.491200606747	1.173918431311	-3.527268483081e-15	8.483551974034e-01	0.000000000000e+00	1.000000	true	-5.811643785404e-15	2.284375302323e-15
decreasing	0.399549774887	2	1	4.491200606747	1.172820255528	-1.360894702726e-03	9.253353454539e-01	1.470704333744e-03	1.000000	true	-1.360894702724e-03	1.144700653710e-15
decreasing	0.399549774887	2	2	4.492671311080	1.172819252884	-3.888446753252e-06	9.200566509488e-01	4.226312313749e-06	1.000000	true	-3.888446759284e-06	6.032532227928e-15
decreasing	0.399549774887	2	3	4.492675537393	1.172819252875	-3.189873961320e-11	9.200415609848e-01	0.000000000000e+00	1.000000	true	-3.189626679039e-11	2.472822808238e-15
decreasing	0.399199599800	3	1	4.492675537393	1.171712227119	6.499705788175e-05	9.231786761912e-01	-7.040571837070e-05	1.000000	true	6.499705788735e-05	5.599877115833e-15
decreasing	0.399199599800	3	2	4.492605131674	1.171712224831	-7.993835896800e-09	9.234057648919e-01	8.656904906518e-09	1.000000	true	-7.993845143960e-09	9.247160216632e-15
