sorted_index	source_event_index	event_time	x	z	s	next_r	next_x
1	2269	18703.197317966238	1.458539664662	1.286219535398	2.127337953391	4.790498337416	-2.188720707951
2	1927	15882.929230271773	1.464911508393	1.290244271868	2.145965727423	4.581370094160	-2.140413533446
3	1686	13903.260386401527	1.465044524888	1.287998415200	2.146355459903	4.594926888851	-2.143578057560
4	1086	8964.114572945653	1.465166167583	1.290405422738	2.146711898628	4.576254346423	-2.139218162419
5	1323	10913.037672970169	1.468479132699	1.290204462989	2.156430963172	4.529045923490	-2.128155521453
6	2391	19711.598896867054	1.469706193773	1.293276937764	2.160036296014	4.495422887955	-2.120241233434
7	1593	13137.913242329278	1.472206383047	1.292599827039	2.167391634285	4.468175969188	-2.113806038687
8	1555	12824.014208100212	1.472295817250	1.294915991103	2.167654973491	4.455340482366	-2.110767747140
9	1095	9038.831280341163	1.473829405895	1.295887192204	2.172173117680	4.433012909581	-2.105472134601
10	1247	10286.073964802183	1.476947624611	1.297862938113	2.181374285843	4.390157220795	-2.095270202335
11	2119	17465.136200622630	1.477516431829	1.296014827100	2.183054806324	4.392497265510	-2.095828539149
12	1670	13771.412027992319	1.482663714578	1.301488259517	2.198291690526	4.318300348839	-2.078052056335
13	2272	18735.065380292559	1.484599351753	1.300579078632	2.204035235225	4.303893610219	-2.074582755693
14	1811	14926.451568432294	1.491664945815	1.307206438590	2.225064310575	4.217136324021	-2.053566732303
15	1732	14278.936657383194	1.491670667803	1.307209921915	2.225081381182	4.217076103666	-2.053552069870
16	1794	14786.731162655924	1.493320966111	1.306195949444	2.230007507827	4.206963753719	-2.051088431472
17	1982	16336.368154009853	1.493400601306	1.308310134679	2.230245355982	4.198874800728	-2.049115614290
18	2420	19950.491167654469	1.493734647795	1.308522784499	2.231243198023	4.195398146602	-2.048267108217
19	1901	15670.320096248865	1.494913207066	1.309272464253	2.234765496660	4.183229615390	-2.045294505784
20	1441	11884.596520418623	1.495781370295	1.309825088838	2.237361907722	4.174356735878	-2.043124258551
21	2004	16517.138992496621	1.497355003890	1.310826759240	2.242072007676	4.158463742327	-2.039231164515
22	1147	9467.879070066158	1.499161848066	1.311977138141	2.247486246696	4.140500384751	-2.034821954066
23	2111	17399.101662165398	1.500847189376	1.313050848689	2.252542285858	4.124001326480	-2.030763729851
24	2059	16970.056734249847	1.502560144700	1.314142390060	2.257686988442	4.107471533959	-2.026689797171
25	2201	18143.616287974906	1.502984980716	1.312433880867	2.258963852259	4.109758726102	-2.027253986579
26	2023	16673.699302326677	1.503215589805	1.314560012413	2.259657109434	4.101207877557	-2.025143915270
27	2130	17555.120942900441	1.508900545263	1.318185941288	2.276780855496	4.048170120002	-2.012006491044
28	2259	18620.903679446539	1.509337997925	1.316539784133	2.278101191981	4.050061129500	-2.012476367439
29	1320	10888.361079415770	1.519971832441	1.325259800020	2.310314371414	3.950495681733	-1.987585389797
30	1590	13113.231163428498	1.521102279388	1.324153741226	2.313752144361	3.946062493155	-1.986469857097
31	1791	14762.029516854827	1.523411704127	1.327460904262	2.320783220271	3.921403197827	-1.980253316580
32	2198	18118.904656011557	1.524735640511	1.328308476941	2.324818773443	3.910344695746	-1.977459151473
33	2256	18596.185379029004	1.525602561308	1.328863596155	2.327463175068	3.903143468177	-1.975637483998
34	1587	13088.500256935669	1.527201827441	1.329887918306	2.332345421739	3.889939480508	-1.972292949972
35	1501	12381.546466746315	1.530289475875	1.331866483139	2.341785879973	3.864730852534	-1.965891872035
36	1451	11966.760438088362	1.533431100117	1.333880904399	2.351410938806	3.839444500178	-1.959450050442
37	2405	19827.055086215059	1.537383570028	1.336417053711	2.363548241392	3.808116601363	-1.951439622782
38	1759	14500.060754964583	1.537689911697	1.336613705516	2.364490264536	3.805709955983	-1.950822892008
39	1504	12406.303015326448	1.543943085526	1.338976564882	2.383760251342	3.761426253193	-1.939439675059
40	1178	9722.245171403882	1.549431512118	1.344159994440	2.400738010744	3.715574708585	-1.927582607461
41	1039	8578.253733458865	1.549469362185	1.344184476511	2.400855304350	3.715290009612	-1.927508757337
42	2339	19285.752526522298	1.551123701113	1.345249152947	2.405984736156	3.702896190228	-1.924291087707
43	2073	17085.280758347340	1.551535316488	1.345514108586	2.407261838308	3.699823256225	-1.923492463262
44	1539	12693.550448595159	1.552260618436	1.345981035619	2.409513027546	3.694418761962	-1.922087084906
45	1620	13360.205534192864	1.553646113326	1.346873159673	2.413816245452	3.684130893364	-1.919408995854
46	1509	12447.115202912844	1.555984466931	1.348379258544	2.421087661330	3.666872536333	-1.914907970722
47	1236	10196.229820968874	1.557232471924	1.349183552896	2.424972971614	3.657713457217	-1.912514956077
48	1971	16246.515740829094	1.557248042884	1.349193587507	2.425021467066	3.657599411966	-1.912485140326
49	1769	14582.104864791676	1.557463271884	1.349332293739	2.425691843266	3.656023591580	-1.912073113555
50	1365	11258.805499165621	1.560399211393	1.351224968285	2.434845698915	3.634631537406	-1.906470964218
51	2320	19129.781545335620	1.561912879265	1.352201188575	2.439571842413	3.623676294804	-1.903595622711
52	1422	11728.538850050507	1.562522388813	1.351072787798	2.441476215543	3.622906376804	-1.903393384670
53	2294	18916.113716022981	1.562972118328	1.352884501973	2.442881842672	3.616039037508	-1.901588556315
54	1386	11430.653654383797	1.564955321004	1.354164240939	2.449085156738	3.601802748393	-1.897841602556
55	1009	8331.683254493129	1.566817863064	1.355366567137	2.454918216016	3.588505514017	-1.894335111330
56	1406	11594.715743650460	1.567088703014	1.355541438485	2.455767003115	3.586577674877	-1.893826199755
57	1454	11991.545189494647	1.567298848786	1.354188188330	2.456425681407	3.588580853235	-1.894354996624
58	1849	15239.568802455884	1.567518996588	1.355819281975	2.457115804664	3.583517819657	-1.893018177318
59	1395	11504.382947082411	1.577294970735	1.362137907089	2.487859424706	3.514938550612	-1.874816937893
60	1225	10105.888066298472	1.577781215989	1.361033298718	2.489393565528	3.514808430364	-1.874782235451
61	1998	16468.092935899327	1.578485946888	1.362908495842	2.491617884522	3.506700570360	-1.872618639862
62	2367	19515.083013483250	1.581696363094	1.364986469302	2.501763385024	3.484613260849	-1.866711884799
63	1284	10590.329908241218	1.582127468791	1.363874710385	2.503127327504	3.484795590290	-1.866760721220
64	1713	14124.850690374858	1.582928294683	1.365784230622	2.505661986108	3.476182591161	-1.864452356903
65	1936	15957.796814520208	1.584290359852	1.366666480184	2.509975944321	3.466889720957	-1.861958571225
66	1292	10655.559827696166	1.585064272308	1.367167867752	2.512428747348	3.461622692726	-1.860543655152
67	2241	18472.922108682847	1.585691669767	1.367574498827	2.514418071567	3.457359443427	-1.859397602297
68	1215	10023.644098496110	1.585898080719	1.367708252685	2.515072722428	3.455958274930	-1.859020783889
69	1876	15463.947589325606	1.588373072801	1.369312450047	2.522929018400	3.439208412565	-1.854510289150
70	2375	19580.317614735563	1.588853467770	1.369623801904	2.524455342046	3.435968290117	-1.853636504312
71	1475	12164.675968285932	1.588989420861	1.369712060783	2.524887379609	3.435051643997	-1.853389231650
72	1861	15340.615911090632	1.589079039491	1.369770169121	2.525172193749	3.434447713031	-1.853226298386
73	2226	18349.388811724057	1.591158951054	1.371119051414	2.531786807520	3.420464858485	-1.849449879960
74	1565	12906.546672936525	1.592194689052	1.371790954840	2.535083927845	3.413525428473	-1.847572847948
75	2352	19391.743655649974	1.592266668685	1.371837654309	2.535313144204	3.413043743154	-1.847442487103
76	1634	13474.828677867565	1.592616406938	1.372064569060	2.536427019649	3.410704368296	-1.846809239823
77	1263	10417.327635828404	1.592763652894	1.372160108637	2.536896053980	3.409719976131	-1.846542708992
78	1276	10524.381730676754	1.593512334270	1.372645926673	2.539281559471	3.404719569240	-1.845188220546
79	2408	19851.878982034144	1.596762767161	1.373456730870	2.549651334592	3.385927758972	-1.840089062783
80	2104	17341.906395921207	1.597734097951	1.374093445641	2.552754247757	3.379476899346	-1.838335360957
81	1358	11201.587882858907	1.598715313575	1.376023916265	2.555890653860	3.370185983817	-1.835806630290
82	1762	14524.887876413814	1.599047787734	1.374954730806	2.556953827457	3.370772964950	-1.835966493417
83	1842	15182.346097190550	1.599368656286	1.375165126058	2.557980098711	3.368650599797	-1.835388405705
84	1256	10360.088120699458	1.600413772668	1.377127479927	2.561324243744	3.358992339661	-1.832755395480
85	2140	17637.625810172663	1.604708531189	1.379919272132	2.575089470072	3.330856935385	-1.825063542835
86	1068	8815.529863279315	1.605302817702	1.380305762222	2.576997136521	3.326982302215	-1.824001727580
87	1925	15867.014877983564	1.610817013562	1.383893819974	2.594731451181	3.291239344421	-1.814177318903
88	1553	12808.102161214283	1.613257291658	1.385483012730	2.602599089088	3.275537980463	-1.809844739325
89	1093	9022.919659425474	1.613764728210	1.385813542218	2.604236598016	3.272281811498	-1.808944944297
90	1245	10270.162283878835	1.615186009511	1.385549523208	2.608825845321	3.265666041650	-1.807115392456
91	1668	13755.501646113169	1.617077140268	1.386792774991	2.614938477576	3.253555821899	-1.803761575680
92	1730	14263.028633568714	1.619683521387	1.389671065539	2.623374709453	3.234518560543	-1.798476733389
93	1980	16320.459510652692	1.620637163697	1.389134154172	2.626464816355	3.230868363113	-1.797461644407
