direction	step_index	alpha	predicted_s	branch_points	branch_s_min	branch_s_max	used_s0	converged	predictor_only	broke	status	accepted_steps	total_trace_rows	final_s	map_value	first_derivative	second_derivative	correction_abs	state_jump	event_time	current_x	current_y	current_z	event_x	event_y	event_z	event_time_d1	event_time_d2	sciml_first_derivative	first_derivative_mismatch
decreasing	71	0.375387693847	4.488118011837	441	2.139426495938	4.959887361632	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.573953179108e-04	NaN	2.118517880934	0.000000000000	1.697671436623	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	70	0.375737868934	4.488118011837	425	2.132993164834	4.806069021377	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.468875258739e-04	NaN	2.118517880934	0.000000000000	1.698128831941	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	69	0.376088044022	4.488118011837	430	2.137233508507	4.944311540025	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.532052463095e-04	NaN	2.118517880934	0.000000000000	1.698575719467	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	68	0.376438219110	4.488118011837	437	2.139819764013	4.952222815295	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.492843416031e-04	NaN	2.118517880934	0.000000000000	1.699028924713	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	67	0.376788394197	4.488118011837	441	2.152702515435	4.984221695038	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.630232566645e-04	NaN	2.118517880934	0.000000000000	1.699478209055	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	66	0.377138569285	4.488118011837	440	2.135399016067	4.972748906848	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.313079874352e-04	NaN	2.118517880934	0.000000000000	1.699941232312	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	65	0.377488744372	4.488118011837	433	2.137635497010	4.973232230843	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.608669706261e-04	NaN	2.118517880934	0.000000000000	1.700372540299	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	64	0.377838919460	4.488118011837	422	2.134222642270	4.979100112843	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	5.139223707347e-04	NaN	2.118517880934	0.000000000000	1.700833407270	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	63	0.378189094547	4.488118011837	447	2.134081233880	4.761456643908	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	3.878424662795e-04	NaN	2.118517880934	0.000000000000	1.701347329640	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	62	0.378539269635	4.488118011837	430	2.135554772598	4.926088480873	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.431568701901e-04	NaN	2.118517880934	0.000000000000	1.701735172107	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	61	0.378889444722	4.488118011837	419	2.140703238439	4.954407801659	4.488118011837	false	true	false	predictor_only_cadence_skip	0	0	4.488118011837	NaN	NaN	NaN	0.000000000000e+00	4.848306746152e-04	NaN	2.118517880934	0.000000000000	1.702178328977	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	60	0.379239619810	4.488789368878	425	2.134269503934	4.814784238566	4.485772472071	true	false	false	ok	5	5	4.488118011837	1.108092843190	-5.392279618466e-15	1.429111500380e+00	6.713570409209e-04	5.382146175381e-04	4.547091481176	2.118517880934	0.000000000000	1.702663159651	-1.052659889608	-0.000000000000	1.130149124083	-2.514842648296e+00	1.766118026482e+01	-2.507456926803e-15	2.884822691663e-15
decreasing	59	0.379589794897	4.488789368878	420	2.158684736015	4.888388711210	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.647194928964e-04	NaN	2.118676324708	0.000000000000	1.703177523866	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	58	0.379939969985	4.488789368878	437	2.143403821057	4.866515216022	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.269193837070e-04	NaN	2.118676324708	0.000000000000	1.703642243359	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	57	0.380290145073	4.488789368878	426	2.135418799130	4.939778658557	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.514939176063e-04	NaN	2.118676324708	0.000000000000	1.704069162742	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	56	0.380640320160	4.488789368878	438	2.140605308785	4.915872575107	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.529719185391e-04	NaN	2.118676324708	0.000000000000	1.704520656660	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	55	0.380990495248	4.488789368878	429	2.138437260030	4.907202761138	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.389063478563e-04	NaN	2.118676324708	0.000000000000	1.704973628579	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	54	0.381340670335	4.488789368878	425	2.138016872563	4.807702099137	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.559043218912e-04	NaN	2.118676324708	0.000000000000	1.705412534926	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	53	0.381690845423	4.488789368878	438	2.157249755508	4.882198346989	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.451153025997e-04	NaN	2.118676324708	0.000000000000	1.705868439248	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	52	0.382041020510	4.488789368878	435	2.131551616952	4.955616228187	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.437560358586e-04	NaN	2.118676324708	0.000000000000	1.706313554551	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	51	0.382391195598	4.488789368878	446	2.144393200036	4.821053375312	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.563899893020e-04	NaN	2.118676324708	0.000000000000	1.706757310587	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	50	0.382741370685	4.488789368878	434	2.141269538230	4.919715771722	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.413433766011e-04	NaN	2.118676324708	0.000000000000	1.707213700576	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	49	0.383091545773	4.488789368878	439	2.132113297418	4.892464974344	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.425768096961e-04	NaN	2.118676324708	0.000000000000	1.707655043953	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	48	0.383441720860	4.488789368878	437	2.133165731447	4.930985789193	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.820509682764e-04	NaN	2.118676324708	0.000000000000	1.708097620762	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	47	0.383791895948	4.488789368878	439	2.135540020311	4.845611890372	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.101115952748e-04	NaN	2.118676324708	0.000000000000	1.708579671731	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	46	0.384142071036	4.488789368878	435	2.134386748305	4.811957221702	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.557900674955e-04	NaN	2.118676324708	0.000000000000	1.708989783326	NaN	NaN	NaN	NaN	NaN	NaN	NaN
