delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	T_scs	status
-1.500000	-38.386774	-45.857487	0.834588	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.497996	-38.386774	-46.315113	0.833546	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.495992	-38.386774	-46.752253	0.833379	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.493988	-38.386774	-47.160160	0.833211	full	3374966975014	1,0,0,0,0,0,0	ok
-1.491984	-38.386774	-44.938636	0.837030	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.489980	-38.386774	-45.420967	0.834905	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.487976	-38.386774	-45.892524	0.833528	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.485972	-38.386774	-46.346532	0.832692	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.483968	-38.386774	-46.777779	0.832191	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.481964	-38.386774	-47.182816	0.832230	full	3374966975014	1,0,0,0,0,0,0	ok
-1.479960	-38.386774	-44.981956	0.835813	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.477956	-38.386774	-45.462620	0.833895	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.475952	-38.386774	-45.930029	0.832518	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.473948	-38.386774	-46.379699	0.831682	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.471944	-38.386774	-46.806381	0.831309	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.469940	-38.386774	-47.205486	0.831141	full	3374966975014	1,0,0,0,0,0,0	ok
-1.467936	-38.386774	-45.025213	0.834783	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.465932	-38.386774	-45.502108	0.832866	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.463928	-38.386774	-45.965652	0.831489	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.461924	-38.386774	-46.411237	0.830653	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.459920	-38.386774	-46.833594	0.830279	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.457916	-38.386774	-47.228173	0.829777	full	3374966975014	1,0,0,0,0,0,0	ok
-1.455912	-38.386774	-45.068627	0.833750	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.453908	-38.386774	-45.541725	0.831832	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.451904	-38.386774	-46.001366	0.830455	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.449900	-38.386774	-46.442835	0.829619	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.447896	-38.386774	-46.860842	0.829245	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.445892	-38.386774	-47.250880	0.828410	full	3374966975014	1,0,0,0,0,0,0	ok
-1.443888	-38.386774	-45.107067	0.832585	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.441884	-38.386774	-45.578076	0.830667	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.439880	-38.386774	-46.035323	0.829290	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.437876	-38.386774	-46.474028	0.828455	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.435872	-38.386774	-46.888903	0.828287	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.433868	-38.386774	-47.273609	0.827038	full	3374966975014	1,0,0,0,0,0,0	ok
-1.431864	-38.386774	-44.688565	0.833853	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.429860	-38.386774	-45.164386	0.831394	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.427856	-38.386774	-45.630192	0.829476	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.425852	-38.386774	-46.082182	0.828227	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.423848	-38.386774	-46.514178	0.827391	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.421844	-38.386774	-46.922267	0.827224	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.419840	-38.386774	-47.300157	0.825433	full	3374966975014	1,0,0,0,0,0,0	ok
-1.417836	-38.386774	-44.737598	0.832371	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.415832	-38.386774	-45.212252	0.830119	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.413828	-38.386774	-45.674342	0.828201	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.411824	-38.386774	-46.122383	0.826951	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.409820	-38.386774	-46.550122	0.826115	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.407816	-38.386774	-46.953650	0.825948	continued:5	2602619	1,0,0,0,0,0	ok
-1.405812	-38.386774	-47.326741	0.823824	full	3374966975014	1,0,0,0,0,0,0	ok
-1.403808	-38.386774	-44.543746	0.836023	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.401804	-38.386774	-44.978283	0.833564	continued:5	3374966975014	1,0,0,0,0,0,0	ok
