delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	T_scs	status
-1.500000	-38.436874	-44.895737	0.837674	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.497996	-38.436874	-45.381929	0.835550	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.495992	-38.436874	-45.857228	0.834173	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.493988	-38.436874	-46.315020	0.833337	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.491984	-38.436874	-46.750160	0.832835	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.489980	-38.436874	-47.159196	0.832875	full	3374966975014	1,0,0,0,0,0,0	ok
-1.487976	-38.436874	-44.941257	0.836692	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.485972	-38.436874	-45.423105	0.834568	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.483968	-38.436874	-45.894046	0.833191	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.481964	-38.436874	-46.347318	0.832355	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.479960	-38.436874	-46.777731	0.831853	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.477956	-38.436874	-47.181862	0.831893	full	3374966975014	1,0,0,0,0,0,0	ok
-1.475952	-38.436874	-44.982299	0.835604	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.473948	-38.436874	-45.461215	0.833480	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.471944	-38.436874	-45.929034	0.832103	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.469940	-38.436874	-46.378894	0.831267	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.467936	-38.436874	-46.805583	0.830893	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.465932	-38.436874	-47.204544	0.830726	full	3374966975014	1,0,0,0,0,0,0	ok
-1.463928	-38.436874	-45.025884	0.834368	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.461924	-38.436874	-45.503251	0.832450	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.459920	-38.436874	-45.967027	0.831073	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.457916	-38.436874	-46.412640	0.830237	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.455912	-38.436874	-46.834849	0.830070	continued:5	3374966975014	1,0,0,0,0,0,0	ok
