delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-2.000000	8.628629	-49.498488	0.762793	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700852310205237519248318309911229833706669893068489825914961946093090733347740994331946835929709300925582211118913462467319228458749342122790732164172209450089199025089115699735711827565624146287554100840565258149713497438949791647756695912327246979775567957835176401021598252759633737129143239113310187026914972069812041881305299378601190988802147964697951894471203522923633917448733181527124165202689248609594283952557638971144085114054408302020822783829048770621252190386916603507962505059651636798420097863923009118215345067301899246671199366762161877845975282181793490248639093165517087466281360383441804044726238982605514113998706366002527031308757668075050270599551964696794938318708263642294620481444942506725834221581244954629550620373698998826649081068562513555938848954109957634615370172287193055043085106517978719915196772076634710142801833480573871867543865295749828112599883919758411515007428977326602614055768650060883387576079205115768074188823911438061415903740236665599489498952894405182214030908665628529429560863456512180041097170886	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,4,-4,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.995996	8.628629	-50.904112	0.759999	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996808124870348813339630339106859086396938309649893304901311468549004503906731824943828798491250532503720788825359072092088657238461672972267192820634401351205478813453069461713645826983422773813030960845391822756471752681501385568619299527230580343463005811969290493929590095291165486112395136840751702664162716904191308680613972450348402169130156268076185582168239191585269775921127905734440711192009253494265882663704183987833561406066486318825606649403359430616954110049635331124902406935528070557621761171659765312127047052776022780231896536007046607145380546082000674040237804577276379234063967364524892170569932428279280478006206249286639392444411404536390303830647793887387016617452745691177138591140864240885577127367160009110630240329977052307073330939962004073065510780048404854661275532403379902477307963210675630900529736788190492383874685069047681631927279197006925690387293057658859296836	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,4,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.991992	8.628629	-52.077502	0.757206	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513258554315051982264425650803269801022390164676212615758412675095267774139865517447917772179202238968209722672957351038682945925029276074447600632195061511830020876338683076944683617302495866755793377121426488749820628819230702734186505431329829627987374110689259967811414750156665531902189161016035163228513395681646726741035265026794636998851980634574804365373131373369675857442676154139440108971172764817587906836561457361013565308913409275805537298201385919455838277086670964497905339546704162213661847150308513375978977337135881345601957332080657395653322235485716252852925338284370087579456292151	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	1,-4,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.987988	8.628629	-53.014021	0.754413	continued:5	24739664234858138982047535273920704865888201889876711837493816699690678265963591165069870505023217046633362579621148489165328977987949899797415602900085081435628786567950676391780949633448253616219680559998014214784634910618447122667639804607217055610037222276897125660535867393387520758988742191975475097134159821776175469287214857624750265388130867415580412873925910271279382629434282479656095907178473638142326186864698341018602123575843883404208311798618679388046194707946385968872279636660172423920762823771748609336176990325713506490614247467311351878471253089939596514261196666267475682898635077588364628629417296554229734815495315011752337585393015754405944996164827318009845582551593321289722257247006063686910061456841431892563940020873466746931070957111770150069590359792388197563206227771911411885143855184505614961998508226343153531223089971459935049708039359327667779120430067461929055441744031224422705223831560005091108633317128720548165517033711719448300771525660964913525817712220131912105082815080054605883136048554894173783193438041716508681297001277350562437894851607688119124032266056066591963623197071229719772200831481260746898621517899928612391918713268983151048632780119648896253765940151777173575597570025320253082336116946689981147789765900355562110523987436189411566954756946831913765892283629482126668117215787661175622538482371666841405595054624551275871666632475049764341931929868507018454948365774171910807496638367218687366613903751947086947394002612630474683257999387223688134848014104823955551645010680263372366206458226198558279883447844315148180302724249331888726196930807213187997142652942313186005148224878224024593537200103980637926868603500896185830904692094904758235554768415409124757267836161356776521732484146109863946926378105041694979170269733992817805415234240628485488200053302199364211031646323082439647263607276631895871769259044401451363766451126814443473134220489198884697731101960802990910300139680959518854832128513597114746389737973151315057975842081443516593123962467786526070102139874765749035637088432614260030772344792316488840415153698481155126035457741137680097748660410763036811870095293313414540437283852893333234643562710973384060038416228190613325616933189150517789061901654152308030489428549857055082465581427407486143000730202660813809057790100346399768338483335257539245860316494779637880208922066168766414992991208014608723526	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	1,3,3,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.983984	8.628629	-53.720337	0.751619	full	24739664234858138982047535273920704865888201889876711837493816699690678265963591165069870505023217046633362579621148489165328977987949899797415602900085081435628786567950676391780949633448253616219680559998014214784634910618447122667639804607217055610037222276897125660535867393387520758988742191975475097134159821776175469287214857624750265388130867415580412873925910271279382629434282479656095907178473638142326186864698341018602123575843883404208311798618679388046194707946385968872279636660172423920762823771748609336176990325713506490614247467311351878471253089939596514261196666267475682898635077588364628629417296554229734815495315011752337585393015754405944996164827318009845582551593321289722257247006063686910061456841431892563940020873466746931070957111770150069590359792388197563206227771911411885143855184505614961998508226343153531223089971459935049708039359327667779120430067461929055441744031224422705223831560005091108633317128720548165517033711719448300771525660964913525817712220131912105082815080054605883136048554894173783193438041716508681297001277350562437894851607688119124032266056066591963623197071229719772200831481260746898621517899928612391918713268983151048632780119634827944916655348282264918678566190420881773283436368221393491613911949128164505921481428215609108524503409441148456051028717709916397556911717001774031950703661111574934486474261088107943873541907632662744056546274843938288386457746233747137792548943727185493431372779661905629619233897384740511264614214317570296540842200703123636599875546532295990583957766998874160122483948346791984584346252523971082787351205933535444833836488109249049112608478941878873310676635726848416500525627071066867450481075713379579976233285026063550440539934196398046997660890758104887659878621053087946262914376950168913424387974494199271584584254048485972095078426145295086092895639115691384379608409659149698134207333136082596714586012868199702004938675362103169406264041995254472595518330682442301328793713681148779162023739890422807178515014098152732507426304595433046340242379548930200044749770443836898441653136886613797649230830295735641430327995013385242283499720784819705292882384401762249663480974950600496453129661786030317522534409300320588646868268258909121827032683864460916330397650725401782721723595982365919300891541077337604360412908370114495154434392644654559465785831192353079974729984616465274665	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,3,3,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.979980	8.628629	-43.796221	0.764311	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700852310205237519248318309911229833706669893068489825914961946093090733347740994331946835929709300925582211118913462467319228458749342122790732164172209450089199025089115699735711827565624146287554100840565258149713497438949791647756695912327246979775567957835176401021598252759633737129143239113310187026914972069812041881305299378601190988802147964697951894471203522923633917448733181527124165202689248609594283952557638971144085114054408302020822783829048770621252190386916603507962505059651636798420097863923009118215345067301899246671199366762161877845975282181793490248639093165517087466281360383441804044726238982605514113998706366002527031308757668075050270599551964696794938318708263642294620481444942506725834221581244954629550620373698998826649081068562513555938848954109957634615370172287193055043085106517978719915196772076634710142801833480573871867543865295749828112599883919758411515007428977326602614055768650060883387576079205115768074188823911438061415903740236665599489498952894405182214030908665628529429560863456512180041097170886	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,4,-4,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.975976	8.628629	-46.055345	0.761518	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700852310205237519248318309911229833706669893068489825914961946093090733347740994331946835929709300925582211118913462467319228458749342122790732164172209450089199025089115699735711827565624146287554100840565258149713497438949791647756695912327246979775567957835176401021598252759633737129143239113310187026914972069812041881305299378601190988802147964697951894471203522923633917448733181527124165202689248609594283952557638971144085114054408302020822784066268574594569759561964643681891223662959271914945394278884370908133381982734322201695692622574239770201215444650371112753169493452316781001483395173730220631109779485265116168026590234034595257750540574533016153509784328885130390788902064568818933323523626154656093519009722430609443809933506311433619823778889189724853413816499549730755329832869194840927145802325103286269759632830419243086101579822971143614724969853706932690124915308991179925976712351175390269697332303885618880292997942751699221080833867741723544703629382491810291095224023408923866584083117358545425469956923820831579806619853	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	1,4,-4,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.971972	8.628629	-47.951363	0.758724	continued:5	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700852310205237519248318309911229833706669893068489825914961946093090733347740994331946835929709300925582211118913462467319228458749342122790732164172209450089199025089115699735711827565624146287554100840565258149713497438949791647756695912327246979775567957835176401021598252759633737129143239113310187026914972069812041881305299378601190988802147964697951894471203522923633917448733181527124165202689248609594283952557638971144085114054408302020822783947658672607910974974440623594926864361305454356682746071403690013174363525018110724183445994668200824023595363416082301500904293308916934233882377778586012337918009233935315141012648300018561144529649121304033212054668146790962664553805164105556776902484284330690963870295483692619497215153602655130134452423725851640396131385304753682685350002578193947985115454421541003092478202453526976614451706651772507741134417574728380401362399614374795720492070664250996441876550476973251133934538573933733647634828889589892480303684809578704890297088458907053040307495891493537427515410190166505810451895369	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	-1,4,-4,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.967968	8.628629	-49.601541	0.757475	continued:5	24739664234858138982047535273920704865888201889876711837493816699690678265963591165069870505023217046633362579621148489165328977987949899797415602900085081435628786567950676391780949633448253616219680559998014214784634910618447122667639804607217055610037222276897125660535867393387520758988742191975881454668757766456386039099618304136651166884285837894817315224103333988986022139294086321685154999346340705988103078279492809641656432950215478117816222205266648568411397418925046010008480574710698821954765024242012324702958840527170691397468834926110714722062344576291849261675828451121993701604116535828610494398858073192433728929874800133162657855679334648028974130744805195983254778166504043858756600786845441298121283027836349047833375238491618175326353210956094314167716502406167476033025536651753033790053751206652384585746115239561996892536666131683827025813468403181407673361179171245419483790320448563829803597121039061081903977294706476632363273453702462195417251028018906861626078936533343480076925181509854593577050552299348783155956422201185632761576292754100011590188442168211102949925619627047439598534360546055031000281001928203258611405909641923152552286611404351267570680350001037695694762146919607982802588225203226606535281092616851086230599872632843883135472242135040050015463386508918479073895502917288831946183341562687982459916936755403709198403385801261550288064244575008908507405185979082827853453876703741441831464459547049366217721956659577931224610507558670044625874192058540222484172491050598404036499099731437083970114106871584490286879298631387656911076344429452472554728461866228503734509379863327125651963316764256245302064633981367185295781707875775230721047581322442821462188250058967373303406558952653525443048272429786304956960698044542463377310464057520889330507500563492306233384909016890623955799083112355016791074283401828927977759307024036249899252161288668769687856073696879401571671968485856689652745951192885122192632634892590618495443560594667928058555696323517052042372183233575049302041805220324586797591792799761227496467911388547837881941690086079224651321049069553743828811872890521971859698688240003855078733979198193290831799518539734950974243847519343652109343530119081013392657749832396760260830485100117414523374222864280429154334705984771277569530141785553279020727154676948167002490961421274227109958651484804389702066993719828635439115	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,4,-4,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
-1.963964	8.628629	-51.001185	0.754682	continued:5	24739664234858138982047535273920704865888201889876711837493816699690678265963591165069870505023217046633362579621148489165328977987949899797415602900085081435628786567950676391780949633448253616219680559998014214784634910618447122667639804607217055610037222276897125660535867393387520758988742191975881454668757766456386039099618304136651166884285837894817315224103333988986022139294086321685154999346340705988103078279492809641656432950215478117816222205266648568411397418925046010008480574710698821954765024242012324702958840527170691397468834926110714722062344576291849261675828451121993701604116535828610494398858073192433728929874800133162657855679334648028974130744805195983254778166504043858756600786845441298121283027836349047833375238491618175326353210956094314167716502406167476033025536651753033790053751206652384585746115239561996892536666131683827025813468403181407673361179171245419483790320448563829803597121039061081903977294706476632363273453702462195417251028018906861626078936533343480076925181509854593577050552299348783155956422201185632761576292754100011590188442168211102949925619627047439598534360546055031000281001928203258611405909641923152552286611404351267570680350001037695694762146919607982802588225203226606535281092616851086230599872632843883135472242135040050015463386508918479073895502917288831946183341562687982459916936755403709198403385801261550288064244575008908507405185979082827853453876703741441831464459547049366217721956659577931224610507558670044625874192058540222484172491050598404036499099731437083970114106871584490286879298631387656911076344429452472554728461866228503734509379863327125651963316764256245302064633981367185295781707875775230721047581322442821462188250058967373303406558952653525443048272429786304956960698044542463377310464057520889330507500563492306233384909016890623955799083112355016791074283401828927977759307024036249899252161288668769687856073696879401571671968485856689652745951192885122192632634892590618495443560594667928058555696323517052042372183233575049302041805220324586797591792799761227496467911388547837881941690086079224651321049069553743828811872890521971859698688240003855078733979198193290831799518539734950974243847519343652109343530119081013392657749832396760260830485100117414523374222864280429154334705984771277569530141785553279020727154676948167002490961421274227109958651484804389702066993719828635439115	7034154424642401747454328459501917449685654526340289234293828087926975613698802301253003986901229215126768695382654920627455886105135280152035329700795293889355277633235554290181731583963896545283708550798937691796831540083280954013969081834852044711745750936591265486142590658887384357622867085996750355661703866246608145583637521959752938257715746356280849074423281893606886464003448175219765453839805265074436365957466696434950037117835419221300496139169463357401794304200505511179843186256343975450709222899770974533288549611356587672080266350186611798483186729611672516579894814424407259636513970213726971934971950794923791587178200087581562191647657559180637528250611814716782845658969675201886788393444756771550459516230136473528206238299429492852666072100117717949589089126430675731256040943404612746901350477100747975579252676970909871375794413069798975304026096502590761192181420638411950542377358262498386858325895972017861890969568117739390988502976937461093504032809308586274777039678542731096437726202177249760143036580241637651675321191327703652142847822668085966845461551107541656985064861435255355077639327735712527385484678639174334734379872052210294513336649415670736797625370668	0,4,-4,3,3,3,3,3,3,3,3,3	4,-4,3,3,3,3,3,3,3,3,3	ok
