word	count	code	period	gamma
10101010	766164	170	2	0.33203125
00110011	454762	51	4	0.796875
11001100	399537	204	4	0.19921875
11111111	371951	255	1	0.99609375
01100110	355791	102	4	0.3984375
10011001	345452	153	4	0.59765625
00000000	322891	0	1	0
11110000	163836	240	8	0.05859375
00001111	154129	15	8	0.9375
11111000	127105	248	8	0.12109375
00000111	126393	7	8	0.875
11100000	125954	224	8	0.02734375
11000000	125774	192	8	0.01171875
00011111	125629	31	8	0.96875
00111111	125511	63	8	0.984375
11000111	122017	199	8	0.88671875
00000011	121481	3	8	0.75
11111100	121386	252	8	0.24609375
00111000	120454	56	8	0.109375
00011100	106923	28	8	0.21875
10000000	106714	128	8	0.00390625
11100011	106303	227	8	0.77734375
01111111	106087	127	8	0.9921875
11111110	104263	254	8	0.49609375
00000001	104185	1	8	0.5
10000111	101701	135	8	0.87890625
00111100	98695	60	8	0.234375
11000011	98084	195	8	0.76171875
01111000	95179	120	8	0.1171875
01110001	85711	113	8	0.5546875
10001110	84727	142	8	0.44140625
00011110	81544	30	8	0.46875
11100001	80743	225	8	0.52734375
00110000	73203	48	8	0.046875
11001111	72912	207	8	0.94921875
11110011	71469	243	8	0.80859375
00001100	71053	12	8	0.1875
11100111	67195	231	8	0.90234375
00011000	67187	24	8	0.09375
10001111	62979	143	8	0.94140625
01110000	62930	112	8	0.0546875
00001110	61221	14	8	0.4375
11110001	61007	241	8	0.55859375
01111110	59520	126	8	0.4921875
01001011	59162	75	8	0.8203125
10000001	59031	129	8	0.50390625
00001000	57571	8	8	0.0625
11000001	57565	193	8	0.51171875
01111100	57390	124	8	0.2421875
10000011	57258	131	8	0.75390625
00111110	57248	62	8	0.484375
11110111	56973	247	8	0.93359375
11101111	55104	239	8	0.96484375
00010000	54727	16	8	0.03125
10100101	54324	165	8	0.64453125
10011111	54106	159	8	0.97265625
00000110	53856	6	8	0.375
01100000	53854	96	8	0.0234375
11111001	53719	249	8	0.62109375
01011010	53223	90	8	0.3515625
10010110	53047	150	8	0.41015625
01101001	52846	105	8	0.5859375
00100000	51954	32	8	0.015625
11011111	51888	223	8	0.98046875
11111011	49303	251	8	0.87109375
00000100	49145	4	8	0.125
10110100	48571	180	8	0.17578125
01010101	47786	85	2	0.6640625
11111101	44689	253	8	0.74609375
00000010	44486	2	8	0.25
10111111	44298	191	8	0.98828125
01000000	44029	64	8	0.0078125
11100110	43760	230	8	0.40234375
00011001	43589	25	8	0.59375
10000110	43415	134	8	0.37890625
01100111	43151	103	8	0.8984375
10011000	43149	152	8	0.09765625
01111001	42941	121	8	0.6171875
00101101	41958	45	8	0.703125
11000110	41782	198	8	0.38671875
00111001	41744	57	8	0.609375
10001000	41740	136	4	0.06640625
10011110	41727	158	8	0.47265625
01100001	41706	97	8	0.5234375
11010010	41654	210	8	0.29296875
10011100	41239	156	8	0.22265625
01100011	41077	99	8	0.7734375
10001100	39978	140	8	0.19140625
01110011	39639	115	8	0.8046875
00100011	39436	35	8	0.765625
11011100	39388	220	8	0.23046875
11001110	38391	206	8	0.44921875
00110001	38187	49	8	0.546875
11000100	37640	196	8	0.13671875
00111011	37257	59	8	0.859375
11001000	36697	200	8	0.07421875
11011000	36520	216	8	0.10546875
01110111	36382	119	4	0.9296875
00110111	36368	55	8	0.921875
00100111	35737	39	8	0.890625
01100101	35064	101	8	0.6484375
10011010	34909	154	8	0.34765625
01000111	34900	71	8	0.8828125
10100110	34780	166	8	0.39453125
