monotone_signs	monotone_bits	monotone_code	palette_code	palette_word	red	green	blue	hex	count
- - - - - - -	0000000	0	128	10000000	87	194	194	#57c2c2	813950
- - - - - - +	0000001	1	129	10000001	194	95	69	#c25f45	20332
- - - - - + -	0000010	2	130	10000010	51	134	194	#3386c2	35512
- - - - - + +	0000011	3	131	10000011	194	135	33	#c28721	14935
- - - - + - -	0000100	4	132	10000100	94	112	209	#5e70d1	39133
- - - - + - +	0000101	5	133	10000101	202	209	75	#cad14b	30907
- - - - + + -	0000110	6	134	10000110	96	55	209	#6037d1	22342
- - - - + + +	0000111	7	135	10000111	126	209	36	#7ed124	20583
- - - + - - -	0001000	8	136	10001000	186	101	224	#ba65e0	107547
- - - + - - +	0001001	9	137	10001001	95	224	80	#5fe050	35478
- - - + - + -	0001010	10	138	10001010	224	59	206	#e03bce	69187
- - - + - + +	0001011	11	139	10001011	38	224	98	#26e062	28437
- - - + + - -	0001100	12	140	10001100	240	108	170	#f06caa	26635
- - - + + - +	0001101	13	141	10001101	85	240	200	#55f0c8	36188
- - - + + + -	0001110	14	142	10001110	240	63	71	#f03f47	26222
- - - + + + +	0001111	15	143	10001111	41	207	240	#29cff0	39369
- - + - - - -	0010000	16	144	10010000	194	127	87	#c27f57	34075
- - + - - - +	0010001	17	145	10010001	69	121	194	#4579c2	107733
- - + - - + -	0010010	18	146	10010010	194	165	51	#c2a533	58004
- - + - - + +	0010011	19	147	10010011	34	33	194	#2221c2	38429
- - + - + - -	0010100	20	148	10010100	184	209	94	#b8d15e	54032
- - + - + - +	0010101	21	149	10010101	132	75	209	#844bd1	66611
- - + - + + -	0010110	22	150	10010110	110	209	55	#6ed137	45627
- - + - + + +	0010111	23	151	10010111	183	36	209	#b724d1	50744
- - + + - - -	0011000	24	152	10011000	101	224	109	#65e06d	29443
- - + + - - +	0011001	25	153	10011001	224	80	185	#e050b9	48802
- - + + - + -	0011010	26	154	10011010	59	224	139	#3be08b	51352
- - + + - + +	0011011	27	155	10011011	224	38	95	#e0265f	69678
- - + + + - -	0011100	28	156	10011100	108	240	227	#6cf0e3	32445
- - + + + - +	0011101	29	157	10011101	240	104	85	#f06855	54707
- - + + + + -	0011110	30	158	10011110	63	182	240	#3fb6f0	49925
- - + + + + +	0011111	31	159	10011111	240	148	41	#f09429	88327
- + - - - - -	0100000	32	160	10100000	87	114	194	#5772c2	36207
- + - - - - +	0100001	33	161	10100001	194	189	69	#c2bd45	35340
- + - - - + -	0100010	34	162	10100010	76	51	194	#4c33c2	105893
- + - - - + +	0100011	35	163	10100011	132	194	33	#84c221	29853
- + - - + - -	0100100	36	164	10100100	162	94	209	#a25ed1	57660
- + - - + - +	0100101	37	165	10100101	101	209	75	#65d14b	60983
- + - - + + -	0100110	38	166	10100110	209	55	207	#d137cf	56805
- + - - + + +	0100111	39	167	10100111	36	209	75	#24d14b	51583
- + - + - - -	0101000	40	168	10101000	224	101	170	#e065aa	69973
- + - + - - +	0101001	41	169	10101001	80	224	174	#50e0ae	56354
- + - + - + -	0101010	42	170	10101010	224	59	82	#e03b52	701243
- + - + - + +	0101011	43	171	10101011	38	211	224	#26d3e0	86300
- + - + + - -	0101100	44	172	10101100	240	145	108	#f0916c	40942
- + - + + - +	0101101	45	173	10101101	85	164	240	#55a4f0	82316
- + - + + + -	0101110	46	174	10101110	240	187	63	#f0bb3f	83433
- + - + + + +	0101111	47	175	10101111	41	58	240	#293af0	107960
- + + - - - -	0110000	48	176	10110000	180	194	87	#b4c257	21380
- + + - - - +	0110001	49	177	10110001	111	69	194	#6f45c2	42651
- + + - - + -	0110010	50	178	10110010	116	194	51	#74c233	44181
- + + - - + +	0110011	51	179	10110011	155	33	194	#9b21c2	78122
- + + - + - -	0110100	52	180	10110100	98	209	94	#62d15e	56799
- + + - + - +	0110101	53	181	10110101	209	75	185	#d14bb9	79617
- + + - + + -	0110110	54	182	10110110	55	209	115	#37d173	170438
- + + - + + +	0110111	55	183	10110111	209	36	105	#d12469	125909
- + + + - - -	0111000	56	184	10111000	101	224	201	#65e0c9	27213
- + + + - - +	0111001	57	185	10111001	224	83	80	#e05350	59469
- + + + - + -	0111010	58	186	10111010	59	186	224	#3bbae0	86356
- + + + - + +	0111011	59	187	10111011	224	121	38	#e07926	196880
- + + + + - -	0111100	60	188	10111100	108	153	240	#6c99f0	50568
- + + + + - +	0111101	61	189	10111101	240	219	85	#f0db55	114648
- + + + + + -	0111110	62	190	10111110	77	63	240	#4d3ff0	118551
- + + + + + +	0111111	63	191	10111111	182	240	41	#b6f029	212801
+ - - - - - -	1000000	64	192	11000000	141	87	194	#8d57c2	20122
+ - - - - - +	1000001	65	193	11000001	105	194	69	#69c245	29226
+ - - - - + -	1000010	66	194	11000010	183	51	194	#b733c2	34548
+ - - - - + +	1000011	67	195	11000011	33	194	54	#21c236	28453
+ - - - + - -	1000100	68	196	11000100	209	94	170	#d15eaa	83612
+ - - - + - +	1000101	69	197	11000101	75	209	149	#4bd195	59878
+ - - - + + -	1000110	70	198	11000110	209	55	91	#d1375b	40620
+ - - - + + +	1000111	71	199	11000111	36	209	205	#24d1cd	47476
+ - - + - - -	1001000	72	200	11001000	224	124	101	#e07c65	27571
+ - - + - - +	1001001	73	201	11001001	80	167	224	#50a7e0	58016
+ - - + - + -	1001010	74	202	11001010	224	160	59	#e0a03b	56466
+ - - + - + +	1001011	75	203	11001011	38	72	224	#2648e0	72257
+ - - + + - -	1001100	76	204	11001100	236	240	108	#ecf06c	43699
