word	code	red	green	blue	hex	count
00000000	0	194	87	87	#c25757	322891
00000001	1	69	168	194	#45a8c2	104185
00000010	2	194	111	51	#c26f33	44486
00000011	3	33	92	194	#215cc2	121481
00000100	4	209	191	94	#d1bf5e	49145
00000101	5	82	75	209	#524bd1	19339
00000110	6	168	209	55	#a8d137	53856
00000111	7	118	36	209	#7624d1	126393
00001000	8	140	224	101	#8ce065	57571
00001001	9	210	80	224	#d250e0	25444
00001010	10	59	224	77	#3be04d	10703
00001011	11	224	38	165	#e026a5	23795
00001100	12	108	240	178	#6cf0b2	71053
00001101	13	240	85	125	#f0557d	24352
00001110	14	63	240	231	#3ff0e7	61221
00001111	15	240	73	41	#f04929	154129
00010000	16	87	154	194	#579ac2	54727
00010001	17	194	142	69	#c28e45	34365
00010010	18	51	80	194	#3350c2	15956
00010011	19	193	194	33	#c1c221	31511
00010100	20	119	94	209	#775ed1	13786
00010101	21	151	209	75	#97d14b	7363
00010110	22	154	55	209	#9a37d1	15241
00010111	23	61	209	36	#3dd124	27555
00011000	24	224	101	217	#e065d9	67187
00011001	25	80	224	120	#50e078	43589
00011010	26	224	59	144	#e03b90	14539
00011011	27	38	224	168	#26e0a8	34394
00011100	28	240	108	120	#f06c78	106923
00011101	29	85	222	240	#55def0	32335
00011110	30	240	121	63	#f0793f	81544
00011111	31	41	132	240	#2984f0	125629
00100000	32	194	167	87	#c2a757	51954
00100001	33	69	74	194	#454ac2	30796
00100010	34	169	194	51	#a9c233	21786
00100011	35	95	33	194	#5f21c2	39436
00100100	36	141	209	94	#8dd15e	28860
00100101	37	183	75	209	#b74bd1	13637
00100110	38	55	209	57	#37d139	28288
00100111	39	209	36	170	#d124aa	35737
00101000	40	101	224	155	#65e09b	14165
00101001	41	224	80	131	#e05083	17303
00101010	42	59	224	201	#3be0c9	10123
00101011	43	224	51	38	#e03326	14653
00101100	44	108	203	240	#6ccbf0	29956
00101101	45	240	161	85	#f0a155	41958
00101110	46	63	116	240	#3f74f0	20256
00101111	47	240	223	41	#f0df29	23843
00110000	48	101	87	194	#6557c2	73203
00110001	49	152	194	69	#98c245	38187
00110010	50	129	51	194	#8133c2	32792
00110011	51	72	194	33	#48c221	454762
00110100	52	206	94	209	#ce5ed1	31787
00110101	53	75	209	99	#4bd163	17317
00110110	54	209	55	149	#d13795	28909
00110111	55	36	209	140	#24d18c	36368
00111000	56	224	101	124	#e0657c	120454
00111001	57	80	221	224	#50dde0	41744
00111010	58	224	98	59	#e0623b	16523
00111011	59	38	141	224	#268de0	37257
00111100	60	240	194	108	#f0c26c	98695
00111101	61	85	106	240	#556af0	27608
00111110	62	226	240	63	#e2f03f	57248
00111111	63	98	41	240	#6229f0	125511
01000000	64	141	194	87	#8dc257	44029
01000001	65	158	69	194	#9e45c2	25054
01000010	66	62	194	51	#3ec233	16211
01000011	67	194	33	172	#c221ac	27290
01000100	68	94	209	134	#5ed186	24162
01000101	69	209	75	134	#d14b86	14516
01000110	70	55	209	173	#37d1ad	25680
01000111	71	209	36	40	#d12428	34900
01001000	72	101	201	224	#65c9e0	19213
01001001	73	224	138	80	#e08a50	29345
