delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-23.01507538	-43.32204812	0.8464564692	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	498.5028884,7409.885834,15350.71302,23929.65415,24896.72484,25779.43176,33123.79902,35054.08078	258.5044028,4915.366873,5923.692808,6234.59306,6579.760837,6973.449864,7438.984605,8025.295306	0.9839295431,0.9624995643,0.9637106303,0.9675696775,0.9781040674,0.9820680362,0.9647495802,0.9837138702	0.996780487,-0.9674634229,-0.9868696808,-0.989906932,-0.9888428169,-0.9875090209,-0.9860906737,-0.9840489998	ok
-1.49497487	-23.01507538	-44.14667251	0.8436631204	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	682.8913349,7389.013141,15242.87376,23235.25419,32789.85594,33297.914,33609.16327,33940.59589	258.3704865,4916.379751,5924.410419,6235.155985,6580.122586,6973.579126,7438.855872,8024.910087	0.9827910637,0.961845732,0.962645577,0.964155839,0.9682631449,0.9464289356,0.9844491963,0.9886678714	0.9967810013,-0.9674356829,-0.9867255862,-0.9898908588,-0.9888321524,-0.9874957617,-0.9860752347,-0.9840305909	ok
-1.48994975	-23.01507538	-44.89188360	0.8408697715	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	882.8600579,7333.279239,15143.56647,23024.57407,31124.80227,32876.96308,39049.40554,46828.34136	258.236752,4917.406411,5925.142846,6235.735069,6580.5016,6973.726978,7438.747569,8024.548395	0.9827758754,0.9613359331,0.9619521441,0.9629242621,0.9649980023,0.9830142546,0.9609581266,0.9614224239	0.9967815132,-0.9674079292,-0.9865757489,-0.9898745051,-0.9888214284,-0.9874824581,-0.9860597393,-0.9840121064	ok
-1.48492462	-23.01507538	-45.59347128	0.8380764226	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1089.073957,7244.968333,15038.17954,22885.76023,30867.52874,40364.02647,40948.72009,41316.77779	258.1031991,4918.446683,5925.889892,6236.330118,6580.897677,6973.893207,7438.659461,8024.209964	0.9830155825,0.9610311247,0.9615915753,0.962425808,0.9639467706,0.9687342556,0.963495907,0.9855672192	0.9967820225,-0.9673801617,-0.9864198853,-0.9898578644,-0.9888106444,-0.9874691102,-0.9860441878,-0.9839935467	ok
-1.47989950	-23.01507538	-46.26416898	0.8352830737	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1287.089673,7174.145388,14969.74849,22823.98735,30830.9306,40357.01579,40853.61727,41157.04123	257.9698271,4919.500405,5926.651363,6236.940941,6581.310618,6974.0776,7438.591318,8023.894533	0.9832375877,0.9609517669,0.9615486582,0.9624465086,0.9641245954,0.9680555305,0.9367017818,0.9832886738	0.9967825294,-0.9673523805,-0.9862576959,-0.9898409299,-0.9887997999,-0.987455718,-0.9860285802,-0.9839749118	ok
-1.47487437	-23.01507538	-46.90664273	0.8324897248	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1459.434636,7191.271799,15001.22531,22888.50096,31032.48687,32686.74905,39197.95238,47087.80867	257.8366359,4920.567414,5927.427067,6237.567353,6581.740229,6974.279949,7438.542913,8023.601845	0.9833525469,0.9610147611,0.9617080114,0.9628049675,0.9651652452,0.9825388405,0.9617260749,0.9628365851	0.9967830337,-0.9673245854,-0.9860888637,-0.9898236945,-0.9887888943,-0.9874422815,-0.9860129168,-0.9839562019	ok
-1.46984925	-23.01507538	-47.51889472	0.8298240934	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1598.445143,7310.343659,15138.58583,23073.25267,31566.63164,32638.74145,33814.79733,40200.27277	257.7036248,4921.64755,5928.216813,6238.209168,6582.186318,6974.500051,7438.514023,8023.33165	0.9833447662,-0.9611080019,-0.961918795,-0.9632888263,-0.9670094307,-0.9790147512,-0.9827638215,-0.9615907264	0.9967835356,-0.9672967764,-0.9859130533,-0.9898061511,-0.988777927,-0.9874288007,-0.9859971978,-0.9839374173	ok
-1.46482412	-23.01507538	-48.09608749	0.8276994816	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1720.07794,7474.091723,15322.44034,23318.28249,32916.9963,33467.86208,33807.68815,34178.14793	257.5707934,4922.740657,5929.020414,6238.866206,6582.648694,6974.737704,7438.504431,8023.0837	0.9832794331,0.9612020539,0.9621405927,0.9638493703,0.9684664537,0.9579448812,0.9853127284,0.9875926075	0.996784035,-0.9672689537,-0.9857299092,-0.9897882921,-0.9887668975,-0.9874152755,-0.9859814231,-0.9839185581	ok
-1.45979899	-23.01507538	-48.63025475	0.8266569091	continued:5	1,1,1,1,1,1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	0.878394236,1851.816133,7608.00197,15478.59046,23556.97604,25698.62402,30681.53875,38754.2934	257.4381415,4923.846579,5929.837683,6239.538287,6583.127171,6974.99271,7438.51392,8022.857752	0.9872852894,0.9832517664,0.9612970755,0.962375464,0.9645132866,0.9842006237,-0.9623567974,-0.9644676544	0.9967845319,-0.9672411171,-0.9855390549,-0.9897701099,-0.9887558052,-0.9874017061,-0.9859655931,-0.9838996243	ok
-1.45477387	-23.01507538	-49.11114678	0.8261553563	full	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1892.771371,7634.435119,15529.78196,23726.89892,25298.3832,32087.56708,40381.83181,41734.38446	257.3056684,4924.965164,5930.668437,6240.225236,6583.621567,6975.264873,7438.542279,8022.653568	0.9832404388,-0.9613936517,-0.9626250638,-0.9653232367,-0.9820606244,-0.962819034,-0.9659141427,-0.9809675319	0.9967850263,-0.9672132666,-0.9853400903,-0.9897515966,-0.9887446494,-0.9873880923,-0.9859497078,-0.9838806163	ok
