delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-26.90954774	-48.60938161	0.8344469162	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	55.286636,1840.050924,7939.89278,15594.39399,23246.31728,30896.38614,38545.14825,46193.0081	5185.240834,5617.345945,5886.288282,6164.32886,6462.718527,6790.219985,7156.482794,7575.807552	0.9917870962,0.9837656323,0.9547049761,0.9544635853,0.9542502286,0.9540637117,0.9539028725,0.95376407	-0.9657025891,-0.8798203588,-0.9745165671,-0.9907549766,-0.9913855953,-0.9901081313,-0.9887120848,-0.9874497876	ok
-1.44472362	-26.90954774	-41.23745707	0.8551376860	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	233.8051919,7284.899901,15042.29984,22804.60238,30574.60721,38357.50829,46164.58748,54029.30451	5185.121892,5617.20138,5886.020774,6163.952865,6462.185103,6789.502628,7155.563028,7574.674451	0.9906749934,0.9576460264,0.9577130309,0.9578121987,0.9579633281,0.9582049888,0.9586240219,0.9594906007	-0.9656741175,-0.8729221341,-0.9739342243,-0.9907195113,-0.9913791808,-0.9901018064,-0.9887018253,-0.9874361773	ok
-1.43969849	-26.90954774	-42.50810862	0.8523443371	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	385.5117552,7342.978682,15063.72656,22780.21032,30491.85154,38198.16226,45898.80083,53593.61441	5185.024917,5617.077527,5885.774992,6163.600407,6461.676253,6788.810904,7154.670152,7573.569859	0.9868835448,0.9568846905,0.9567904155,0.9566771425,0.9565434781,0.9563897913,0.9562173151,0.9560286261	-0.965645633,-0.8642612384,-0.9733101264,-0.9906830997,-0.9913726476,-0.9900954418,-0.988691531,-0.9874225213	ok
-1.43467337	-26.90954774	-43.35753513	0.8495509882	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	550.4546726,7367.685914,15069.98483,22768.2664,30462.42292,38152.44715,45838.43244,53520.56318	5184.94963,5616.973834,5885.550561,6163.271178,6461.191664,6788.144485,7153.80382,7572.493407	0.9841932419,0.95627992,0.9561603436,0.9560291977,0.9558876829,0.9557376771,0.9555814722,0.955422059	-0.9656171354,-0.8530633319,-0.972638189,-0.9906457108,-0.9913659942,-0.9900890376,-0.9886812021,-0.9874088198	ok
-1.42964824	-26.90954774	-44.07194051	0.8467576394	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	731.6582694,7347.851554,15039.2126,22727.8645,30413.84543,38097.23301,45778.13981,53456.70707	5184.895756,5616.88966,5885.347095,6162.964875,6460.731024,6787.503048,7152.963693,7571.444734	0.9834770034,0.9557569429,0.9556541439,0.9555469574,0.9554357522,0.9553219859,0.9552067377,0.9550911832	-0.965588625,-0.8380894825,-0.9719107021,-0.9906073127,-0.9913592187,-0.9900825937,-0.9886708386,-0.9873950732	ok
-1.42462312	-26.90954774	-44.72363093	0.8439642905	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	923.7289483,7261.629437,14947.99617,22632.81623,30316.11718,37997.93879,45678.33153,53357.35512	5184.863023,5616.824232,5885.164197,6162.6812,6460.294031,6786.886278,7152.149438,7570.423486	0.9834880938,0.9553630598,0.9552927935,0.9552203683,0.9551466365,0.9550719043,0.954996581,0.9549211425	-0.9655601014,-0.8172808144,-0.9711177065,-0.9905678718,-0.9913523194,-0.99007611,-0.9886604408,-0.9873812816	ok
-1.41959799	-26.90954774	-45.34030114	0.8411709416	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1117.059326,7122.555552,14809.16981,22495.07524,30180.26727,37864.74389,45548.50602,53231.55725	5184.851168,5616.776577,5885.001449,6162.419861,6459.880383,6786.293862,7151.36073,7569.429316	0.9836451111,0.9551619093,0.95512701,0.9550910486,0.9550539145,0.955016181,0.9549775383,0.9549381085	-0.9655315647,-0.7870850829,-0.9702460637,-0.9905273533,-0.9913452942,-0.9900695866,-0.9886500088,-0.9873674453	ok
-1.41457286	-26.90954774	-45.93307158	0.8383775927	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1298.376921,7020.331347,14711.28576,22402.31239,30093.41508,37784.59802,45475.86558,53167.22241	5184.859927,5616.745396,5884.85841,6162.180571,6459.489789,6785.725496,7150.597249,7568.461884	0.9837721227,0.9551507474,0.9551541174,0.9551575783,0.9551614847,0.9551654287,0.9551695109,0.9551737395	-0.9655030147,-0.7412129373,-0.96927803,-0.9904857211,-0.9913381413,-0.9900630232,-0.9886395427,-0.9873535645	ok
-1.40954774	-26.90954774	-46.50522463	0.8355842439	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1453.742001,7049.147008,14746.52845,22445.01785,30144.74321,37845.8562,45548.5385,53253.01042	5184.889045,5616.728832,5884.734605,6161.963048,6459.121959,6785.180881,7149.858678,7567.520855	0.9838122401,-0.9552293739,-0.9552764255,-0.9553271864,-0.9553822141,-0.9554424578,-0.9555088248,-0.9555815372	-0.9654744515,-0.6688003314,-0.9681889991,-0.9904429372,-0.9913308587,-0.9900564199,-0.9886290428,-0.9873396395	ok
-1.40452261	-26.90954774	-47.05600990	0.8329186124	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1580.018297,7208.961115,14913.29351,22620.10875,30329.86551,38043.1612,45760.79449,53483.86883	5184.938268,5616.723976,5884.629509,6161.767013,6458.776611,6784.659721,7149.144711,7566.605902	0.9837642945,0.9553161488,0.9554109101,0.9555160318,0.9556343536,0.9557688717,0.9559241892,0.9561063613	-0.965445875,-0.5554056679,-0.9669437945,-0.9903989624,-0.9913234441,-0.9900497765,-0.988618509,-0.9873256704	ok
