delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-20.350350	-48.512286	0.824444	continued:5	116013826269667163903611889	246445186543528	-1,0,1,1,0,2	-9,0,4,7	ok
-1.498999	-20.350350	-49.063877	0.823942	continued:5	1862282345638155014	166014456073	-1,0,1,1,-3,0	-9,0,-5,0,-2	ok
-1.497998	-20.350350	-49.555262	0.823775	full	13548463500965402	447259169	-1,0,1,-2,0,1	-9,0,5,2	ok
-1.496997	-20.350350	-45.896776	0.833065	continued:5	92312646395821356400947970152216152	54044501872136564	-1,0,1,8,0,3	-9,0,5,8,1	ok
-1.495996	-20.350350	-46.606188	0.830272	continued:5	5537216938002483536097902	464749875626564795219704	-1,0,1,5,5	-9,0,6,0,5	ok
-1.494995	-20.350350	-47.284547	0.827479	continued:5	862593248022466838016019652	878789909	-1,0,1,6,6	-9,0,6,2	ok
-1.493994	-20.350350	-47.928523	0.825020	continued:5	13771286268493628055692252	322958659957139	-1,0,1,7,5	-9,0,6,7	ok
-1.492993	-20.350350	-48.530898	0.823643	continued:5	94987390245186707930027	566173324201445012818830447883	-1,0,1,-8,0,-2	-9,0,-7,0,8	ok
-1.491992	-20.350350	-49.079800	0.823141	continued:5	103550230110882364889	406801205789387623	-1,0,1,8,2,0	-9,0,7,0,3	ok
-1.490991	-20.350350	-49.568406	0.822974	full	546785998256716415711631840584284089299715193585478240	190544464	-1,0,-2,-1,0,-7	-9,0,7,-1,0	ok
-1.489990	-20.350350	-45.922854	0.832263	continued:5	2127405144662074715501714	1742244683500249	-1,0,2,3,5	-9,0,7,2,2	ok
-1.488989	-20.350350	-46.631093	0.829470	continued:5	96170543900984502135322964	5231688948238	-1,0,2,0,6	-9,0,7,5	ok
-1.487988	-20.350350	-47.307794	0.826676	continued:5	14588404572902795222570339955328236513999235214	368491057017388	-1,0,2,0,8,4	-9,0,7,7	ok
-1.486987	-20.350350	-47.949650	0.824217	continued:5	141662985646921422772284275	5560011693332464	-1,0,2,1,6	-9,0,7,8,0	ok
-1.485986	-20.350350	-48.549546	0.822840	continued:5	7211728812903678686781796316252	2275421651211874	-1,0,2,3,8,0	-9,0,7,8	ok
-1.484985	-20.350350	-49.095746	0.822339	continued:5	21220998126902180	128058750739939	-1,0,2,7,-1,0	-9,0,-8,-1,2	ok
-1.483984	-20.350350	-49.581566	0.822172	full	93396130434531752	418064821629179359	-1,0,2,8,-1,0	-9,0,-8,0,3	ok
-1.482983	-20.350350	-45.948538	0.831452	continued:5	3793222724870705	418064821629179359	-1,0,3,8,0	-9,0,-8,0,3	ok
-1.481982	-20.350350	-46.655686	0.828659	continued:5	712803138025727071582607769810515	99051404250015327988651603	-1,0,3,0,8,1	-9,0,8,0,6	ok
-1.480981	-20.350350	-47.330802	0.825866	continued:5	791621959687842356701285102025	567589347183853136378773433908	-1,0,3,1,-8,0	-9,0,8,0,8	ok
-1.479980	-20.350350	-47.970607	0.823407	continued:5	2107243764218257404295668421652	404971553	-1,0,3,6,8	-9,0,8,-1,0	ok
