delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-30.67839196	-42.86288650	0.8687231753	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	532.7032204,7737.493888,15336.34876,22936.29896,30537.08225,38138.35109,45739.87881,53341.53934	5262.425295,5680.66634,5946.599868,6219.157506,6510.487644,6827.106271,7175.764854,7565.677782	0.985767829,0.9474435395,0.9466791914,0.9462685419,0.9460217962,0.9458251924,0.9455912619,0.9452226681	1.353248254e-14,2.271796277e-13,3.716277955e-13,5.399916894e-13,7.148772809e-13,9.735926614e-13,1.261814839e-12,1.650218464e-12	ok
-1.49497487	-30.67839196	-43.47541418	0.8659298264	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	703.2067372,7847.091886,15447.70343,23049.28975,30651.53768,38254.16381,45856.99218,53459.92589	5260.739242,5678.993756,5944.780027,6217.183066,6508.333346,6824.751881,7173.193583,7562.876982	0.9848489389,0.9471318195,0.9465697273,0.9462685586,0.9460940206,0.9459678652,0.9458398298,0.9456589164	1.824452491e-14,2.273681794e-13,3.705007676e-13,5.342925818e-13,7.329773365e-13,9.753699268e-13,1.296321058e-12,1.680595251e-12	ok
-1.48994975	-30.67839196	-44.02867915	0.8631364775	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	883.6819277,7904.569656,15507.10175,23110.4078,30714.19468,38318.25122,45922.45268,53526.7303	5259.095639,5677.364292,5943.004381,6215.254204,6506.226103,6822.446241,7170.673085,7560.129479	0.9847187854,0.9468385711,0.9464600509,0.9462560568,0.9461383154,0.9460581786,0.9459830641,0.945888124	2.26393608e-14,2.275450356e-13,3.573888834e-13,5.244940821e-13,7.269164794e-13,9.602863886e-13,1.282034036e-12,1.665746858e-12	ok
-1.48492462	-30.67839196	-44.55319168	0.8603431287	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1066.492849,7808.397003,15412.92451,23017.98503,30623.35771,38228.90327,45834.54227,53440.23099	5257.493804,5675.777234,5941.272196,6213.370161,6504.165123,6820.188518,7168.202484,7557.434333	0.9847859438,0.9465971928,0.9463626732,0.9462296522,0.9461451553,0.9460775975,0.9460029345,0.9459000499	2.658912922e-14,2.276764166e-13,3.69057784e-13,5.270601501e-13,7.18264176e-13,9.497757207e-13,1.277235894e-12,1.66076069e-12	ok
-1.47989950	-30.67839196	-45.06311087	0.8575497798	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1240.672493,7382.73732,14989.10947,22595.845,30202.78911,37809.84892,45416.97183,53024.12901	5255.933073,5674.23189,5939.582753,6211.530196,6502.149637,6817.977904,7165.780921,7554.790626	0.9848602842,0.9464230924,0.94622984,0.9460748612,0.9459113353,0.9456957107,0.945375265,0.9448715878	3.008795242e-14,2.279153646e-13,3.645953801e-13,5.211918491e-13,7.06911274e-13,9.373087742e-13,1.260448465e-12,1.644828291e-12	ok
-1.47487437	-30.67839196	-45.56476978	0.8547564309	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1393.948399,7018.80218,14626.73754,22235.00933,29843.47818,37452.05839,45060.7006,52669.37707	5254.412792,5672.727578,5937.935354,6209.733587,6500.178894,6815.813611,7163.407563,7552.197466	0.9848831088,0.9438170868,0.942120474,0.9396402388,0.9358887119,0.9301639713,0.9214477242,0.9083066628	3.365122325e-14,2.280130981e-13,3.751718503e-13,5.311529544e-13,7.141966565e-13,9.467464424e-13,1.270461154e-12,1.69689413e-12	ok
-1.46984925	-30.67839196	-46.06004299	0.8520907995	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1523.472671,7199.963094,14809.4457,22419.27179,30029.30438,37639.45692,45249.67753,52859.93661	5252.932327,5671.263637,5936.329312,6207.979628,6498.252157,6813.694867,7161.081596,7549.653984	0.9848491952,0.9466208236,0.9464788351,0.946394223,0.9463409676,0.9462994862,0.9462598064,0.9462100952	3.57700401e-14,2.282307366e-13,3.72350281e-13,5.185185231e-13,7.02210491e-13,9.262761912e-13,1.252208817e-12,1.636547213e-12	ok
-1.46482412	-30.67839196	-46.54682540	0.8501728388	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1658.195227,7253.073469,14864.18035,22475.63263,30087.29901,37699.09257,45310.96021,52922.87041	5251.491055,5669.839414,5934.763958,6206.26763,6496.36871,6811.620925,7158.802228,7547.159334	0.9848293669,0.9139156955,0.8998210069,0.8805264915,0.8546344246,0.8208250265,0.7781918148,0.7266522044	3.729278434e-14,2.302886805e-13,3.608432625e-13,5.272547875e-13,7.032383197e-13,9.280919475e-13,1.234724573e-12,1.619692761e-12	ok
-1.45979899	-30.67839196	-47.01591445	0.8489236152	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1793.236537,7294.911457,14907.7117,22520.85772,30134.22493,37747.72689,45361.30924,52974.93889	5250.088365,5668.454277,5933.238638,6204.596918,6494.527854,6809.59105,7156.568685,7544.712692	0.9848115209,-0.9211937618,-0.9111769802,-0.8978992177,-0.8804203474,-0.8577297092,-0.8288583848,-0.7930699084	3.732742108e-14,2.304213622e-13,3.726788475e-13,5.148161186e-13,6.949357105e-13,9.214651586e-13,1.224049364e-12,1.659052186e-12	ok
-1.45477387	-30.67839196	-47.45922086	0.8480876938	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	44.56778991,1914.411958,7567.819253,15182.38672,22797.29716,30412.43413,38027.71304,45643.0786	5248.723662,5667.107603,5931.752713,6202.966835,6492.728906,6807.604528,7154.380215,7542.313254	0.9711853514,0.9847656533,0.9041231267,0.8903425179,0.8728202409,0.8508613332,0.8238305875,0.7912733215	3.508236577e-14,2.304982798e-13,3.716660102e-13,5.297375765e-13,7.065115408e-13,9.31735756e-13,1.253010486e-12,1.674489093e-12	ok
