delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-41.48241206	-44.64759728	0.8816911601	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	1683.43086,3483.650277,5726.687698,7986.869763,10079.34413,12220.36927,14380.5742,16578.01447	6028.985286,6479.396909,6824.69805,7186.095754,7577.900176,8007.360455,8482.857763,9015.774947	0.9862112724,0.9243789224,0.9863596804,-0.923235481,-0.9858374245,0.9162242718,0.9841194156,-0.9005913116	-1.121778147e-13,1.171174708e-13,2.573473337e-13,4.134730677e-13,6.014135668e-13,8.356643493e-13,1.094063138e-12,1.412715825e-12	ok
-1.44472362	-41.48241206	-44.88439875	0.8811896073	continued:5	1,1,-1,-1,1,1,-1,-1	-1,1,1,1,1,1,1,1	33.37835618,1819.148105,3631.379663,5886.509507,8161.888068,10252.75277,12398.26132,14565.85109	6140.217067,6575.648408,6900.953772,7238.507033,7601.957208,7997.440853,8431.532803,8912.849557	0.9647452505,0.9862003196,-0.923440135,-0.9864201212,0.9242628473,0.9861501065,-0.9207181109,-0.9852650737	-9.702680042e-14,1.130095314e-13,2.411135783e-13,3.896690688e-13,5.731179528e-13,7.938247484e-13,1.046281554e-12,1.37751769e-12	ok
-1.43969849	-41.48241206	-45.11209240	0.8804814033	full	1,1,1,1,-1,-1,1,1	-1,1,1,1,1,1,1,1	48.4421307,1835.251166,3637.094898,5904.522058,8195.247524,10283.90801,12433.41262,14608.64578	6223.853792,6647.032699,6956.831656,7276.10975,7618.024887,7988.009699,8391.492164,8835.376513	0.9933285883,0.986172544,0.927550383,0.9855154071,-0.9182559866,-0.9841083622,0.8969405744,0.9786959219	-9.148920601e-14,1.331839786e-13,2.580253662e-13,4.059633054e-13,5.682665639e-13,7.650241392e-13,9.946346603e-13,1.296754185e-12	ok
-1.43467337	-41.48241206	-41.06929611	0.8939010790	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	284.9755779,2028.741887,4363.383538,6706.542869,8764.620872,10892.32785,13088.58616,15333.35895	6278.029347,6691.70728,6989.999673,7295.849538,7622.049455,7973.590318,8355.176145,8772.646523	0.9925286824,0.9246753235,0.9865246092,-0.9251369411,-0.9862179396,0.9227126865,0.9858848138,-0.9203935489	-8.104287718e-14,1.232236192e-13,2.566753759e-13,3.864721891e-13,5.392016423e-13,7.458202716e-13,9.707887953e-13,1.233876321e-12	ok
-1.42964824	-41.48241206	-41.80002495	0.8914420987	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	417.9122087,2195.267948,4499.14997,6828.696649,8905.253184,11055.87392,13250.21666,15500.02401	6307.720809,6714.210641,7004.08258,7300.18402,7615.03389,7953.339828,8319.33954,8718.192247	0.9893727026,0.9211172287,0.9855912859,-0.9201071831,-0.9845651317,0.9043135816,0.9809328738,-0.8858844347	-6.911984796e-14,1.328073154e-13,2.570289358e-13,3.909530134e-13,5.554749118e-13,7.297462273e-13,9.503388816e-13,1.210443522e-12	ok
-1.42462312	-41.48241206	-42.27519667	0.8889831183	continued:5	1,-1,-1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	549.319531,2345.488343,4653.566346,6992.889354,9069.938736,11227.05651,13427.81962,15689.20664	6319.798984,6720.857005,7004.511445,7293.461139,7600.017018,7928.698114,8283.430941,8668.922273	0.9873441918,-0.9137760163,-0.984302656,0.9148227316,0.9828802422,-0.8872614435,-0.9760309233,0.8602443695	-5.41893432e-14,1.430015621e-13,2.530180642e-13,3.699409522e-13,5.177376551e-13,6.789048452e-13,9.00449035e-13,1.134881898e-12	ok
-1.41959799	-41.48241206	-42.65342243	0.8863174869	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	676.0604205,2464.940224,4784.109937,7137.931519,9211.414297,11371.35121,13580.59976,15855.22491	6320.124552,6717.027762,6995.994692,7279.580848,7579.935941,7901.448093,8247.827731,8623.467782	0.9865192602,0.6827363158,0.9142175939,-0.6810679957,-0.8803891351,0.4651396586,0.7559495533,-0.3832153156	-4.689661333e-14,1.514921127e-13,2.672499429e-13,3.930936319e-13,5.267712669e-13,6.993835605e-13,8.821984835e-13,1.134523185e-12	ok
-1.41457286	-41.48241206	-42.98721819	0.8838585065	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	803.2383713,2586.720515,4918.653546,7288.096035,9356.621498,11518.08223,13736.64183,16025.18344	6312.89051,6706.559231,6981.903538,7261.362786,7556.959043,7872.985997,8212.998264,8581.16237	0.9862067669,0.9105734048,0.9832593767,-0.9111709027,-0.981410391,0.8777341777,0.9739360141,-0.8572376522	-3.835657721e-14,1.555294349e-13,2.74763014e-13,3.870070182e-13,5.243972701e-13,6.867599104e-13,8.696569403e-13,1.09193962e-12	ok
-1.40954774	-41.48241206	-43.29587432	0.8817338947	continued:5	1,-1,-1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	934.6241633,2724.120934,5069.435967,7454.889122,9517.615561,11679.77612,13908.24577,16211.19449	6300.890372,6691.993671,6964.46881,7240.671725,7532.521341,7844.240916,8179.268933,8541.602944	0.9860902496,-0.9079263853,-0.9832994139,0.9134394033,0.982174222,-0.8849474285,-0.9758682425,0.8721104577	-2.952161878e-14,1.57650797e-13,2.733790137e-13,3.826672244e-13,5.15872462e-13,6.675444832e-13,8.696075695e-13,1.083179247e-12	ok
-1.40452261	-41.48241206	-43.58760773	0.8796092829	continued:5	1,1,1,-1,-1,1,1,-1	-1,1,1,1,1,1,1,1	1058.255968,2836.606715,5195.642798,7597.297957,9653.536096,11815.68439,14054.62758,16372.43353	6285.939321,6674.971643,6945.122523,7218.696182,7507.526622,7815.783092,8146.815036,8504.490221	0.9860305068,0.912317884,0.9837235515,-0.915169064,-0.9825503449,0.8905526249,0.9777677201,-0.8833910408	-3.507561323e-14,1.583457318e-13,2.618978114e-13,3.765902631e-13,5.00093588e-13,6.466027747e-13,8.416804037e-13,1.044442569e-12	ok
