delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.173469	-45.000000					error: T SSCS does not start with ±1: [-2, -8, -1, -1]
-1.173469	-44.489796	12088	9697	1,-1,0,1	-17,0,1,-1	ok
-1.173469	-43.979592	463	6072	1,-1,-1,0	-17,1,-1,-1	ok
-1.173469	-43.469388	161253859	219421	1,0,1,-3	16,-1,-2,1	ok
-1.173469	-42.959184	1709	1400	1,0,-1,-1	-16,0,-1,0	ok
-1.173469	-42.448980	249569	23841	1,0,0,-2	15,-2,0,1	ok
-1.173469	-41.938776	494	1348	1,0,0,-1	15,0,-1,0	ok
-1.173469	-41.428571	89	1682	1,0,0,0	-15,0,0,-1	ok
-1.173469	-40.918367	77	140157	-1,0,0,0	14,14,0,0	ok
-1.173469	-40.408163	77	10998	-1,0,0,0	14,-1,1,-1	ok
-1.173469	-39.897959	77	752	-1,0,0,0	14,0,0,0	ok
-1.173469	-39.387755	9590	2674	-1,0,0,1	-14,0,1,0	ok
-1.173469	-38.877551	1948634175409875527	1700990275	-1,0,-1,13	13,6,-12,-1	ok
-1.173469	-38.367347					error: T SSCS does not start with ±1: [-2, 0, 0, 0]
-1.173469	-37.857143	298	33385	1,0,-1,0	13,0,-1,1	ok
-1.173469	-37.346939	298	547829342632538516	1,0,-1,0	-13,0,0,12	ok
-1.173469	-36.836735	298	548500136869131311	1,0,-1,0	-13,7,0,12	ok
-1.173469	-36.326531	275	696766	-1,0,-1,0	12,-11,1,1	ok
-1.173469	-35.816327	161406858922652	1089907992	-1,0,1,7	12,1,-12,0	ok
-1.173469	-35.306122	160602940223414339	532429196055188656	-1,0,2,11	12,0,-12,-12	ok
-1.173469	-34.795918	378056252	541879637	-1,0,10,0	-12,0,-11,0	ok
-1.173469	-34.285714	132410439527	142128831247566283	-1,0,11,3	-12,-7,0,11	ok
-1.173469	-33.775510	141520454936285777	101599726454	-1,0,11,-11	11,11,10,3	ok
-1.173469	-33.265306	126922277	8965341443	-1,-1,7,1	11,-11,-1,-4	ok
-1.173469	-32.755102	164647730	1107794	-1,-1,1,-3	11,10,-2,1	ok
-1.173469	-32.244898	137197639807209155	1584816828	-1,1,-11,-11	11,2,-11,1	ok
-1.173469	-31.734694	40577314256834354	117155141146118680	-1,-2,3,10	-11,2,8,-11	ok
-1.173469	-31.224490	66592656975466895	66720926273439432	-1,-4,10,10	-11,10,10,10	ok
-1.173469	-30.714286	66681434022391265	66720925908142496	-1,8,10,10	10,10,10,10	ok
-1.173469	-30.204082	66701174303596952	66720925908142496	-1,9,10,10	10,10,10,10	ok
-1.173469	-29.693878	66701174303596952	14738679375925166	-1,9,10,10	10,10,-10,9	ok
-1.173469	-29.183673	32485555782212454	64459530379291495	-1,-10,10,-10	10,-10,-10,10	ok
-1.173469	-28.673469	14732314495311119	31288144257776695	-1,9,-10,9	10,-10,-10,-10	ok
-1.173469	-28.163265	14732314495311119	14732317585058792	-1,9,-10,9	-10,9,-10,9	ok
-1.173469	-27.653061	14732314495311119	14732317585058792	-1,9,-10,9	-10,9,-10,9	ok
-1.173469	-27.142857	14134174203751952	14134177230126971	-1,9,9,9	-10,9,9,9	ok
-1.173469	-26.632653	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.173469	-26.122449	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.173469	-25.612245	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.173469	-25.102041	14134174371883889	14134177061995017	1,9,9,9	9,9,9,9	ok
-1.173469	-24.591837	6127216937582129	6127218708778185	1,-9,-9,-9	9,-9,-9,-9	ok
-1.173469	-24.081633	6127216937582129	6127218598078424	1,-9,-9,-9	-9,-9,-9,-9	ok
-1.173469	-23.571429	6127216937582129	6127218598078424	1,-9,-9,-9	-9,-9,-9,-9	ok
-1.173469	-23.061224	6125569946746277	6125571717704269	-1,8,-9,-9	-9,8,-9,-9	ok
-1.173469	-22.551020	2537568978100002	2537570117940154	-1,8,8,8	-9,8,8,8	ok
-1.173469	-22.040816	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.173469	-21.530612	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.173469	-21.020408	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.173469	-20.510204	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.173469	-20.000000	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
