delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.397959	-45.000000					error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.397959	-44.489796					error: T SSCS does not start with ±1: [-2, -2, -2, -2]
-1.397959	-43.979592	2344	5116	1,-1,-1,-1	-18,-1,-1,-1	ok
-1.397959	-43.469388	89	1001	1,0,0,0	17,0,0,0	ok
-1.397959	-42.959184	89	2235522	1,0,0,0	-17,0,-2,-2	ok
-1.397959	-42.448980	89	914	1,0,0,0	16,0,0,0	ok
-1.397959	-41.938776	89	872	1,0,0,0	-16,0,0,0	ok
-1.397959	-41.428571	89	2181	1,0,0,0	15,-1,0,-1	ok
-1.397959	-40.918367	89	831	1,0,0,0	15,0,0,0	ok
-1.397959	-40.408163	77	791	-1,0,0,0	-15,0,0,0	ok
-1.397959	-39.897959					error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.397959	-39.387755					error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.397959	-38.877551					error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.397959	-38.367347	89	714	1,0,0,0	-14,0,0,0	ok
-1.397959	-37.857143	89	2602	1,0,0,0	13,0,1,0	ok
-1.397959	-37.346939	89	677	1,0,0,0	13,0,0,0	ok
-1.397959	-36.836735	89	677	1,0,0,0	13,0,0,0	ok
-1.397959	-36.326531	77	641	-1,0,0,0	-13,0,0,0	ok
-1.397959	-35.816327	77	3981	-1,0,0,0	12,1,1,0	ok
-1.397959	-35.306122	77	2461	-1,0,0,0	12,0,1,0	ok
-1.397959	-34.795918	77	606	-1,0,0,0	12,0,0,0	ok
-1.397959	-34.285714	77	606	-1,0,0,0	12,0,0,0	ok
-1.397959	-33.775510	77	572	-1,0,0,0	-12,0,0,0	ok
-1.397959	-33.265306	77	39318	-1,0,0,0	11,-10,0,0	ok
-1.397959	-32.755102	77	26774	-1,0,0,0	11,1,2,0	ok
-1.397959	-32.244898	77	5321931	-1,0,0,0	11,-1,0,2	ok
-1.397959	-31.734694	464	8234	-1,0,0,-1	11,0,1,-1	ok
-1.397959	-31.224490	936652736327	5064132	-1,0,0,5	-11,0,0,2	ok
-1.397959	-30.714286	10926177177350069	2257	1,0,6,9	-11,0,1,0	ok
-1.397959	-30.204082	17708584913	10403621	1,0,9,-3	10,10,2,-2	ok
-1.397959	-29.693878	259794613	3027781633	1,0,-10,0	10,-10,2,3	ok
-1.397959	-29.183673	259794613	5819640535	1,0,-10,0	10,8,9,2	ok
-1.397959	-28.673469	259794613	2529078157736666	1,0,-10,0	10,3,8,8	ok
-1.397959	-28.163265	2958605310705527	14084914692764330	-1,-1,1,-9	10,1,9,9	ok
-1.397959	-27.653061	32384	605531	-1,-1,-1,1	-10,-1,-1,-2	ok
-1.397959	-27.142857	12955131769494530	1179301879657592	-1,1,8,9	-10,1,9,-8	ok
-1.397959	-26.632653	14084911503829220	14134177230126971	-1,1,9,9	-10,9,9,9	ok
-1.397959	-26.122449	6393344124209679	2812547212698117	-1,2,9,-9	9,9,9,8	ok
-1.397959	-25.612245	2803372230424502	451520166673117	-1,4,9,8	9,9,-9,7	ok
-1.397959	-25.102041	450588627364304	5850373206045048	-1,7,-9,7	9,-9,8,-9	ok
-1.397959	-24.591837	12995610879787277	5850373206045048	-1,8,8,9	9,-9,8,-9	ok
-1.397959	-24.081633	2671080006838320	2671081249369833	-1,8,-9,8	9,8,-9,8	ok
-1.397959	-23.571429	2671080006838320	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.397959	-23.061224	5848780619532479	5848782350016823	-1,8,8,-9	-9,8,8,-9	ok
-1.397959	-22.551020	2537568978100002	2537570117940154	-1,8,8,8	-9,8,8,8	ok
-1.397959	-22.040816	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.397959	-21.530612	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.397959	-21.020408	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.397959	-20.510204	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.397959	-20.000000	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
