delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.928571	-45.000000	194094251	6474569	1,1,-8,1	16,-3,0,2	ok
-0.928571	-44.489796	73114276	24722	1,-1,0,-3	-16,0,-2,-1	ok
-0.928571	-43.979592	2305876	30277566819298242974	1,-1,-2,-2	-16,-2,-1,-16	ok
-0.928571	-43.469388	17505000369838539328	3456	1,0,-15,-15	15,-2,0,-1	ok
-0.928571	-42.959184	6299157052995860464	5923236032	1,0,1,14	-15,0,0,-4	ok
-0.928571	-42.448980	89	9829912762	1,0,0,0	-15,1,1,-4	ok
-0.928571	-41.938776	77	124223	-1,0,0,0	14,-14,0,0	ok
-0.928571	-41.428571	77	16443	-1,0,0,0	14,-1,0,1	ok
-0.928571	-40.918367	275	917308	-1,0,-1,0	-14,0,-3,1	ok
-0.928571	-40.408163	1570877	2089326376	-1,0,4,-1	-14,3,13	ok
-0.928571	-39.897959	3549663152	4513484	-1,0,13,-1	13,13,-3,1	ok
-0.928571	-39.387755	2703881952	577932531595528700	-1,-1,-13,-1	13,-6,1,12	ok
-0.928571	-38.877551	1085538880095006645	1817960587283357355	-1,-1,1,-13	-13,-1,12,-13	ok
-0.928571	-38.367347	282764567936795	719375	-1,1,5,7	-13,-2,-1,-2	ok
-0.928571	-37.857143	640873115801420039	1420631531	-1,-2,3,12	-13,12,12	ok
-0.928571	-37.346939	1007659005023264060	20005900411	-1,3,12,12	12,12,-12,2	ok
-0.928571	-36.836735	335854313355957002	476781495741	-1,-11,3,-12	12,-12,-3,-5	ok
-0.928571	-36.326531	1569477936097304	34109647	-1,11,-12,-8	-12,-11,7	ok
-0.928571	-35.816327	282753769082767126	741336742	1,11,-12,11	-12,11,11	ok
-0.928571	-35.306122	519515761799018401	533461272886383283	1,11,11,-12	-12,11,-12,-12	ok
-0.928571	-34.795918	274761541425496159	274761556251461169	1,11,11,11	11,11,11,11	ok
-0.928571	-34.285714	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.928571	-33.775510	137520058369471127	137520069382767449	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.928571	-33.265306	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.928571	-32.755102	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.928571	-32.244898	137503074817916327	137520068858324757	-1,10,-11,-11	-11,-11,-11,-11	ok
-0.928571	-31.734694	66720918967500902	66720926273439432	-1,10,10,10	-11,10,10,10	ok
-0.928571	-31.224490	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.928571	-30.714286	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.928571	-30.204082	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.928571	-29.693878	31288139504878815	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.928571	-29.183673	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.928571	-28.673469	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.928571	-28.163265	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.928571	-27.653061	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.928571	-27.142857	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.928571	-26.632653	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.928571	-26.122449	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.928571	-25.612245	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.928571	-25.102041	6127216826882384	6127218708778185	-1,-9,-9,-9	9,-9,-9,-9	ok
-0.928571	-24.591837	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.928571	-24.081633	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.928571	-23.571429	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.928571	-23.061224	6125569946746277	6125571717704269	-1,8,-9,-9	-9,8,-9,-9	ok
-0.928571	-22.551020	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.928571	-22.040816	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.928571	-21.530612	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.928571	-21.020408	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.928571	-20.510204	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.928571	-20.000000	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
