time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
10	0.113483595335	0.150906499963	2	2	2	6.626619796
20	0.321127430219	0.184739168832	3	3	3	8.5794610355
30	0.450965254997	0.231231205719	4	4	4	8.64935160367
40	0.359447242241	0.280607700985	5	4	5	8.27464138275
50	0.387884937052	0.259456582839	6	5	5	8.3024889702
60	0.391626030073	0.289368100791	7	6	6	8.31572040017
70	0.420078621369	0.305955397888	8	6	7	8.57968193443
80	0.403443043514	0.276990983926	9	7	7	8.90100171638
90	0.355955751307	0.279559324479	10	8	8	9.50618435233
100	0.365989911198	0.302479029247	11	8	9	9.3574885461
110	0.365651869355	0.288548391053	12	9	9	9.31809692555
120	0.347503399977	0.309694938547	13	9	10	9.19127740425
130	0.392394157488	0.297902314847	14	9	10	9.12896306777
140	0.310407598305	0.301523593277	15	9	11	9.50192013936
150	0.310172489633	0.292595398934	16	9	11	9.39864403207
160	0.303311574096	0.301159677226	18	9	12	9.23081744065
170	0.313513325579	0.295671966559	19	9	12	9.07391261561
180	0.311485925654	0.311598919217	20	9	13	9.01560656479
190	0.324472224546	0.30219517437	21	9	13	8.99767393155
200	0.319769657723	0.287595018153	22	10	13	9.16260198338
210	0.359000236661	0.303245979671	23	11	14	9.07999670095
220	0.334160013247	0.333005619956	25	11	16	8.92497838879
230	0.331204829242	0.327437093874	26	11	16	8.83399694844
240	0.326686759267	0.337867860833	27	11	17	8.86091399619
250	0.331823620977	0.34284708086	29	11	18	8.79487887468
260	0.320044286753	0.336068375927	30	11	18	8.76052187072
270	0.306920684542	0.347105276563	31	11	19	8.7479018757
280	0.305553088596	0.332499481145	32	11	19	8.92858536132
290	0.305417365946	0.343587358873	33	11	20	8.89790755753
300	0.302263233251	0.338873911097	34	11	20	8.83108761912
310	0.308639859959	0.330972451306	35	11	20	8.85577894856
320	0.298486271587	0.334911501344	36	11	21	9.0047357946
330	0.294010882167	0.327423340811	37	11	21	9.03025657169
340	0.305239088893	0.337370945798	38	11	22	9.00573644949
350	0.294741260325	0.326277288096	39	11	22	9.13796041818
360	0.319604236495	0.337018504137	40	11	23	9.07994254618
370	0.321421044842	0.330899086507	41	11	23	9.08269658378
380	0.322675713222	0.338346113307	42	11	24	9.10701828807
390	0.321355082788	0.333622397052	43	11	24	9.07796632693
400	0.314935179588	0.337869689938	45	11	25	9.03019592707
410	0.321763254015	0.337869689938	45	11	25	9.03019592707
420	0.302643987028	0.328111416275	46	11	25	9.14913561913
430	0.295952442209	0.333297623592	48	11	26	9.07653642598
440	0.287862934792	0.34172667193	49	11	27	9.0534920571
450	0.291955687769	0.337412725397	50	11	27	9.03250563206
460	0.312162453051	0.334233720261	51	11	27	8.98487653522
470	0.296486738447	0.325175876017	52	12	27	9.10228561865
480	0.290380438432	0.325175876017	52	12	27	9.10228561865
490	0.290855482525	0.328990481118	53	12	28	9.19805087752
500	0.288892855624	0.332018648113	55	12	29	9.18127135576
510	0.281364526285	0.328399578243	56	12	29	9.15768602256
520	0.28809450937	0.325204048182	57	12	29	9.12538058966
530	0.294784128727	0.320785561529	58	12	29	9.13068058177
540	0.289369753054	0.32562479252	59	12	30	9.18595420433
550	0.290841585785	0.320485254246	60	12	30	9.21554192798
560	0.292314460292	0.327102734484	61	12	31	9.21417326168
570	0.293266059729	0.323142677261	62	12	31	9.21295255838
580	0.296209439133	0.329557111638	63	12	32	9.21260256292
590	0.296576656763	0.325039271888	64	12	32	9.22965395097
600	0.295159767562	0.328614270694	65	12	33	9.30425147486
610	0.2978757765	0.326270405657	66	12	33	9.26285990786
620	0.293919717686	0.331468269863	67	12	34	9.28690374744
630	0.302117669376	0.336229174484	69	12	35	9.2155206434
640	0.297939239505	0.333160565791	70	12	35	9.19869223175
650	0.296782946518	0.338090724028	71	12	36	9.22291389987
660	0.30224483983	0.344412352892	72	12	37	9.20598775537
670	0.304491761081	0.342114302945	73	12	37	9.17035128626
680	0.303359085505	0.335756596197	74	12	37	9.24695662864
690	0.302813649688	0.340763025099	75	12	38	9.26137688285
700	0.306046914331	0.340763025099	75	12	38	9.26137688285
710	0.302436920103	0.341367871857	77	12	39	9.2981412462
720	0.301660312173	0.338432810647	78	12	39	9.28604145508
730	0.302241325805	0.338432810647	78	12	39	9.28604145508
740	0.29277510599	0.33012599912	80	12	39	9.3356474633
750	0.297032934079	0.336629378108	81	12	40	9.30040670389
760	0.295313842973	0.332726239463	83	12	40	9.23374172306
770	0.296202592042	0.338481070344	84	12	41	9.21782624736
780	0.292521701111	0.336406874009	85	12	41	9.19002793358
790	0.289054340516	0.339866674086	87	12	42	9.15178436838
800	0.294568097383	0.337116749576	88	12	42	9.14493435622
810	0.299360540013	0.333946325817	89	13	42	9.15106367331
820	0.300491159968	0.339954133335	90	13	43	9.12376947911
830	0.297079839391	0.334984096025	91	13	43	9.17987387923
840	0.294555512879	0.340359855572	92	13	44	9.16666393726
850	0.295977186683	0.337988655607	93	13	44	9.15354854436
860	0.291967778086	0.335656224676	94	13	44	9.14061827066
870	0.302294352379	0.333051685549	95	13	44	9.13636118448
880	0.293572690815	0.336024013534	96	13	45	9.18595412201
890	0.296284425335	0.332408151547	97	13	45	9.21101128782
900	0.296095600131	0.33645743264	99	13	46	9.15511686644
910	0.29741983662	0.333908371438	100	13	46	9.15273203284
920	0.2949190761	0.33918230365	101	13	47	9.13483871991
930	0.297388099722	0.336634947566	102	13	47	9.13318404496
940	0.293774011576	0.332452381975	103	13	47	9.17761990952
950	0.305501785162	0.332452381975	103	13	47	9.17761990952
960	0.293808751894	0.333538521373	105	14	48	9.20244344453
970	0.297932993614	0.331657247775	106	14	48	9.18600606287
980	0.296642916575	0.335492110558	107	14	49	9.20204605841
990	0.300486969327	0.333414875369	108	14	49	9.19190385384
1000	0.302621025043	0.337232658618	110	14	50	9.14038470074
1010	0.302125976301	0.335637801251	111	14	50	9.11860248201
1020	0.302853210552	0.333263203069	112	14	50	9.11891173424
1030	0.298962746516	0.337422803465	113	14	51	9.12248323581
1040	0.295792275397	0.333402834439	114	14	51	9.16854597833
1050	0.298513165715	0.338021295094	115	14	52	9.15726928439
1060	0.300108309943	0.336277362904	116	14	52	9.14205855575
1070	0.306822567975	0.334174348577	117	14	52	9.13743213363
1080	0.297388083793	0.336787375819	118	14	53	9.17895635591
1090	0.301278510117	0.334128395857	119	14	53	9.19048254136
1100	0.301465342875	0.33805649481	120	15	54	9.19402767211
1110	0.30257360963	0.34242813908	121	15	55	9.18422721793
1120	0.30195122921	0.340284692171	122	15	55	9.18205492645
1130	0.303093927183	0.342672989365	124	15	56	9.16501995432
1140	0.301735550762	0.342672989365	124	15	56	9.16501995432
1150	0.300259132756	0.339486397985	125	15	56	9.1923310567
1160	0.300630896121	0.341583551785	127	15	57	9.1826838285
1170	0.301471774663	0.345280411038	128	15	58	9.18637402702
1180	0.29777302714	0.343503131566	129	15	58	9.17701891282
1190	0.300547265398	0.347306559794	130	15	59	9.17654600226
1200	0.30069663994	0.345296044917	131	15	59	9.17393902978
1210	0.301938035913	0.3435378129	132	15	59	9.16531044512
1220	0.302139382922	0.345756670299	134	15	60	9.15071437467
1230	0.302311417166	0.350137236257	135	15	61	9.13262544404
1240	0.30327287145	0.348065545115	136	15	61	9.13315202756
1250	0.303485667972	0.345818250082	137	15	61	9.13901346163
1260	0.302569741028	0.349783956087	138	15	62	9.13044994001
1270	0.305478725442	0.347851845957	139	15	62	9.12846962798
1280	0.303000636077	0.345022619847	140	15	62	9.15086062735
1290	0.304697606662	0.349292128878	141	15	63	9.13279184572
1300	0.303429564428	0.351209052104	143	15	64	9.1239617024
1310	0.305423579252	0.349398545409	144	15	64	9.12033944001
1320	0.305670103714	0.346912848995	145	16	64	9.13504164424
1330	0.305454082473	0.350709280184	146	16	65	9.12707325063
1340	0.305346666654	0.348972519277	147	16	65	9.12257674172
1350	0.306277275065	0.347382978833	148	16	65	9.11476431225
1360	0.30419583614	0.344533760332	150	16	65	9.09196270403
1370	0.30348292508	0.348271666997	151	16	66	9.08430499754
1380	0.304219993126	0.347037265205	152	16	66	9.06855469385
1390	0.310594352203	0.345155535516	153	16	66	9.07022362613
1400	0.305698465977	0.341917478051	154	16	66	9.10844659543
1410	0.302871335802	0.341917478051	154	16	66	9.10844659543
1420	0.303991894075	0.342224483147	156	16	67	9.14308298936
1430	0.305765705373	0.342224483147	156	16	67	9.14308298936
1440	0.30091432108	0.344376259105	157	16	68	9.17442329206
1450	0.300051915932	0.341434030481	159	16	68	9.1599606102
1460	0.303210986927	0.345287004208	160	16	69	9.14480259158
1470	0.302752316606	0.343933702919	161	16	69	9.13496261788
1480	0.304366949705	0.3474627194	162	16	70	9.12771341392
1490	0.301014177061	0.344953959848	164	16	70	9.10387734044
1500	0.302118613843	0.348571539327	165	16	71	9.0935444044
1510	0.305590421155	0.34699558049	166	16	71	9.09056055019
1520	0.300136354132	0.34420295044	167	16	71	9.12014166422
1530	0.303233521395	0.342132921774	168	16	71	9.1313461818
1540	0.301395878535	0.344528282325	169	16	72	9.15175198882
1550	0.299674827	0.343152252251	170	16	72	9.14490569166
1560	0.300374636487	0.34626569297	171	16	73	9.14524782795
1570	0.301434314883	0.344503156168	172	16	73	9.14895805316
1580	0.301198176892	0.347918645197	173	16	74	9.14044141419
1590	0.301637150582	0.346476576191	174	16	74	9.13594159064
1600	0.297346672828	0.343744993856	175	16	74	9.1660908461
1610	0.296855685431	0.342377906474	176	16	74	9.16049742481
1620	0.29602024613	0.344702420374	178	16	75	9.137991193
1630	0.296181250605	0.343222980009	179	16	75	9.13597627281
1640	0.29688845159	0.343222980009	179	16	75	9.13597627281
1650	0.300323249527	0.340863181446	180	16	75	9.15794261956
1660	0.295481033608	0.342776803028	181	16	76	9.18704688445
1670	0.298699756171	0.341409997168	182	16	76	9.18286828907
1680	0.297855369672	0.340031206849	183	16	76	9.17937585407
1690	0.295880019352	0.34207200083	184	16	77	9.20404802285
1700	0.29575676686	0.340926116968	185	16	77	9.19461120272
1710	0.299237900095	0.339586630925	186	16	77	9.19073170476
1720	0.293809312125	0.341511376179	187	16	78	9.21756263936
1730	0.294895815657	0.340004799817	188	16	78	9.21854837188
1740	0.292972415405	0.340004799817	188	16	78	9.21854837188
1750	0.29269740921	0.340744889458	190	16	79	9.23701683175
1760	0.293459909344	0.339489187634	191	16	79	9.23186920585
1770	0.293865413171	0.338401553218	192	16	79	9.22246366561
1780	0.294990355714	0.341225687383	193	16	80	9.22302325719
1790	0.295142025429	0.343123455302	195	16	81	9.20941989727
1800	0.29245439172	0.341939672237	196	16	81	9.20307191667
1810	0.294248809788	0.340763022283	197	16	81	9.19683147312
1820	0.294844470793	0.339850310611	198	16	81	9.18375042787
1830	0.29488515195	0.341267448634	200	16	82	9.18335765789
1840	0.294896347145	0.344266887319	201	16	83	9.17715185716
1850	0.294592954978	0.343342320769	202	16	83	9.1648790913
1860	0.296128016954	0.341946651703	203	16	83	9.16547317273
1870	0.295809237892	0.339653593152	204	16	83	9.19061096109
1880	0.298666395252	0.342798395415	205	16	84	9.17948811594
1890	0.29828189363	0.341318008472	206	16	84	9.18293529215
1900	0.297258688399	0.344084094163	207	16	85	9.18136398816
1910	0.297673705416	0.342942226043	208	16	85	9.17593130542
1920	0.301542297763	0.341291004184	209	16	85	9.18445507616
1930	0.300153147695	0.343117989712	211	16	86	9.17173797143
1940	0.300412364572	0.346293969845	212	16	87	9.15800983825
1950	0.301052619949	0.345410223472	213	16	87	9.14636387887
1960	0.302293885375	0.343920786801	214	16	87	9.1510371762
1970	0.300330252437	0.341998020587	215	16	87	9.16764149902
1980	0.302094614507	0.344775363865	216	16	88	9.16364376089
1990	0.299340680496	0.342576386502	217	16	88	9.18785309681
2000	0.300244089293	0.341488272648	218	16	88	9.18268965443
2010	0.299230735501	0.34383498963	219	16	89	9.18934010271
2020	0.300313309478	0.342982844629	220	16	89	9.17805001498
2030	0.303806091829	0.34554600835	221	16	90	9.17835527564
2040	0.303515852211	0.343632931594	222	17	90	9.19556315381
2050	0.302758452162	0.345289837304	223	17	91	9.21928919149
2060	0.30040066437	0.348023232224	224	17	92	9.21373030081
2070	0.302026839445	0.346885404519	225	17	92	9.21044318291
2080	0.301550360638	0.345839530651	226	17	92	9.204950278
2090	0.300985696165	0.343939620774	228	17	92	9.18951943705
2100	0.301380423551	0.342893230556	229	17	92	9.18470872847
