time	time_seconds	lambda1_nats_per_second	binary_sign_lz76_nats_per_second	n_symbols	binary_lz76_phrase_count	mean_event_interval_seconds
10000	10	0.574918696116	NaN	1	0	NaN
20000	20	0.4054923757	0.0492401962094	2	2	14.0768565912
30000	30	0.2764628074	0.055457716557	3	2	13.2066056433
40000	40	0.298677664519	0.055457716557	3	2	13.2066056433
50000	50	0.280024224762	0.110760023978	5	4	11.6246844638
60000	60	0.289612488978	0.106678714822	6	4	11.197231939
70000	70	0.275813568395	0.106678714822	6	4	11.197231939
80000	80	0.238965433157	0.118512094973	7	5	11.7282191414
90000	90	0.245455034141	0.137007464526	9	6	10.6915078676
100000	100	0.233731685098	0.132948828502	10	6	10.3916000717
110000	110	0.241227351467	0.127365035388	11	6	10.2692459676
120000	120	0.241881452224	0.142729283419	12	7	10.1557917501
130000	130	0.241330611872	0.140031541607	13	7	9.86296773748
140000	140	0.239975599446	0.148213529111	15	8	9.74468018713
150000	150	0.244690654887	0.145369530209	16	8	9.53634753532
160000	160	0.243860320247	0.135738319047	17	8	9.82240591423
170000	170	0.245467027248	0.150297737421	18	9	9.61548659181
180000	180	0.261480841488	0.147598767401	19	9	9.44949797243
190000	190	0.269345561432	0.141462628497	20	9	9.52958062088
200000	200	0.247797133602	0.13490878208	21	9	9.67168564074
210000	210	0.246220553116	0.146497221653	22	10	9.59075729308
220000	220	0.234306049438	0.140987617685	24	10	9.39223683412
230000	230	0.244156232758	0.151112244202	25	11	9.37253874049
240000	240	0.230658988602	0.148350610409	26	11	9.29167365471
250000	250	0.267849398508	0.144390066889	27	11	9.29945100622
260000	260	0.234794743537	0.139112667689	28	11	9.41021666129
270000	270	0.23665243072	0.146807589078	29	12	9.49108830453
280000	280	0.245389844904	0.14318420382	30	12	9.50159945278
290000	290	0.2510065276	0.14318420382	30	12	9.50159945278
300000	300	0.253639806053	0.138056195965	31	12	9.62858175389
310000	310	0.246012201331	0.133071177542	32	12	9.7665849777
320000	320	0.254327173372	0.140317614768	33	13	9.81638742896
330000	330	0.24509569214	0.137430578512	34	13	9.81087566414
340000	340	0.252426965646	0.14576149413	35	14	9.75661804982
350000	350	0.269070907956	0.14328257515	36	14	9.72617010008
360000	360	0.261766923026	0.139122774133	37	14	9.82077357758
370000	370	0.260465286664	0.145921418535	38	15	9.84015429667
380000	380	0.259936029632	0.143948064894	39	15	9.78868436076
390000	390	0.258435523497	0.142231925935	40	15	9.72587403428
400000	400	0.253494819796	0.139861855299	41	15	9.71404193047
410000	410	0.253853990382	0.145564125324	42	16	9.78176550799
420000	420	0.257243294409	0.14321720154	43	16	9.7719848389
430000	430	0.269787556219	0.141581376735	44	16	9.71927939625
440000	440	0.262120854449	0.138350284528	45	16	9.78299394886
450000	450	0.263305799815	0.136570353285	46	16	9.75102812046
460000	460	0.263694523912	0.14094691162	48	17	9.72742390927
470000	470	0.266011609836	0.14094691162	48	17	9.72742390927
480000	480	0.263808633441	0.144861024036	50	18	9.72192686977
490000	490	0.265312687432	0.142974403645	51	18	9.70595525572
500000	500	0.259395836016	0.141615896615	52	18	9.65808389431
510000	510	0.26422017199	0.139861716801	53	18	9.64095864178
520000	520	0.26168585264	0.137022386117	54	18	9.70397163952
530000	530	0.262382839945	0.137022386117	54	18	9.70397163952
540000	540	0.265511492057	0.133864556361	55	18	9.79714792531
550000	550	0.262517411042	0.13847862895	56	19	9.86249166385
560000	560	0.261395281452	0.137002667943	57	19	9.83691614319
570000	570	0.256556389192	0.134160933002	58	19	9.91454885103
580000	580	0.256475898555	0.132636741028	59	19	9.90001162855
590000	590	0.256204098549	0.138293171337	60	20	9.86875568437
600000	600	0.263547875184	0.137260462487	61	20	9.81948823445
610000	610	0.253862880388	0.134606552063	62	20	9.89055623367
620000	620	0.258864196474	0.133033074622	63	20	9.88687113532
630000	630	0.256906389241	0.138100755385	64	21	9.88143408719
640000	640	0.257079545906	0.137166960517	65	21	9.83216504767
650000	650	0.258228244631	0.135717211129	66	21	9.82242379049
660000	660	0.261241147292	0.133173273307	68	21	9.78487071415
670000	670	0.257812563804	0.133173273307	68	21	9.78487071415
680000	680	0.256598197579	0.137122950395	69	22	9.84521532388
690000	690	0.255435328508	0.134532115382	71	22	9.81795596307
