time	time_seconds	lambda1_nats_per_second	binary_sign_lz76_nats_per_second	n_symbols	binary_lz76_phrase_count	mean_event_interval_seconds
10000	10	0.678026556778	NaN	1	0	NaN
20000	20	0.578465662449	0.0741535896588	2	2	9.34745281718
30000	30	0.323281532968	0.0954788723718	3	3	11.5063391657
40000	40	0.277836433277	0.101287518466	4	3	10.2650433793
50000	50	0.284880600648	0.131479726278	5	4	9.7927670402
60000	60	0.199655525232	0.111572594825	6	4	10.7060906371
70000	70	0.208746438183	0.135534703843	7	5	10.2552024046
80000	80	0.227851978972	0.133504711295	8	5	9.73486966074
90000	90	0.233399643022	0.120137043605	9	5	10.1607321448
100000	100	0.202724130872	0.129978317963	10	6	10.6290885853
110000	110	0.214822022762	0.126022084944	11	6	10.3786798691
120000	120	0.214662848054	0.141685080662	13	7	9.74786174129
130000	130	0.20767556438	0.157882121384	14	8	9.55163730104
140000	140	0.227659481283	0.153082470663	15	8	9.43474085789
150000	150	0.227972584362	0.147902792005	16	8	9.37301008537
160000	160	0.206444676481	0.137872830362	17	8	9.67033797947
170000	170	0.213859212537	0.149880917353	18	9	9.64222733938
180000	180	0.220094089451	0.144968790175	20	9	9.29910169955
190000	190	0.217729424911	0.15806062562	21	10	9.17225642822
200000	200	0.217736940789	0.15323685286	22	10	9.16893861207
210000	210	0.208628141241	0.149620587477	23	10	9.11143565029
220000	220	0.214942342314	0.156849155836	25	11	9.02972894815
230000	230	0.198484058012	0.156849155836	25	11	9.02972894815
240000	240	0.19519131581	0.149175519185	26	11	9.2402926829
250000	250	0.199815770066	0.155610253741	28	12	9.17733640865
260000	260	0.201425870888	0.151914863026	29	12	9.17200439748
270000	270	0.203072462543	0.149760001468	30	12	9.08439462691
280000	280	0.208251934477	0.157849740075	31	13	9.12297447928
290000	290	0.20707791334	0.157849740075	31	13	9.12297447928
300000	300	0.216630116897	0.151318496253	32	13	9.30458103521
310000	310	0.210769531956	0.144759864314	34	13	9.31414466726
320000	320	0.214743509722	0.144759864314	34	13	9.31414466726
330000	330	0.210259386005	0.150478592243	35	14	9.4507743819
340000	340	0.209313075943	0.14628799051	37	14	9.33975003337
350000	350	0.210256540031	0.154950188095	38	15	9.26677980342
360000	360	0.211153719831	0.15169895134	39	15	9.28854259796
370000	370	0.208900641254	0.149076098325	40	15	9.27935336945
380000	380	0.211815439352	0.146866845986	41	15	9.25071902864
390000	390	0.213242942485	0.142267557631	42	15	9.38289817269
400000	400	0.213067820725	0.142267557631	42	15	9.38289817269
410000	410	0.211488794932	0.147155451879	43	16	9.51046192477
420000	420	0.219178870613	0.142640041603	45	16	9.48878015706
430000	430	0.221529825999	0.142640041603	45	16	9.48878015706
440000	440	0.218824608903	0.147289674487	46	17	9.60646219728
450000	450	0.216944395247	0.14390199745	48	17	9.52766731754
460000	460	0.219747927404	0.150993502373	49	18	9.46827678213
470000	470	0.223624540397	0.148773487606	50	18	9.46625843497
480000	480	0.227953772217	0.147206411327	51	18	9.42692068901
490000	490	0.226396064706	0.144541813808	52	18	9.46257815813
500000	500	0.233523088004	0.151138325672	53	19	9.41728174568
510000	510	0.22736291181	0.147781230762	55	19	9.36757297832
520000	520	0.226696461758	0.147781230762	55	19	9.36757297832
530000	530	0.223630320948	0.144437865361	56	19	9.45558368806
540000	540	0.223423041067	0.150092759242	57	20	9.45158505387
550000	550	0.227994248729	0.146479165006	59	20	9.43626407635
560000	560	0.23149544529	0.146479165006	59	20	9.43626407635
