time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000379353323696	0.379353323696	0.547291158841	0.102698942485	0.148163255027	0.148163255027	2	2	7293.32220068	7.29332220068	2
20000	20	0.000311270446191	0.311270446191	0.449068329095	0.138285242841	0.199503434075	0.125872652498	3	3	16433.0853107	16.4330853107	3
30000	30	0.000307135465732	0.307135465732	0.443102813293	0.165819401967	0.239226828901	0.150935324206	3	4	25624.8093914	25.6248093914	4
40000	40	0.000325900005597	0.325900005597	0.4701743219	0.145473602668	0.20987404515	0.104937022575	4	5	35947.0060694	35.9470060694	4
50000	50	0.000254878478361	0.254878478361	0.36771191676	0.151913150409	0.219164348741	0.094388947368	5	6	49688.30397	49.68830397	5
60000	60	0.000235055209342	0.235055209342	0.339112984853	0.17523916995	0.252816681457	0.108882218193	5	7	57651.8928378	57.6518928378	6
70000	70	0.000259293107207	0.259293107207	0.374080879904	0.164889398342	0.237885117283	0.102451543528	5	8	66752.4398673	66.7524398673	6
80000	80	0.000222292860389	0.222292860389	0.320700807309	0.173354978882	0.250098368346	0.0967512558794	6	9	79408.8903535	79.4088903535	7
90000	90	0.000223158878931	0.223158878931	0.321950207964	0.190974810887	0.275518412601	0.10658507136	6	10	87354.4782296	87.3544782296	8
100000	100	0.000217522580561	0.217522580561	0.313818748257	0.186500014821	0.269062646508	0.104087640124	6	11	94051.9834227	94.0519834227	8
110000	110	0.000221027548138	0.221027548138	0.318875347599	0.199098110226	0.287237856274	0.111118771044	6	12	103510.732912	103.510732912	9
120000	120	0.000190143475844	0.190143475844	0.274319049658	0.181535822804	0.261900831303	0.101317071807	6	13	117924.755006	117.924755006	9
130000	130	0.000214666710662	0.214666710662	0.309698598916	0.194952545	0.281257069881	0.108805087038	6	14	126243.997306	126.243997306	10
