time	time_seconds	lambda1_nats_per_second	binary_sign_lz76_nats_per_second	n_symbols	binary_lz76_phrase_count	mean_event_interval_seconds
10000	10	0.381068195196	NaN	1	0	NaN
20000	20	0.350032420642	0.0828919318137	2	2	8.36205847051
30000	30	0.198311617811	0.0644049728212	3	2	11.3719199056
40000	40	0.206589795869	0.138361325013	5	4	9.30570974098
50000	50	0.203763579811	0.132184407089	6	4	9.03666581502
60000	60	0.231643515523	0.152850804788	7	5	9.09341512909
70000	70	0.201081305397	0.135913398721	8	5	9.5623461394
80000	80	0.212525817218	0.126418280511	9	5	9.65588454306
90000	90	0.243576572738	0.14570532266	10	6	9.48181597335
100000	100	0.242367475443	0.14570532266	10	6	9.48181597335
110000	110	0.245660100516	0.128252719393	12	6	9.68753981025
120000	120	0.26091120579	0.128252719393	12	6	9.68753981025
130000	130	0.219401583006	0.134847600567	14	7	9.78533291852
140000	140	0.237408354234	0.151058867563	15	8	9.56112980248
150000	150	0.235853521868	0.151058867563	15	8	9.56112980248
160000	160	0.248424226488	0.139934367627	16	8	9.90674688878
170000	170	0.233422228313	0.130851965423	17	8	10.1892001659
180000	180	0.227394291972	0.144246710144	18	9	10.0188481076
190000	190	0.233280578033	0.140241251688	19	9	9.94524960737
200000	200	0.227351525124	0.132775269923	20	9	10.1530919416
210000	210	0.229422340547	0.142409101086	21	10	10.1803366382
220000	220	0.23986078866	0.140355073406	22	10	10.010463198
230000	230	0.234123830749	0.135829954099	23	10	10.0365075126
240000	240	0.234339944704	0.133148276304	24	10	9.94522146842
250000	250	0.217741522553	0.143221696133	25	11	9.88890231845
260000	260	0.225068583317	0.13710524228	26	11	10.0537764674
270000	270	0.22684210695	0.133412187699	27	11	10.0646603281
280000	280	0.219231113457	0.128129578363	28	11	10.216847351
290000	290	0.21389489736	0.137454867461	29	12	10.1368821451
300000	300	0.2162402896	0.135206243346	30	12	10.0622494864
310000	310	0.207556146898	0.144120382937	31	13	9.99205747942
320000	320	0.229171819259	0.141380993654	32	13	9.95858901625
330000	330	0.213595715066	0.13671974538	33	13	10.074712075
340000	340	0.215028154993	0.13671974538	33	13	10.074712075
350000	350	0.223139873447	0.131905074068	34	13	10.2218533121
360000	360	0.232084503714	0.128765122462	35	13	10.2555554343
370000	370	0.218213414734	0.134341413047	36	14	10.3735003725
380000	380	0.217943372113	0.132478261373	37	14	10.3133393364
390000	390	0.219302488042	0.138574299454	39	15	10.1682792346
400000	400	0.220178574874	0.136124051263	40	15	10.1622731799
410000	410	0.216548082687	0.134360511227	41	15	10.1117799749
420000	420	0.221692127223	0.134360511227	41	15	10.1117799749
430000	430	0.213339587861	0.129587269355	43	15	10.1248105506
440000	440	0.238233526559	0.129587269355	43	15	10.1248105506
450000	450	0.223052037554	0.133585936647	45	16	10.1319048272
460000	460	0.22701852621	0.133585936647	45	16	10.1319048272
470000	470	0.221557712202	0.130122262875	46	16	10.2342314518
480000	480	0.23013363608	0.128656947753	47	16	10.1874680548
490000	490	0.219709683712	0.126239987472	48	16	10.2218034302
500000	500	0.22530807032	0.123599785042	50	16	10.1282325152
510000	510	0.22264902344	0.122427713067	51	16	10.0754469155
520000	520	0.222411951856	0.128614759645	52	17	10.0435809833
530000	530	0.215308345062	0.125788919668	53	17	10.1240225485
540000	540	0.214346892297	0.12425982383	54	17	10.1061729786
550000	550	0.217448793696	0.122611839681	55	17	10.1020444721
560000	560	0.217805212405	0.128548737071	56	18	10.0651556206
570000	570	0.216251898374	0.126491219866	57	18	10.0936099225
580000	580	0.219369876371	0.125086038019	58	18	10.0741657981
590000	590	0.222614647242	0.123853862135	59	18	10.0440507302
600000	600	0.218063269039	0.121396313754	60	18	10.1181274018
610000	610	0.215000231445	0.126939476263	61	19	10.0869812869
620000	620	0.221477222046	0.126939476263	61	19	10.0869812869
630000	630	0.213568575016	0.123689242433	63	19	10.1020654478
640000	640	0.21059228449	0.122506123457	64	19	10.0784220456
650000	650	0.211364752583	0.122506123457	64	19	10.0784220456
660000	660	0.211466461662	0.12667566038	65	20	10.1394920573
670000	670	0.213762417051	0.124327326873	67	20	10.0953841505
680000	680	0.211334850531	0.123298906376	68	20	10.0652285934
690000	690	0.214592238299	0.121642649513	69	20	10.0892018764
700000	700	0.217396048484	0.126228964116	70	21	10.0971166288
710000	710	0.210180182281	0.125234933045	71	21	10.0674197609
720000	720	0.214582843459	0.124100548727	72	21	10.051212216
730000	730	0.216010443884	0.123239886718	73	21	10.0149536802
740000	740	0.218321255993	0.128029120794	74	22	9.99449899887
