time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000680969754797	0.680969754797	0.982431688241	NaN	NaN	NaN	0	1	2129.04693268	2.12904693268	0
20000	20	0.000777076058225	0.777076058225	1.1210837756	0.0744815026531	0.107454094516	0.107454094516	2	2	11435.3465624	11.4353465624	2
30000	30	0.000374073383007	0.374073383007	0.539673814593	0.0929600445615	0.13411299529	0.0846158790688	3	3	25765.2724498	25.7652724498	3
40000	40	0.00027513970953	0.27513970953	0.39694269449	0.139875952208	0.20179834259	0.100899171295	4	5	38948.8235883	38.9488235883	4
50000	50	0.000302694069742	0.302694069742	0.436695233323	0.166555848497	0.240289296658	0.120144648329	4	6	46952.8374058	46.9528374058	5
60000	60	0.000321628130633	0.321628130633	0.464011309075	0.162128091187	0.233901393144	0.116950696572	4	7	53567.479739	53.567479739	5
70000	70	0.000311310214295	0.311310214295	0.449125702341	0.140811115139	0.203147497514	0.0874908650104	5	8	66737.2757351	66.7372757351	5
80000	80	0.000299517915077	0.299517915077	0.432113010739	0.163985701841	0.236581358823	0.101890045322	5	9	73589.7349534	73.5897349534	6
90000	90	0.000263822958953	0.263822958953	0.380616074554	0.169218497565	0.244130687263	0.0944426417	6	10	87854.2264764	87.8542264764	7
100000	100	0.000262277699294	0.262277699294	0.378386736108	0.183987553794	0.265437931444	0.0945508989115	7	11	96913.9276922	96.9139276922	8
110000	110	0.000248600905208	0.248600905208	0.358655293103	0.199128266321	0.287281362323	0.102331685981	7	12	105080.176069	105.080176069	9
120000	120	0.00025716034468	0.25716034468	0.371003953984	0.210864476627	0.304213134729	0.108362905003	7	14	118343.654241	118.343654241	10
130000	130	0.000260282717363	0.260282717363	0.375508585569	0.203188535757	0.293139092902	0.104418251714	7	15	126521.5729	126.5215729	10
