time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
10000	10	0.000574918696116	0.574918696116	0.829432351801	NaN	NaN	NaN	0	1	2714.20347325	2.71420347325	0
20000	20	0.0004054923757	0.4054923757	0.585001839541	0.0492401962093	0.0710385868836	0.0710385868836	2	2	16791.0600644	16.7910600644	2
30000	30	0.0002764628074	0.2764628074	0.398851521226	0.0831865748356	0.120012858984	0.0757196835441	3	3	29127.4147598	29.1274147598	3
40000	40	0.000298677664519	0.298677664519	0.430900785426	0.0831865748356	0.120012858984	0.0757196835441	3	3	29127.4147598	29.1274147598	3
50000	50	0.000280024224762	0.280024224762	0.403989560392	0.138450029972	0.199741171652	0.0860238403127	5	5	49212.9413285	49.2129413285	5
60000	60	0.000289612488978	0.289612488978	0.417822501629	0.160018072233	0.230857279263	0.099424818439	5	6	58700.3631685	58.7003631685	6
70000	70	0.000275813568395	0.275813568395	0.397914867333	0.160018072233	0.230857279263	0.099424818439	5	6	58700.3631685	58.7003631685	6
80000	80	0.000238965433157	0.238965433157	0.344754245359	0.142214513968	0.205172174043	0.0883628457294	5	7	73083.5183219	73.0835183219	6
90000	90	0.000245455034141	0.245455034141	0.354116760516	0.182676619368	0.263546652848	0.101953762491	6	9	88246.2664137	88.2462664137	8
100000	100	0.000233731685098	0.233731685098	0.337203542989	0.177265104669	0.255739487429	0.0910962434494	7	10	96238.6041189	96.2386041189	8
110000	110	0.000241227351467	0.241227351467	0.348017503688	0.191047553082	0.275623357405	0.0981790208426	7	11	105406.663149	105.406663149	9
120000	120	0.000241881452224	0.241881452224	0.348961171606	0.183509078681	0.264747637772	0.0943050113442	7	12	114427.912724	114.427912724	9
130000	130	0.000241330611872	0.241330611872	0.348166476962	0.200045059439	0.288604015207	0.102802824445	7	13	121069.816323	121.069816323	10
140000	140	0.000239975599446	0.239975599446	0.346211607255	0.222320293665	0.32074038516	0.10691346172	8	15	139139.726093	139.139726093	12
150000	150	0.000244690654887	0.244690654887	0.353013994358	0.218054295314	0.314585850495	0.104861950165	8	16	145759.416503	145.759416503	12
160000	160	0.000243860320247	0.243860320247	0.35181607469	0.220574768451	0.31822212459	0.100387903324	9	17	159872.698101	159.872698101	13
170000	170	0.000245467027248	0.245467027248	0.354134062913	0.233796480432	0.337297022896	0.106405363768	9	18	166177.475534	166.177475534	14
180000	180	0.000261480841488	0.261480841488	0.377237113302	0.229598082624	0.3312400152	0.104494590581	9	19	172805.166977	172.805166977	14
190000	190	0.000269345561432	0.269345561432	0.388583505764	0.220052977661	0.317469339604	0.0955677939244	10	20	183776.23527	183.77623527	14
200000	200	0.000247797133602	0.247797133602	0.357495695794	0.224847970133	0.324387051465	0.0976502326961	10	21	196147.916288	196.147916288	15
210000	210	0.000246220553116	0.246220553116	0.355221170945	0.219745832479	0.317026222774	0.0954344024669	10	22	204120.106628	204.120106628	15
220000	220	0.000234306049438	0.234306049438	0.338032175575	0.225580188297	0.325443418978	0.0979682310039	10	24	218735.650658	218.735650658	16
230000	230	0.000244156232758	0.244156232758	0.352242986202	0.219799627929	0.317103833203	0.0954577655341	10	25	227655.133245	227.655133245	16
240000	240	0.000230658988602	0.230658988602	0.332770578993	0.229269125177	0.330765429922	0.0995703159352	10	26	235006.044841	235.006044841	17
250000	250	0.000267849398508	0.267849398508	0.386424998932	0.223148285192	0.321934924429	0.0969120689049	10	27	244499.929635	244.499929635	17
260000	260	0.000234794743537	0.234794743537	0.338737212128	0.227638910764	0.328413527673	0.0988623228114	10	28	256790.053328	256.790053328	18
270000	270	0.00023665243072	0.23665243072	0.341417288215	0.220211383617	0.317697871092	0.0918352799288	11	29	268464.676	268.464676	18
280000	280	0.000245389844904	0.245389844904	0.354022712328	0.226708322716	0.32707097291	0.0945447139779	11	30	278260.587604	278.260587604	19
290000	290	0.0002510065276	0.2510065276	0.362125872599	0.226708322716	0.32707097291	0.0945447139779	11	30	278260.587604	278.260587604	19
300000	300	0.000253639806053	0.253639806053	0.365924890365	0.218588976944	0.31535723303	0.0879666755138	12	31	291571.65609	291.57165609	19
310000	310	0.000246012201331	0.246012201331	0.354920582859	0.221785295904	0.319968546543	0.0892529688884	12	32	305478.337782	305.478337782	20
320000	320	0.000254327173372	0.254327173372	0.366916551787	0.215873253489	0.311439272269	0.0841627741541	13	33	316838.6012	316.8386012	20
330000	330	0.00024509569214	0.24509569214	0.353598339594	0.222003242212	0.320282976601	0.0841221748845	14	34	326473.10039	326.47310039	21
340000	340	0.000252426965646	0.252426965646	0.364175131524	0.22905377649	0.330454747438	0.0867937857655	14	35	334439.217167	334.439217167	22
350000	350	0.000269070907956	0.269070907956	0.388187264556	0.225158332379	0.324834809538	0.0853177116891	14	36	343130.156976	343.130156976	22
360000	360	0.000261766923026	0.261766923026	0.377649841718	0.218621502209	0.315404157068	0.0807302250599	15	37	356262.052266	356.262052266	22
370000	370	0.000260465286664	0.260465286664	0.375771977394	0.223746175087	0.322797497216	0.080699374304	16	38	366799.91245	366.79991245	23
380000	380	0.000259936029632	0.259936029632	0.375008420899	0.23031690383	0.332277054989	0.0830692637472	16	39	374684.209182	374.684209182	24
390000	390	0.000258435523497	0.258435523497	0.372843648139	0.227571081496	0.328315670723	0.0820789176809	16	40	382023.29081	382.02329081	24
400000	400	0.000253494819796	0.253494819796	0.365715719411	0.223778968478	0.322844808078	0.0807112020196	16	41	391275.880692	391.275880692	24
410000	410	0.000253853990382	0.253853990382	0.366233893033	0.227443945819	0.328132252713	0.0820330631783	16	42	403766.589301	403.766589301	25
420000	420	0.000257243294409	0.257243294409	0.371123625146	0.223776877406	0.322841791299	0.0807104478249	16	43	413137.566707	413.137566707	25
430000	430	0.000269787556219	0.269787556219	0.389221169451	0.230069737194	0.331920468908	0.082980117227	16	44	420643.217512	420.643217512	26
440000	440	0.000262120854449	0.262120854449	0.378160456828	0.224819212358	0.324345562766	0.0793513177643	17	45	433165.937223	433.165937223	26
450000	450	0.000263305799815	0.263305799815	0.37986997163	0.230462471168	0.332487064265	0.0813431405198	17	46	441510.468894	441.510468894	27
460000	460	0.000263694523912	0.263694523912	0.380430781957	0.232147854433	0.334918558343	0.0819380068641	17	48	459903.127209	459.903127209	28
470000	470	0.000266011609836	0.266011609836	0.38377363033	0.232147854433	0.334918558343	0.0819380068641	17	48	459903.127209	459.903127209	28
480000	480	0.000263808633441	0.263808633441	0.380595407209	0.233387205391	0.336706563824	0.0807464315803	18	50	479088.620092	479.088620092	29
490000	490	0.000265312687432	0.265312687432	0.382765298443	0.230347650317	0.332321412793	0.0796948176953	18	51	488011.966259	488.011966259	29
500000	500	0.000259395836016	0.259395836016	0.374229086247	0.236026494359	0.34051425293	0.0816595628968	18	52	495276.482083	495.276482083	30
510000	510	0.00026422017199	0.26422017199	0.381189131832	0.233102861335	0.336296342064	0.0806480552883	18	53	504044.052846	504.044052846	30
520000	520	0.00026168585264	0.26168585264	0.377532881875	0.228370643527	0.329469194902	0.0775599851596	19	54	517024.700368	517.024700368	30
530000	530	0.000262382839945	0.262382839945	0.378538422004	0.228370643527	0.329469194902	0.0775599851596	19	54	517024.700368	517.024700368	30
540000	540	0.000265511492057	0.265511492057	0.38305211289	0.230544513732	0.332605426666	0.0782982820712	19	55	531760.19144	531.76019144	31
550000	550	0.000262517411042	0.262517411042	0.378732567058	0.233227164548	0.336475673694	0.077853140151	20	56	545151.244985	545.151244985	32
560000	560	0.000261395281452	0.261395281452	0.377113676262	0.237952002216	0.343292173567	0.0794303297116	20	57	553581.507492	553.581507492	33
570000	570	0.000256556389192	0.256556389192	0.370132630396	0.233016357319	0.33617154315	0.0777827709691	20	58	567843.487982	567.843487982	33
580000	580	0.000256475898555	0.256475898555	0.370016506953	0.237349957628	0.342423606825	0.079229362291	20	59	576914.877929	576.914877929	34
590000	590	0.000256204098549	0.256204098549	0.369624382432	0.235098391273	0.33917528321	0.0784777709771	20	60	584970.788851	584.970788851	34
600000	600	0.000263547875184	0.263547875184	0.380219212564	0.240205809353	0.346543729946	0.0801826690167	20	61	591883.49754	591.88349754	35
610000	610	0.000253862880388	0.253862880388	0.366246718602	0.23556146611	0.339843358981	0.0786323491552	20	62	606038.133727	606.038133727	35
620000	620	0.000258864196474	0.258864196474	0.373462092517	0.232807880588	0.335870774805	0.0777131797269	20	63	615700.213863	615.700213863	35
