time	time_seconds	lambda1_bits_per_second	lz76_measurement_window_bits_per_second	n_symbols	lz76_phrase_count	alphabet_size	lz76_elapsed_seconds	lz76_mean_event_interval_seconds
10000	10	0.920489857475	NaN	2	0	1	9.23188205346	4.61594102673
20000	20	0.590270971287	NaN	2	0	1	9.23188205346	4.61594102673
30000	30	0.236126343524	0.135085021708	3	2	2	23.4661471817	7.82204906057
40000	40	0.377288052727	0.183909341523	4	3	3	32.6247701738	8.15619254345
50000	50	0.423509309389	0.220000479162	5	4	4	42.2167825039	8.44335650078
60000	60	0.445952883407	0.251476571791	6	5	5	51.3956922967	8.56594871612
70000	70	0.401954195102	0.263851715258	8	6	5	68.2201363837	8.52751704796
80000	80	0.437564507768	0.281975596059	9	7	6	78.6928915843	8.74365462048
90000	90	0.446396125849	0.3065045093	10	8	6	86.7048410473	8.67048410473
100000	100	0.431359433867	0.293596612645	11	8	6	94.2635294725	8.56941177023
110000	110	0.438201619464	0.314289008211	12	9	6	102.659213856	8.554934488
120000	120	0.372152011488	0.284688535604	13	9	6	116.983837767	8.99875675131
130000	130	0.364115795006	0.274422174364	14	9	7	124.866710855	8.91905077536
140000	140	0.352086676499	0.29501129815	15	10	7	132.431897358	8.8287931572
150000	150	0.358731144818	0.284042570428	16	10	7	140.823961492	8.80149759325
160000	160	0.316843303616	0.289788041689	17	11	7	155.155095399	9.12677031759
170000	170	0.311704262212	0.306907987974	18	12	7	163.042677213	9.05792651183
180000	180	0.302674697263	0.314004271902	20	13	7	178.930894453	8.94654472265
190000	190	0.329312196655	0.314004271902	20	13	7	178.930894453	8.94654472265
200000	200	0.346992212586	0.320458493067	21	14	8	191.888950517	9.13756907224
210000	210	0.358208889695	0.327095858972	22	15	9	204.50113459	9.29550611773
220000	220	0.344050203197	0.330101467627	23	16	10	219.256799484	9.53290432539
230000	230	0.350576295014	0.340253185416	24	17	10	229.077539471	9.54489747796
240000	240	0.345425383475	0.33449002018	25	17	10	236.017670075	9.440706803
250000	250	0.344284586316	0.327506152665	26	17	10	243.987706973	9.38414257588
260000	260	0.347171272752	0.341503293896	27	18	10	250.621228459	9.2822677207
270000	270	0.353008928413	0.331797984693	28	18	11	260.798415268	9.31422911671
280000	280	0.348935008426	0.352009355184	30	20	12	278.793192473	9.29310641577
290000	290	0.358162488895	0.34200118848	31	20	12	289.718075683	9.34574437687
300000	300	0.354524730846	0.351518225424	32	21	12	298.70428446	9.33450888937
310000	310	0.351416855131	0.345012673204	33	21	12	307.03879809	9.30420600273
320000	320	0.359190299995	0.345012673204	33	21	12	307.03879809	9.30420600273
330000	330	0.349935371733	0.342073994806	35	22	12	329.882505207	9.42521443449
340000	340	0.363791577043	0.342073994806	35	22	12	329.882505207	9.42521443449
350000	350	0.334104852763	0.345520056589	36	23	12	344.142902172	9.55952506033
360000	360	0.330143422877	0.339213631139	37	23	12	353.221145645	9.54651744986
370000	370	0.329409394964	0.344856971723	39	24	12	367.832648471	9.43160637105
380000	380	0.340969142953	0.344856971723	39	24	12	367.832648471	9.43160637105
390000	390	0.337396983036	0.358845811667	41	26	13	388.178843367	9.46777666749
400000	400	0.328894541783	0.353954859278	42	26	13	396.096421104	9.43086716914
410000	410	0.336095225018	0.350132702091	43	26	13	402.941178529	9.37072508207
420000	420	0.33160952578	0.353856413744	45	27	13	419.040118651	9.31200263669
430000	430	0.333355508189	0.348771063238	46	27	13	427.604777268	9.29575602757
440000	440	0.333085544519	0.355085605059	47	28	14	438.002796033	9.31920842623
450000	450	0.336229331248	0.363064269831	48	29	14	446.102593891	9.2938040394
460000	460	0.342279933366	0.355129626783	49	29	15	458.499018948	9.35712283567
470000	470	0.336354472444	0.363417639676	50	30	15	465.898369282	9.31796738564
480000	480	0.330117619278	0.358607898968	51	30	15	474.537121878	9.30464944859
490000	490	0.325252306146	0.350083508311	52	30	15	488.492566729	9.39408782171
500000	500	0.333835159277	0.355922198576	53	31	15	498.888618922	9.41299280985
510000	510	0.324982229241	0.351969513501	54	31	15	506.866378262	9.38641441226
520000	520	0.329782540131	0.348122973111	55	31	15	514.82425741	9.36044104382
530000	530	0.325505653031	0.344370557041	56	31	15	522.774084203	9.33525150363
540000	540	0.333652106725	0.351185735422	57	32	15	531.492203774	9.32442462761
550000	550	0.323365598759	0.343726650325	58	32	15	545.361820699	9.40279001205
560000	560	0.323962074875	0.337943065384	59	32	16	557.030449392	9.44119405749
570000	570	0.326100716912	0.3442412753	60	33	16	566.252229588	9.4375371598
580000	580	0.326312592639	0.339097584738	61	33	17	577.162271122	9.46167657577
590000	590	0.326962624019	0.345979250216	62	34	17	585.129525619	9.43757299385
600000	600	0.328028571579	0.342504738002	63	34	17	593.356806054	9.41836200086
610000	610	0.32560570529	0.345960268592	65	35	17	609.269018995	9.373369523
620000	620	0.33694304818	0.345960268592	65	35	17	609.269018995	9.373369523
630000	630	0.333837154977	0.34066843584	66	35	18	620.996170825	9.40903289129
640000	640	0.33489389593	0.343991296529	67	36	18	634.83934931	9.47521416881
650000	650	0.333991731992	0.339147902082	68	36	18	646.174311974	9.50256341138
660000	660	0.337759494906	0.346197931963	69	37	18	652.850245578	9.461597762
670000	670	0.338458091504	0.349003045796	71	38	18	669.594129209	9.4309032283
680000	680	0.336902625961	0.345447846851	72	38	18	678.704910718	9.42645709331
690000	690	0.333462254119	0.351245794456	73	39	18	687.277005466	9.41475349953
700000	700	0.336002644415	0.34831458274	74	39	18	695.258519912	9.39538540422
710000	710	0.334007804914	0.345047798795	75	39	18	704.029788852	9.38706385136
720000	720	0.334245266104	0.350984551067	76	40	18	712.045871473	9.36902462464
730000	730	0.332985804699	0.345434703752	78	40	18	727.825218554	9.33109254556
740000	740	0.331993918222	0.350856803208	79	41	18	736.639587182	9.32455173648
750000	750	0.33367161468	0.34807157001	80	41	18	744.671711863	9.30839639829
760000	760	0.334874186732	0.344365647238	81	41	18	754.819338697	9.31875726786
770000	770	0.337751465894	0.348864085285	82	42	18	765.390292256	9.33402795434
780000	780	0.331967692416	0.351676190082	83	43	18	779.486082024	9.3913985786
790000	790	0.333261825548	0.348641548007	84	43	18	788.401872212	9.38573657395
800000	800	0.329363233187	0.354338620131	85	44	18	795.886152872	9.36336650438
810000	810	0.32597689976	0.351536611751	86	44	18	804.341965403	9.3528135512
820000	820	0.322930124036	0.346327559817	87	44	18	818.558921408	9.40872323457
830000	830	0.323212090035	0.343353247173	88	44	18	827.762642584	9.40639366573
840000	840	0.327265662613	0.347867922577	89	45	18	837.697256575	9.41232872556
850000	850	0.324702686574	0.345448881063	90	45	18	845.663151191	9.39625723546
860000	860	0.327460114673	0.342715592447	91	45	18	854.500831778	9.39011903053
870000	870	0.326327209941	0.338619962601	92	45	19	866.931428874	9.42316770515
880000	880	0.328827558857	0.344142912802	93	46	19	874.059276309	9.39848684203
890000	890	0.327473034438	0.339877002436	94	46	19	887.11823694	9.43742805255
900000	900	0.327530665764	0.34499830075	95	47	19	895.028215849	9.42134964052
910000	910	0.324534898051	0.340929531406	97	47	19	909.853430132	9.3799322694
920000	920	0.325807350109	0.339143800541	98	47	19	916.694812577	9.35402869977
930000	930	0.325252316845	0.344039799395	99	48	19	924.919495719	9.34262116888
940000	940	0.321856532563	0.34184790549	100	48	19	932.885917942	9.32885917942
950000	950	0.325787571638	0.337607101017	102	48	19	948.666113509	9.30064817166
960000	960	0.32462828048	0.343001862993	103	49	19	955.209172839	9.27387546446
970000	970	0.326157031638	0.346282003215	105	50	19	969.476532901	9.23310983715
980000	980	0.325564705919	0.343730683811	106	50	19	978.661605064	9.23265665155
990000	990	0.324606879141	0.343730683811	106	50	19	978.661605064	9.23265665155
1000000	1000	0.325087750733	0.340057470766	107	50	19	991.224655529	9.26378182737
1010000	1010	0.324638884812	0.341837455546	109	51	19	1009.77056482	9.26395013596
1020000	1020	0.325876013724	0.346614950547	110	52	19	1017.35572729	9.24868842991
1030000	1030	0.331658840988	0.346614950547	110	52	19	1017.35572729	9.24868842991
1040000	1040	0.329926575945	0.342245842094	111	52	19	1032.32700473	9.30024328586
1050000	1050	0.324539234608	0.344787695436	112	53	19	1046.41150379	9.34295985527
1060000	1060	0.324453642249	0.342371272311	113	53	19	1055.78217053	9.34320504894
1070000	1070	0.323795076267	0.340439716012	114	53	19	1063.75124205	9.33115124605
1080000	1080	0.324163351761	0.343331629718	116	54	19	1078.63925628	9.29861427828
