delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.166667	-45.000000	5364510721919	2380	1,-3,-2,-6	-18,-2,1	ok
-1.166667	-42.222222	120805540028	1322721	1,0,0,1,0,-1	15,-1,-1,1,0	ok
-1.166667	-39.444444	28389566347886097095	4834468	-1,0,0,1,0,0,-1	-14,0,-1,0,0,0	ok
-1.166667	-36.666667	528216936647526235856965062654814	108787	1,0,1,0,10	12,12,-1,0	ok
-1.166667	-33.888889	546776432642569589	752041131	-1,0,11,-11,-1	11,11,-11,0	ok
-1.166667	-31.111111	66641966605480280	66720926273439432	-1,6,10,10	-11,10,10,10	ok
-1.166667	-28.333333	453895729641538607484895107171494	14732317585058792	-1,9,-10,9,-10	-10,9,-10,9	ok
-1.166667	-25.555556	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.166667	-22.777778	17113432059335363421900214640502	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.166667	-20.000000	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
