delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.055556	-45.000000	2959559468645953	116573686892467903676879703	1,-2,-2,0,-3	-17,-1,-2,-1,6	ok
-1.055556	-42.222222	64449909553968943	27465137	1,0,-1,1,-2,-1	-15,0,0,-1,0,0	ok
-1.055556	-39.444444	533414326698335252	140159	-1,0,1,1,0,-1,0	13,13,-1,0	ok
-1.055556	-36.666667	229719767049135620179	548931685865374866	1,-1,0,12,2	12,-12,0,12	ok
-1.055556	-33.888889	514702014309	741298238	-1,-4,-8,4	11,11,11	ok
-1.055556	-31.111111	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.055556	-28.333333	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.055556	-25.555556	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.055556	-22.777778	3567337129908398802593659638902	2671081176279736	-1,8,8,-9,8	-9,8,-9,8	ok
-1.055556	-20.000000	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
