delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.833333	-45.000000	16773096244276	39665473622	1,1,-2,0,2	-16,0,-16,-2	ok
-0.833333	-42.222222	19082437102322085527	1570850	-1,0,1,14,-1	14,-14,-3,-1	ok
-0.833333	-39.444444	3147190906793045267617379912596370	1777327259257775915	-1,1,-13,2,-11	-13,-2,-12,-13	ok
-0.833333	-36.666667	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.833333	-33.888889	9455884669399191660884342385366419	137520069382767449	-1,-11,-11,-11,-11	11,-11,-11,-11	ok
-0.833333	-31.111111	2225840977019920444092511290911250	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.833333	-28.333333	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.833333	-25.555556	18771403874319079111379122357950	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-0.833333	-22.777778	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.833333	-20.000000	498768035658188838763056363530	498768035658203820272194170305	-1,-8,-8,-8,-8	8,-8,-8,-8,-8	ok
