delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.944444	-45.000000	6336734174	374513	1,1,-13,-1,0	16,-15,2	ok
-0.944444	-42.222222	210480181279024439703889316792889309130428357121207377190803560502304589	6286288099	1,0,0,0,2,-13	-15,2,14,-1	ok
-0.944444	-39.444444	40916265649910	2924545	-1,0,13,-1,-1,-1	13,12,-1,-2	ok
-0.944444	-36.666667	454426601051659700	1033010307	-1,-11,-9,-12	12,-12,-12	ok
-0.944444	-33.888889	137520058369471127	137537054508265638	-1,-11,-11,-11	11,11,-11,-11	ok
-0.944444	-31.111111	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.944444	-28.333333	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.944444	-25.555556	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	3219630870954874081466514659729	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
