delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.388889	-45.000000					error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1]
-1.388889	-42.222222	3374966975014	4918	1,0,0,0,0,0,0	16,0,0,0,0	ok
-1.388889	-39.444444					error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.388889	-36.666667	3374966975014	4253	1,0,0,0,0,0,0	-13,0,0,0,0	ok
-1.388889	-33.888889	3374964376952	2650730	-1,0,0,0,0,0,0	-12,0,0,0,0,0	ok
-1.388889	-31.111111	160660191070203827	37998490629	-1,0,-1,-10,0,0	-11,0,0,4	ok
-1.388889	-28.333333	850068549701250877044440496012892069875526	7037003902501906	1,-1,0,-10,-1,4	10,2,1,9	ok
-1.388889	-25.555556	6406958294820305	451520166673117	-1,6,9,-9	9,9,-9,7	ok
-1.388889	-22.777778	3567337129908398802593659638902	5848782350016823	-1,8,8,-9,8	-9,8,8,-9	ok
-1.388889	-20.000000	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
