delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.283567	-33.000000	2843516951565969077239440778453393179488094337025993998314872615702	29127506	-1,0,1,-1,0,-11	11,-9,0,1,-1	ok
-1.283567	-32.973948	95461818206274239706991139	1352546033	-1,0,1,-1,0,2	11,8,10,1	ok
-1.283567	-32.947896	7296751731392318061902	127238	-1,0,1,1,2,1	11,-8,0,1	ok
-1.283567	-32.921844	17224137830335821152	378863	-1,0,1,-2,1,1	11,7,1,1	ok
-1.283567	-32.895792	710859572356495304424594033735077	454405709	-1,0,1,2,10	11,6,-11	ok
-1.283567	-32.869739	113596778305651877	40297759649	-1,0,1,4,1,-1	11,-6,0,4	ok
-1.283567	-32.843687	26526323879250841929726735116737577	35068422743901749	-1,0,1,8,11	11,5,1,10	ok
-1.283567	-32.817635	640926993322429277	190466381	-1,0,1,10,1	11,-5,-2,0,1	ok
-1.283567	-32.791583	9411596112466451180722963752419264	50265329	-1,0,1,-11,-11	11,4,2,2	ok
-1.283567	-32.765531	528531506172647272033202	42756	-1,0,1,-11,0,-2	11,-4,0,1	ok
-1.283567	-32.739479	308027735643150077	594107663	-1,0,1,11,0	11,3,-11,0	ok
-1.283567	-32.713427	657682549157162300	2979148963181	-1,0,-2,10,1	11,3,-5,5	ok
-1.283567	-32.687375	157102681591195780845570615009230539965081404387267491833380	11378813	-1,0,-2,-1,0,8	11,3,-1,2	ok
-1.283567	-32.661323	20622982397456973390825541192895	11383584	-1,0,-2,0,9	11,-3,0,-2,0	ok
-1.283567	-32.635271	53975670765665	3960381332457750535330469189903	-1,0,-2,0,-2,0	11,-3,-2,-1,-9	ok
-1.283567	-32.609218	586021960566584293121375	576284253	-1,0,-2,0,-5,0	11,2,-11,0	ok
-1.283567	-32.583166	10727921999705805463589681900816855	280193606	-1,0,2,0,-11,0	11,2,-10,0	ok
-1.283567	-32.557114	14547444432989946795398395126641420912698461221717614	79101309963338963	-1,0,2,1,-2,6	11,2,2,-11	ok
-1.283567	-32.531062	10131762378752	6083	-1,0,2,3,-1,0	11,2,1,0	ok
-1.283567	-32.505010	1284073946060282720	69091979518295943	-1,0,2,10,-1,0	11,2,0,-11	ok
-1.283567	-32.478958	165621782060777264	1075575368	-1,0,2,-11,0	11,-2,0,-3,0	ok
-1.283567	-32.452906	30096956565218480	1059694881242843	-1,0,-3,3,1,-1	11,-2,0,8	ok
-1.283567	-32.426854	316796101901713877	108614339934120972978162141721739	-1,0,-3,0,3	11,-2,-1,0,-10	ok
-1.283567	-32.400802	10733139939839144135102021021307980	132974632494469373	-1,0,3,0,-11,0	11,-2,10,-11	ok
