delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.251503	-33.000000	17076227696480197610608642468655	32600816797008543	-1,0,-7,8,-9	11,-10,0,10	ok
-1.251503	-32.973948	54010782674829995	32600816797008543	-1,0,7,10	11,-10,0,10	ok
-1.251503	-32.947896	404516345	508246881	-1,0,8,-1,0	11,-10,-11	ok
-1.251503	-32.921844	2956314279557454620	12250116053	-1,0,8,11,1	11,9,-11,2	ok
-1.251503	-32.895792	10112679169662936006772392777001610	35117206160182139	-1,0,9,0,11	11,9,1,10	ok
-1.251503	-32.869739	28834320663987144152	142198481435274131	-1,0,9,-10,2	11,-9,0,11	ok
-1.251503	-32.843687	478666515357329495	161325681	-1,0,9,11,0	11,8,9	ok
-1.251503	-32.817635	1117722839	823664	-1,0,-10,-1,0	11,-8,1,-1,0	ok
-1.251503	-32.791583	109461200626696453135112257793390	2939078	-1,0,-10,0,-10	11,7,-1,1,0	ok
-1.251503	-32.765531	2398077721376554173434018689251752	323507744	-1,0,10,0,-11	11,6,-10,0	ok
-1.251503	-32.739479	669884026385	1720820423	-1,0,10,1,-1,0	11,-6,-11,1	ok
-1.251503	-32.713427	133457669840	129773	-1,0,10,2,-1	11,5,-1,1	ok
-1.251503	-32.687375	17562637916334120076163557346391752	612342488	-1,0,10,-5,11	11,4,-11,0	ok
-1.251503	-32.661323	15293563070935889	208313	-1,0,10,9	11,4,1,1	ok
-1.251503	-32.635271	66523669472059877	6431469	-1,0,10,10	11,-4,1,-1,-1	ok
-1.251503	-32.609218	66523669472059877	11234330438	-1,0,10,10	11,3,-11,2	ok
-1.251503	-32.583166	754287369784147049865665	1493834	-1,0,10,-11,4	11,3,2,-1,0	ok
-1.251503	-32.557114	518595909974272025	69102115508290934	-1,0,10,-11,-1	11,-3,0,-11	ok
-1.251503	-32.531062	266381771633273714	1599344	-1,0,10,-11,0	11,-3,1,-2	ok
-1.251503	-32.505010	266381771633273714	576284253	-1,0,10,-11,0	11,2,-11,0	ok
-1.251503	-32.478958	266381771633273714	132991194802061393	-1,0,10,-11,0	11,2,10,-11	ok
-1.251503	-32.452906	266381771633273714	109875895440185573	-1,0,10,-11,0	11,2,7,-11	ok
-1.251503	-32.426854	266381771633273714	73948400180617193	-1,0,10,-11,0	11,2,1,-11	ok
-1.251503	-32.400802	266381771633273714	33752548335993713	-1,0,10,-11,0	11,2,-1,10	ok
