delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.169339	-33.000000	3374961778890	720234059	-1,-1,-1,-1,-1,-1	11,10,11	ok
-1.169339	-32.973948	3374961778890	46151321369	-1,-1,-1,-1,-1,-1	11,10,11,-3	ok
-1.169339	-32.947896	3374961778890	5819424764	-1,-1,-1,-1,-1,-1	11,10,11,-2	ok
-1.169339	-32.921844	137520068858324777	1908353288	-1,-1,-1,-1,-1,1	11,10,-11,1	ok
-1.169339	-32.895792	137760014713012221208259	1908353288	-1,-1,-1,1,-3,1	11,10,-11,1	ok
-1.169339	-32.869739	76162536918319999787042065644051465527	1019419259	-1,-1,1,1,11,-2	11,10,-11,-1	ok
-1.169339	-32.843687	2283835566378649810527	1908353288	-1,-1,1,-4,-2,1	11,10,-11,1	ok
-1.169339	-32.817635	8838922979787477218981561721110985	516313023	-1,-1,1,10,-11	11,10,-11	ok
-1.169339	-32.791583	7211894149875184902	365350974	-1,-1,1,-11,-2	11,10,10	ok
-1.169339	-32.765531	1195551947784741777	51577224	-1,-1,1,-11,1	11,10,-8	ok
-1.169339	-32.739479	4968687950495353778612759613778235	1107794	-1,1,-2,-6,-11	11,10,-2,1	ok
-1.169339	-32.713427	3128507989712100041660626002377309	1740529478	-1,1,2,2,-11	11,-10,1,3	ok
-1.169339	-32.687375	1254038687553807329	36447491068175256	-1,1,2,-11,1	11,-10,-2,10	ok
-1.169339	-32.661323	8847734023369006336141485258166955	1886791713	-1,1,3,10,-11	11,-10,-11,1	ok
-1.169339	-32.635271	1378379609274307374	1865413718	-1,1,4,-11,1	11,9,-11,1	ok
-1.169339	-32.609218	768107148084400566468895871581269	352995713	-1,1,7,-3,10	11,9,10	ok
-1.169339	-32.583166	3140952450040734224332327614228455	35111105451346931	-1,1,9,2,-11	11,-9,1,10	ok
-1.169339	-32.557114	3141842995134218924683633593559199	1823204283	-1,1,-10,2,-11	11,8,-11,1	ok
-1.169339	-32.531062	37602826360878294	74065787035593254	-1,1,10,-8,1	11,-8,1,-11	ok
-1.169339	-32.505010	132958060904839289	45313884200956931	-1,1,10,-11	11,7,-5,10	ok
-1.169339	-32.478958	10101613032314205885	137367274038474458	-1,1,10,-11,-2	11,6,-11,-11	ok
-1.169339	-32.452906	1818549381346122159	1700873628	-1,1,10,-11,1	11,5,-11,1	ok
-1.169339	-32.426854	1818549381346122159	35062328392638293	-1,1,10,-11,1	11,-5,1,10	ok
-1.169339	-32.400802	10101613032314205885	3260523625629479	-1,1,10,-11,-2	11,4,-11,8	ok
-1.169339	-32.374749	5359153914060874229013698452185	73980400928788256	-1,1,-11,-11,8	11,-4,1,-11	ok
-1.169339	-32.348697	8880843665220786115031506783813205	1622818913	-1,1,-11,10,-11	11,3,-11,1	ok
-1.169339	-32.322645	68859143774746730	137265481237489754	-1,1,-11,10	11,3,-11,-11	ok
-1.169339	-32.296593	3561705255183369745295	46907897717958881	-1,1,-11,-10,3	11,3,5,10	ok
-1.169339	-32.270541	6892715299686226241183774441206145	73959065942898194	-1,1,-11,8,-11	11,-3,1,-11	ok
-1.169339	-32.244489	4677172856893139546343863041710305	133007758656793559	-1,1,-11,5,-11	11,-3,10,-11	ok
-1.169339	-32.218437	3839174811333298906399843391329955	1584760530	-1,1,-11,-4,-11	-11,2,-11,1	ok
-1.169339	-32.192385	5805035751689	3256420807322910	-1,1,-11,-3,1	-11,2,-11,8	ok
-1.169339	-32.166333	3143624748147228707133240436007060	137231562355422165	-1,1,-11,2,-11	-11,2,-11,-11	ok
-1.169339	-32.140281	715483054229890553831249627698655	132991194286326589	-1,1,-11,2,10	-11,2,10,-11	ok
-1.169339	-32.114228	21883766399955	15306653720630734	-1,1,-11,-2,-2	-11,2,10,9	ok
-1.169339	-32.088176	140093766905447202016700264844780	117155141146118680	-1,1,-11,-2,-10	-11,2,8,-11	ok
-1.169339	-32.062124	6063217659571285410563647552636574	84566110056781860	-1,-2,-11,7,-11	-11,2,3,-11	ok
-1.169339	-32.036072	10102039202271071159	37712132703315484	-1,-2,10,-11,-2	-11,-2,2,10	ok
