delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.423848	-33.000000	2600339	50305443	-1,0,0,0,0,0	11,2,0,0,1	ok
-1.423848	-32.973948	2600339	9708	-1,0,0,0,0,0	11,2,0,0,0	ok
-1.423848	-32.947896	2600339	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.423848	-32.921844	2600339	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.423848	-32.895792	2600339	18314	-1,0,0,0,0,0	11,-2,-1,0,0	ok
-1.423848	-32.869739	2600339	3705981	-1,0,0,0,0,0	11,1,4,0,0	ok
-1.423848	-32.843687	2600339	151035826947069174	-1,0,0,0,0,0	11,1,1,11	ok
-1.423848	-32.817635	2600339	37653	-1,0,0,0,0,0	11,1,1,0,0	ok
-1.423848	-32.791583	2600339	15203	-1,0,0,0,0,0	11,1,-1,0,0	ok
-1.423848	-32.765531	2600339	763681799	-1,0,0,0,0,0	11,1,0,3	ok
-1.423848	-32.739479	2600339	716981	-1,0,0,0,0,0	11,1,0,1,0	ok
-1.423848	-32.713427	2600339	378578864	-1,0,0,0,0,0	11,1,0,-1,1	ok
-1.423848	-32.687375	2600339	47545854	-1,0,0,0,0,0	11,1,0,0,1	ok
-1.423848	-32.661323	2600339	6306	-1,0,0,0,0,0	11,1,0,0,0	ok
-1.423848	-32.635271	2600339	6306	-1,0,0,0,0,0	11,1,0,0,0	ok
-1.423848	-32.609218	2600339	6306	-1,0,0,0,0,0	11,1,0,0,0	ok
-1.423848	-32.583166	2600339	6306	-1,0,0,0,0,0	11,1,0,0,0	ok
-1.423848	-32.557114	2600339	5028	-1,0,0,0,0,0	11,-1,0,0,0	ok
-1.423848	-32.531062	2600339	5028	-1,0,0,0,0,0	11,-1,0,0,0	ok
-1.423848	-32.505010	2600339	5028	-1,0,0,0,0,0	11,-1,0,0,0	ok
-1.423848	-32.478958	2600339	5028	-1,0,0,0,0,0	11,-1,0,0,0	ok
-1.423848	-32.452906	2600339	2804874	-1,0,0,0,0,0	11,-1,0,0,0,0	ok
-1.423848	-32.426854	2600339	2804874	-1,0,0,0,0,0	11,-1,0,0,0,0	ok
-1.423848	-32.400802	2600339	5028	-1,0,0,0,0,0	11,-1,0,0,0	ok
-1.423848	-32.374749	2600339	533419431	-1,0,0,0,0,0	11,-1,0,0,-1,0	ok
-1.423848	-32.348697	2600339	28316553	-1,0,0,0,0,0	11,-1,0,-1,0,0	ok
-1.423848	-32.322645	2600339	6418892939365059	-1,0,0,0,0,0	11,-1,0,9	ok
-1.423848	-32.296593	2600339	62256119273305881	-1,0,0,0,0,0	11,-1,1,2,-3	ok
-1.423848	-32.270541	2600339	1089907994	-1,0,0,0,0,0	11,0,-11,0,0	ok
-1.423848	-32.244489	2600339	1529127929	-1,0,0,0,0,0	11,0,10,-1,0	ok
-1.423848	-32.218437	2600339	5060129678	-1,0,0,0,0,0	11,0,9,2	ok
