delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.303607	-33.000000	2084662618396408202	39787638	-1,0,0,11,1	11,7,1,-2,0	ok
-1.303607	-32.973948	4054402382329395140	454405709	-1,0,-1,10,-2	11,6,-11	ok
-1.303607	-32.947896	62827898440632073545343018712655065	1386923	-1,0,-1,-4,11,0	11,-6,0,1,0	ok
-1.303607	-32.921844	120318424877	549654	-1,0,-1,-2,-1,0	11,5,1,-1,0	ok
-1.303607	-32.895792	2845186049427549795247313968719686010147065256990299430014983629002	504488	-1,0,-1,1,0,-11	11,-5,1,-1,0	ok
-1.303607	-32.869739	217213397148080052553500416274846161951684345	421799	-1,0,-1,-1,0,-5	11,4,-2,1	ok
-1.303607	-32.843687	10720099251337207156318279347094355	101904	-1,0,-1,0,-11,0	11,-4,0,-1,0	ok
-1.303607	-32.817635	20601077283229284163938509343725	831198356	-1,0,-1,0,9	11,3,11,0	ok
-1.303607	-32.791583	547781426146572035	259538	-1,0,-1,0,-3,0	11,3,3,0	ok
-1.303607	-32.765531	3729260372193325332546209097667845241629370428082452509513523435860	142007003526377813	-1,0,-1,0,1,-11	11,3,0,11	ok
-1.303607	-32.739479	139370419424810	78584	-1,0,-1,0,1,-1	11,-3,0,-1,0	ok
-1.303607	-32.713427	730709105	386738	-1,0,-1,0,-1,0	11,-3,-1,0,-1	ok
-1.303607	-32.687375	730709105	576284253	-1,0,-1,0,-1,0	11,2,-11,0	ok
-1.303607	-32.661323	730709105	64798379988	-1,0,-1,0,-1,0	11,2,9,3	ok
-1.303607	-32.635271	139370419424810	1304898	-1,0,-1,0,1,-1	11,2,2,-1,0	ok
-1.303607	-32.609218	187739159872437596173627156808651708964486893708078710051595110235	77159231	-1,0,-1,0,1,10	11,2,-1,0,1	ok
-1.303607	-32.583166	14288220734938769956551831717023308689276348298878988190484452	32514350178821118	-1,0,1,0,2,-9	11,2,0,10	ok
-1.303607	-32.557114	34606623296700617869470571857621160972502	22133	-1,0,1,0,-7,3	11,-2,0,1	ok
-1.303607	-32.531062	528216936647526203354136365831327	18093098	-1,0,1,0,10	11,-2,0,1,-1	ok
-1.303607	-32.505010	10722706279350802943064367187967752	32508591859950779	-1,0,1,0,-11,0	11,-2,0,10	ok
-1.303607	-32.478958	2843516951565969077239440778453393179488094337025993998314872615702	1217558	-1,0,1,-1,0,-11	11,-2,2,-1,0	ok
-1.303607	-32.452906	95461818206274239706991139	558866006	-1,0,1,-1,0,2	11,1,-11,0	ok
-1.303607	-32.426854	3361005285080491127	2112597479	-1,0,1,1,2,-1	11,1,-11,-1,0	ok
-1.303607	-32.400802	85521290115942562031084838819322474465218510650348540777	32387838663094431	-1,0,1,-2,1,7	11,1,10,-10	ok
-1.303607	-32.374749	710859572356495304424594033735077	244213281323460056	-1,0,1,2,10	11,1,9,11	ok
-1.303607	-32.348697	81265026434627	322645043328	-1,0,1,4,-1,0	11,1,-6,-4,0	ok
-1.303607	-32.322645	83917717497139094182936172911139	69356	-1,0,1,8,9	11,1,-3,0	ok
-1.303607	-32.296593	76454028220993502	2386150116110562325351467854548599	-1,0,1,10,0	11,1,-2,0,-11	ok
-1.303607	-32.270541	2214010334956418966039402215467752	27398481	-1,0,1,10,10	11,1,1,-2,0	ok
-1.303607	-32.244489	59481110313980315702	73344194	-1,0,1,-11,2	11,1,-1,0,1	ok
-1.303607	-32.218437	528531506172647272033202	7637737042996812428	-1,0,1,-11,0,-2	11,1,-1,-9,2	ok
-1.303607	-32.192385	165641309477059460	32502834305989256	-1,0,-2,10,-1	11,1,0,10	ok
-1.303607	-32.166333	95697526309686596035497902	6420598617073499	-1,0,-2,-1,0,2	11,1,0,9	ok
-1.303607	-32.140281	15526020104523341536417128857440355	230706945930821289	-1,0,-2,0,-8,-2	11,-1,0,3,-3	ok
-1.303607	-32.114228	53975670765665	1439188053	-1,0,-2,0,-2,0	11,-1,0,2,-1	ok
-1.303607	-32.088176	11324190072890426562057815525	113605179	-1,0,-2,0,-7,0	11,-1,0,2,0	ok
-1.303607	-32.062124	47488457859170224050616265507553764	1047698178	-1,0,2,-1,-11,-1	11,-1,0,-3,0	ok
-1.303607	-32.036072	1652286710501063287205	35025779494087503	-1,0,2,1,4	11,-1,0,9,-1	ok
-1.303607	-32.010020	3575712754721645522529095948393339	69061578238814919	-1,0,2,3,-11	11,-1,0,-11	ok
-1.303607	-31.983968	170777323869676295	282782964823710878	-1,0,2,10,-1	11,-1,-1,0,3	ok
-1.303607	-31.957916	6798000767656396000315739	73916409815431931	-1,0,2,-11,-5	11,-1,1,-11	ok
-1.303607	-31.931864	1769480389116425644877718910293802897685	46870006129279256	-1,0,-3,1,-11,2	11,-1,5,10	ok
-1.303607	-31.905812	608274753005176964	66533529206849231	-1,0,-3,0,-3,0	11,-1,10,10	ok
-1.303607	-31.879760	157102763526436409648779093173177247801269975709326021114380	541846718	-1,0,3,-1,0,8	11,0,-11,0	ok
-1.303607	-31.853707	1566515931323777	774742544	-1,0,3,-8,0	11,0,-11,-1	ok
-1.303607	-31.827655	176031861153063830	158717949383	-1,0,3,-11,0	11,0,-11,2,-1	ok
-1.303607	-31.801603	96883796147711060439778202	137163745021531949	-1,0,-4,0,6	11,0,-11,-11	ok
-1.303607	-31.775551	6042666253283179675296996591384527	132924954853570754	-1,0,4,7,-11	11,0,10,-11	ok
-1.303607	-31.749499	529528229046577486854186697940765	66523677131947574	-1,0,-5,0,10	11,0,10,10	ok
-1.303607	-31.723447	22939375350844139	66523677131947574	-1,0,5,9,0	11,0,10,10	ok
-1.303607	-31.697395	529903406798636858685522757978652	66523677131947574	-1,0,-6,0,10	11,0,10,10	ok
-1.303607	-31.671343	55957807784466740	15293566568771179	-1,0,-7,9,-1	-11,0,10,9	ok
-1.303607	-31.645291	1936161354143117639163664437862127	9917465758882	-1,0,7,9,10	-11,0,10,5	ok
-1.303607	-31.619238	109272510030997130761754248520780	8426291632	-1,0,-8,0,-10	-11,0,10,2	ok
-1.303607	-31.593186	45413793495266721527	1104194500	-1,0,8,10,2	-11,0,10,1	ok
-1.303607	-31.567134	2395969057779018691540555550800652	1529072629	-1,0,-9,0,-11	-11,0,10,-1,0	ok
-1.303607	-31.541082	2877180152	378606382	-1,0,9,-1,-1	-11,0,10,0	ok
-1.303607	-31.515030	1186192676847430887105735085484885	260227870	-1,0,9,-6,10	-11,0,-10,0	ok
-1.303607	-31.488978	62096907468705305	260227870	-1,0,9,10	-11,0,-10,0	ok
-1.303607	-31.462926	8874212939890457501170444874500130	260227870	-1,0,9,10,-11	-11,0,-10,0	ok
-1.303607	-31.436874	209179122025354522333662119241527	260227870	-1,0,-10,4,-10	-11,0,-10,0	ok
