delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.129259	-33.000000	71245207723693850	3273884302293164	-1,1,11,10	11,-11,-11,8	ok
-1.129259	-32.973948	21907834327469	4538043524	-1,-2,-11,-2,-2	11,-11,-11,-2	ok
-1.129259	-32.947896	5553886542344909	12514490093	-1,-2,-11,-3,2	11,-11,-11,2	ok
-1.129259	-32.921844	1102115527742579398609829170034	720234059	-1,-2,10,11,-8	11,10,11	ok
-1.129259	-32.895792	23562854133115974045534799724	35132889076724	-1,-2,-10,3,7	11,10,11,-6	ok
-1.129259	-32.869739	1024192438826176058984999	120318915404	-1,-2,-6,-2,5	11,10,-11,3	ok
-1.129259	-32.843687	8845530628032953707927365090586877	12425894168	-1,-2,-3,10,-11	11,10,-11,2	ok
-1.129259	-32.817635	1023331417279525634023911097519889	12425894168	-1,-2,2,-5,10	11,10,-11,2	ok
-1.129259	-32.791583	5695183504485864105705494	4496696339	-1,-2,-2,-2,-2,-2	11,10,-11,-2	ok
-1.129259	-32.765531	9416249559153112171533180411294389	4496696339	-1,-2,2,-11,-11	11,10,-11,-2	ok
-1.129259	-32.739479	63073100983454186624	12425894168	-1,-2,3,-11,2	11,10,-11,2	ok
-1.129259	-32.713427	117155131464997430	516313023	-1,2,8,-11	11,10,-11	ok
-1.129259	-32.687375	66563084335501754	516313023	-1,2,10,10	11,10,-11	ok
-1.129259	-32.661323	77166169500648752874	365350974	-1,2,10,-11,2	11,10,10	ok
-1.129259	-32.635271	7295861083003158159360	365350974	-1,2,-11,-11,3	11,10,10	ok
-1.129259	-32.609218	68879365610793660	48714943632187223	-1,2,-11,10	11,-10,-6,10	ok
-1.129259	-32.583166	5328069769357869937996440153344115	79269712077069443	-1,2,-11,6,-11	11,-10,2,-11	ok
-1.129259	-32.557114	6601915905358564214539975521675	42192034281849458	-1,2,-11,3,-9	11,-10,-4,10	ok
-1.129259	-32.531062	3143624811299724231474614939874645	133239815126719553	-1,2,-11,2,-11	11,-10,10,-11	ok
-1.129259	-32.505010	3143624811299724231474614939874645	37383486308	-1,2,-11,2,-11	11,9,-11,-3	ok
-1.129259	-32.478958	3361135423114455971755381188875780	384700885568	-1,-3,-11,-3,-11	11,9,-11,-4	ok
-1.129259	-32.452906	713827333935374690124	137469123445464089	-1,-3,10,-11,-3	11,9,-11,-11	ok
-1.129259	-32.426854	4617307129852530329230377	90520109488222556	-1,-3,-9,-5,5	11,-9,4,-11	ok
-1.129259	-32.400802	3576710442407962206671682434934885	133206645625584614	-1,-3,-3,3,-11	11,-9,10,-11	ok
-1.129259	-32.374749	167088727530949865453013444374	33705188551661049	-1,-3,5,-11,7	-11,8,-11,-10	ok
-1.129259	-32.348697	133024313226982652	90495288207683107	-1,3,10,-11	-11,-8,4,-11	ok
-1.129259	-32.322645	7237376394209098916924	380077340625	-1,3,10,-11,3	-11,7,-11,-4	ok
-1.129259	-32.296593	68899591900526249	329204949	-1,3,-11,10	-11,7,10	ok
-1.129259	-32.270541	3258470077233527	68970426424883544	-1,3,-11,8	-11,-7,-11,10	ok
-1.129259	-32.244489	3259495882427400	137367273514323195	-1,-4,-11,8	-11,6,-11,-11	ok
-1.129259	-32.218437	64344144725490749	204900812382	-1,-4,-10,10	-11,-6,-5,4	ok
-1.129259	-32.192385	4090208331725952100434696366368775	133107173764565682	-1,-4,-6,4,-11	-11,-6,10,-11	ok
-1.129259	-32.166333	133057448671665884	15968449319547732	-1,4,10,-11	-11,5,-11,9	ok
-1.129259	-32.140281	68919822644598389	68940065270106570	-1,4,-11,10	-11,5,-11,10	ok
-1.129259	-32.114228	11096334158594	68940065270106570	-1,4,-11,5	-11,5,-11,10	ok
-1.129259	-32.088176	96561435946959074	68940065270106570	-1,-5,5,-11	-11,5,-11,10	ok
-1.129259	-32.062124	133090590306451259	68940065270106570	-1,5,10,-11	-11,5,-11,10	ok
-1.129259	-32.036072	68940057843664020	15968449319547732	-1,5,-11,10	-11,5,-11,9	ok
-1.129259	-32.010020	64382587110975980	13536521762635500	-1,-6,-10,10	-11,-6,-9,9	ok
-1.129259	-31.983968	133123738132109669	133123748451944659	-1,6,10,-11	-11,6,10,-11	ok
-1.129259	-31.957916	68960297498377130	68960304925909740	-1,6,-11,10	-11,6,-11,10	ok
-1.129259	-31.931864	26846295412820652	329204949	-1,-7,-8,-10	-11,7,10	ok
-1.129259	-31.905812	133156892149412054	68980549038014505	-1,7,10,-11	-11,7,-11,10	ok
-1.129259	-31.879760	68980541609391755	340931307	-1,7,-11,10	-11,8,10	ok
-1.129259	-31.853707	2955742914142577	69000797607074949	-1,-8,-10,8	-11,8,-11,10	ok
-1.129259	-31.827655	66681434022391265	117351052705610640	-1,8,10,10	-11,-9,8,-11	ok
-1.129259	-31.801603	133190052359129402	352969144	-1,8,10,-11	-11,9,10	ok
-1.129259	-31.775551	69000790177361979	137469122921118549	-1,8,-11,10	-11,9,-11,-11	ok
-1.129259	-31.749499	69010916132909855	69021050633745204	-1,-9,-11,10	-11,9,-11,10	ok
-1.129259	-31.723447	66691303615197365	133239814610502904	-1,-9,10,10	-11,-10,10,-11	ok
-1.129259	-31.697395	6127216826882384	31288144507929225	-1,-9,-9,-9	-11,-10,-10,-10	ok
-1.129259	-31.671343	31276950933318089	62274862644854475	-1,-9,-10,-10	-11,-10,9,10	ok
-1.129259	-31.645291	66701174303596952	125090521132219524	-1,9,10,10	-11,-10,9,-11	ok
-1.129259	-31.619238	66701174303596952	365323944	-1,9,10,10	-11,10,10	ok
-1.129259	-31.593186	133223218762032749	66720926273439432	-1,9,10,-11	-11,10,10,10	ok
