delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-42.86432161	-43.16953423	0.8895299359	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	975.9389332,2789.902068,4395.095559,6086.351249,7686.481071,9371.389726,10970.98896,12655.2311	4984.092044,5663.894345,6491.26115,7482.649401,7753.652803,8712.280964,9201.402053,10296.19029	0.9863803333,0.4270666609,0.538434366,0.05821924251,0.07762225682,0.007433516197,0.009918900309,0.0009518902594	-0.938338208,-0.977661151,-0.9794274013,-0.9790057197,-0.5539233341,-0.9787336998,-0.9380604249,-0.9778451596	ok
-1.44472362	-42.86432161	-43.41737443	0.8879463437	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1102.287611,2915.40673,4526.970493,6227.351091,7834.762123,9529.943142,11136.95923,12831.64311	5006.158391,5675.525099,6474.577869,7426.751876,7649.96311,8600.492515,9038.934814,10103.79227	0.9863383639,-0.8592746048,-0.944062329,-0.257728015,-0.337985269,-0.03094817741,-0.04146175715,-0.003587020589	-0.9378327412,-0.9761732912,-0.9781774066,-0.9776551237,-0.51758472,-0.9773009005,-0.8794283877,-0.9764194802	ok
-1.43969849	-42.86432161	-43.65431251	0.8864904690	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1225.584335,3034.713932,4652.697666,6362.353454,7977.01694,9682.520264,11296.90292,13002.06455	5030.622222,5689.293146,6460.005815,7373.074677,8491.190197,8878.669126,9913.489049,10573.84705	0.9863085943,-0.6138514465,-0.7396687054,-0.08186693143,-0.1099523679,-0.008471828804,-0.01140297532,-0.0008761967762	-0.9369647862,-0.9742487597,-0.9765241962,-0.9758995192,-0.9754459417,-0.7861278622,-0.9745541448,-0.9520650853	ok
-1.43467337	-42.86432161	-43.88343662	0.8852412454	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1349.457695,3156.391702,4780.839358,6499.914109,8121.794992,9837.663937,11459.35368,13174.98458	5057.821838,5705.509553,6447.837612,7321.919095,8384.798718,8720.702286,9726.263549,10313.92375	0.986285136,-0.8357714911,-0.927924493,-0.1738548071,-0.2325772161,-0.01602785216,-0.02166595077,-0.001455408806	-0.9355832655,-0.9717187231,-0.9742997421,-0.9735751626,-0.9730054747,-0.6712968916,-0.9720826516,-0.9574419855	ok
-1.42964824	-42.86432161	-44.10562424	0.8841986729	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1473.700534,3279.802572,4910.757616,6639.395319,8268.454638,9994.727949,11623.66559,13349.7858	5088.165532,5724.550672,6438.426286,7273.63804,8281.7715,8564.036244,9543.069212,10057.96643	0.9862644036,-0.9093444587,-0.9789986688,-0.4052254075,-0.5202900728,-0.03506531845,-0.04758966417,-0.00273524325	-0.933466721,-0.9683377718,-0.9712571438,-0.9704405858,-0.9697402081,-0.5607548608,-0.9687629063,-0.9388151805	ok
-1.42462312	-42.86432161	-44.32103280	0.8833627516	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1598.041032,3404.294701,5041.796751,6780.137464,8416.331103,10153.04218,11789.16549,13525.78869	5122.150388,5746.875932,6432.202486,7228.652867,8182.606686,8398.417732,9364.832579,9807.488303	0.9862449817,-0.9185823421,-0.9847045442,-0.6180602108,-0.7445770219,-0.0538665088,-0.07337816201,-0.003501563952	-0.9302884402,-0.9637468307,-0.9670319928,-0.966137752,-0.9652966811,-0.5126517934,-0.964240007,-0.8670588459	ok
-1.41959799	-42.86432161	-44.52931603	0.8826545477	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	27.09443876,1716.309806,3518.08068,5162.192342,6910.405261,8553.684355,10300.8615,11944.10546	5160.38698,5773.051334,6429.697423,7187.47614,8087.869857,9192.468461,9563.457529,10604.12102	0.9621329987,0.9862218942,-0.9179786175,-0.9844444544,-0.5109025815,-0.6396133794,-0.03162790385,-0.04330297554	-0.9255663143,-0.9574205217,-0.9610874126,-0.9601364797,-0.9591521329,-0.9579925982,-0.7329207503,-0.9552472428	ok
-1.41457286	-42.86432161	-44.73062534	0.8819463437	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	27.76650568,1732.038041,3525.787525,5176.557355,6934.794817,8585.105146,10342.77357,11993.07092	5203.631778,5803.780429,6431.573511,7150.742512,7998.225894,9026.910141,9325.378399,10324.77967	0.9990271928,0.986195943,0.8537144712,0.9353474188,0.08021139851,0.1100803569,0.003070342633,0.004223761233	-0.9185968588,-0.948599396,-0.952643034,-0.9516621061,-0.950542039,-0.9492621008,-0.5774543218,-0.9466439162	ok
-1.40954774	-42.86432161	-41.40825305	0.8915580383	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	335.8465957,2092.561575,3761.724085,5544.504657,7201.948128,8970.323031,10627.60409,12395.77011	5252.829187,5839.944776,6438.665056,7119.250562,7914.483303,8869.157861,9076.303638,10056.94831	0.9913639913,0.9210086894,0.9854512016,0.1664034875,0.2274840605,0.004100812491,0.005665870711,0.0001002384058	-0.9083867056,-0.9362231693,-0.9406043638,-0.9396224719,-0.9383856808,-0.9369792887,-0.5122452889,-0.9344626918	ok
-1.40452261	-42.86432161	-42.00058814	0.8894334265	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	467.0469756,2246.451067,3913.245875,5695.160622,7359.36478,9138.105137,10802.26902,12581.00586	5309.164317,5882.655239,6452.031125,7094.018724,7837.655254,8720.350192,9802.520781,10149.38595	0.988454313,0.8725111139,0.9523726734,0.01882617042,0.02612074514,0.000197971915,0.0002747136437,2.081917964e-06	-0.8936361153,-0.9189259249,-0.9235554381,-0.9225968758,-0.9212713729,-0.9197479256,-0.9173168061,-0.6567140369	ok
-1.39949749	-42.86432161	-42.42124640	0.8871810973	continued:5	1,-1,-1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	595.95634,2379.766835,4051.415113,5841.401453,7512.42023,9301.608429,10972.65626,12761.83939	5374.123969,5933.312298,6473.020444,7076.357173,7769.041507,8581.864119,9563.35912,9807.135651	0.9869749691,-0.4749222811,-0.610077481,0.002463478127,0.003433255141,-8.8496002e-06,-1.233329265e-05,3.204880815e-08	-0.8729240322,-0.8952536461,-0.8999806941,-0.8990535684,-0.8976671875,-0.8960485819,-0.8936958925,-0.4891278278	ok
-1.39447236	-42.86432161	-42.76768808	0.8849287680	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	722.2243852,2499.882593,4177.913761,5977.960957,7655.729811,9455.450755,11133.22856,12932.93268	5449.551654,5993.662999,6503.339383,7067.950901,7710.331153,8455.448254,9341.494112,10430.94988	0.9863995055,0.9122146847,0.9791357177,-0.1065847277,-0.1484677047,0.001924016304,0.002692968095,-3.452977285e-05	-0.8453916673,-0.8644093476,-0.8690317596,-0.8681144521,-0.866677419,-0.8649819643,-0.862696441,-0.8584247144	ok
-1.38944724	-42.86432161	-43.07552543	0.8830108074	continued:5	1,-1,-1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	852.3088384,2634.009828,4318.834071,6129.542022,7813.98027,9624.216137,11308.66386,13118.95603	5537.649592,6065.811787,6545.08737,7070.926663,7663.708188,8343.380877,9139.383647,10098.38396	0.9861852897,-0.8528756709,-0.9429375579,0.07548063869,0.1058488511,-0.002460596264,-0.003458788657,7.999664761e-05	-0.8122453211,-0.8278259211,-0.832147354,-0.8311809433,-0.8296653887,-0.8278795566,-0.8256148467,-0.8220085084	ok
