word	count	code	period	gamma
00000000	5664	0	1	0
00011111	3346	31	8	0.96875
00101010	3181	42	8	0.328125
00110011	3005	51	4	0.796875
00001111	2740	15	8	0.9375
00000011	2728	3	8	0.75
00000111	1863	7	8	0.875
00001100	1616	12	8	0.1875
00001000	1442	8	8	0.0625
00000001	1417	1	8	0.5
00110110	1313	54	8	0.421875
00110100	1282	52	8	0.171875
00011100	1187	28	8	0.21875
00000010	1133	2	8	0.25
00111001	1105	57	8	0.609375
00110101	1006	53	8	0.671875
00001110	996	14	8	0.4375
00000110	987	6	8	0.375
00000100	922	4	8	0.125
00011101	790	29	8	0.71875
00011110	781	30	8	0.46875
00001001	732	9	8	0.5625
00001011	708	11	8	0.8125
00001101	650	13	8	0.6875
00010000	642	16	8	0.03125
00010011	638	19	8	0.78125
00010010	628	18	8	0.28125
00111011	619	59	8	0.859375
00011001	537	25	8	0.59375
00111010	534	58	8	0.359375
00010001	493	17	4	0.53125
00000101	443	5	8	0.625
00111100	428	60	8	0.234375
00010110	402	22	8	0.40625
00001010	374	10	8	0.3125
00111000	329	56	8	0.109375
00010111	315	23	8	0.90625
00011000	274	24	8	0.09375
00010100	232	20	8	0.15625
00111101	194	61	8	0.734375
00011011	148	27	8	0.84375
00100110	143	38	8	0.390625
00111111	129	63	8	0.984375
00010101	114	21	8	0.65625
00111110	109	62	8	0.484375
00011010	56	26	8	0.34375
00101100	26	44	8	0.203125
00110000	6	48	8	0.046875
00110001	6	49	8	0.546875
00110111	3	55	8	0.921875
00101001	2	41	8	0.578125
00101110	2	46	8	0.453125
