alpha	lambda	critical_state	critical_kind	critical_source	critical_theta	critical_theta_dx	critical_theta_dxx	critical_refine_mode	critical_scan_mode	critical_refine_input_x	critical_scan_best_x	critical_scan_left_x	critical_scan_right_x	critical_scan_spacing	critical_trace_len	critical_bracketed	absxmax_count	absxmax_dot_values	status
0.286172	0.200000	1.710200851,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570765429	-0.000001296	NaN	secant_step_tol	sign_change_pair	1.712101246	1.832101246	1.697101246	1.712101246	0.015000000	6	true	16	-0.997431370,-0.433742629,0.044944497,0.717743164,0.752521406,0.115932467,-0.497320868,-0.933813931,-0.266416828,0.301259158,0.996430341,0.431289447,-0.132631392,-0.863664804,-0.618048036,-0.020231645	ok
0.286172	0.202806	1.712101246,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570765442	-0.000001252	NaN	secant_step_tol	sign_change_pair	1.714004881	1.834004881	1.699004881	1.714004881	0.015000000	6	true	16	-0.997301896,-0.420379950,0.108359475,0.848497798,0.625301220,-0.029417528,-0.758340215,-0.711084264,-0.041063132,0.658355982,0.801837657,0.111745914,-0.559613443,-0.885717770,-0.183017484,0.465087013	ok
0.286172	0.205611	1.714004881,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570765463	-0.000001195	NaN	secant_step_tol	sign_change_pair	1.715911767	1.835911767	1.700911767	1.715911767	0.015000000	6	true	16	-0.997169749,-0.405411879,0.180871175,0.945605618,0.497566114,-0.197847433,-0.961630768,-0.472270805,0.216691747,0.972604181,0.452155773,-0.235672790,-0.981930294,-0.432041974,0.254831680,0.989390056	ok
0.286172	0.208417	1.715911767,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570765491	-0.000001124	NaN	secant_step_tol	sign_change_pair	1.717821919	1.837821919	1.702821919	1.717821919	0.015000000	6	true	16	-0.997034973,-0.388563310,0.262927380,0.994405542,0.365738749,-0.393153072,-0.984608524,-0.237298287,0.526988983,0.908865422,0.117326058,-0.665808635,-0.791343805,0.000542968,0.801755008,0.656647757	ok
0.286172	0.211222	1.717821919,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570765527	-0.000001040	NaN	secant_step_tol	sign_change_pair	1.719735350	1.839735350	1.704735350	1.719735350	0.015000000	6	true	16	-0.996897533,-0.369498388,0.354177227,0.994256607,0.224522699,-0.608250708,-0.842052478,0.010998700,0.848343193,0.594770665,-0.242499925,-0.993539937,-0.340968987,0.484478287,0.936930550,0.102590108	ok
0.286172	0.214028	1.719735350,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765571	-0.000000942	NaN	scan_grad_tol	sign_change_pair	1.721652073	1.841652073	1.706652073	1.721652073	0.015000000	5	true	16	-0.996757576,-0.347805092,0.452973644,0.954382686,0.068852773,-0.813931270,-0.625619553,0.288121014,0.999999955,0.242131520,-0.649645754,-0.802927179,0.118177258,0.951555075,0.423314756,-0.476158883	ok
0.286172	0.216834	1.721652073,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765623	-0.000000829	NaN	scan_grad_tol	sign_change_pair	1.723572102	1.843572102	1.708572102	1.723572102	0.015000000	5	true	16	-0.996615115,-0.322975486,0.555946858,0.885091012,-0.104466433,-0.958678614,-0.379181419,0.588565058,0.857366910,-0.130308508,-0.969594041,-0.351754378,0.613162114,0.835650070,-0.155905445,-0.979099675	ok
0.286172	0.219639	1.723572102,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765684	-0.000000702	NaN	scan_grad_tol	sign_change_pair	1.725495451	1.845495451	1.710495451	1.725495451	0.015000000	5	true	16	-0.996470198,-0.294381032,0.657981694,0.792542162,-0.294240136,-0.998635718,-0.108334558,0.858430051,0.537629685,-0.525073700,-0.906508751,0.140550891,0.981978899,0.273733779,-0.739939553,-0.699685992	ok
0.286172	0.222445	1.725495451,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765754	-0.000000559	NaN	scan_grad_tol	sign_change_pair	1.727422135	1.847422135	1.712422135	1.727422135	0.015000000	5	true	16	-0.996322782,-0.261243171,0.752937014,0.677883516,-0.491714090,-0.927549515,0.186185327,0.996143336,0.147106220,-0.869982307,-0.498380764,0.632186128,0.815338009,-0.343761128,-0.989235245,0.024451686	ok
0.286172	0.225251	1.727422135,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765833	-0.000000401	NaN	scan_grad_tol	sign_change_pair	1.729352167	1.849352167	1.714352167	1.729352167	0.015000000	5	true	16	-0.996173012,-0.222599361,0.835076503,0.538440900,-0.679379462,-0.762730058,0.486769614,0.929453529,-0.270854024,-0.998402465,0.033626980,0.969837811,0.221185181,-0.866003634,-0.482147095,0.712128300	ok
0.286172	0.228056	1.729352167,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570765920	-0.000000226	NaN	scan_grad_tol	sign_change_pair	1.731285563	1.851285563	1.716285563	1.731285563	0.015000000	5	true	16	-0.996020920,-0.177269580,0.900573997,0.369969369,-0.835497245,-0.517865189,0.751609244,0.661732334,-0.656322851,-0.786555226,0.550347012,0.885903006,-0.434368414,-0.954922194,0.308709444,0.992130752	ok
0.286172	0.230862	1.731285563,0.000000000,1.385248069	maximum	continued_angle_scan_grad_tol	1.570766017	-0.000000036	NaN	scan_grad_tol	sign_change_pair	1.733222337	1.853222337	1.718222337	1.733222337	0.015000000	5	true	16	-0.995866449,-0.123833401,0.948242299,0.170511629,-0.943120305,-0.202972996,0.932758237,0.237212047,-0.922093563,-0.271325026,0.910735696,0.305452262,-0.898739312,-0.339507007,0.886120194,0.373421741	ok
0.286172	0.233667	1.733222337,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766121	-0.000001348	NaN	secant_step_tol	sign_change_pair	1.735162504	1.855162504	1.720162504	1.735162504	0.015000000	6	true	16	-0.995709763,-0.060642157,0.979163426,-0.053954460,-0.995132782,0.151873390,0.999959922,-0.246299835,-0.996267825,0.334683663,0.982823023,-0.417116826,-0.958537839,0.493640850,0.922441583,-0.564426254	ok
0.286172	0.236473	1.735162504,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766231	-0.000004829	NaN	secant_step_tol	sign_change_pair	1.737106079	1.857106079	1.722106079	1.737106079	0.015000000	6	true	16	-0.995550818,0.014081453,0.995621334,-0.285467451,-0.989577450,0.484287360,0.926688859,-0.646566503,-0.791428962,0.775170959,0.580458345,-0.874993188,-0.315682035,0.947769350,0.038567958,-0.991074084	ok
0.286172	0.239279	1.737106079,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766357	-0.000004777	NaN	secant_step_tol	sign_change_pair	1.739053078	1.859053078	1.724053078	1.739053078	0.015000000	6	true	16	-0.995389715,0.101973123,0.999934260,-0.498551908,-0.917921881,0.736599746,0.645378398,-0.892255816,-0.194355128,0.981802166,-0.249784872,-0.991989080,0.572340697,0.866392538,-0.785914817,-0.534665401	ok
0.286172	0.242084	1.739053078,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766493	-0.000004724	NaN	secant_step_tol	sign_change_pair	1.741003515	1.861003515	1.726003515	1.741003515	0.015000000	6	true	16	-0.995226445,0.203962487,0.993428165,-0.672978926,-0.749344359,0.895776624,0.102629658,-0.995717282,0.480883266,0.926527821,-0.796551300,-0.477566256,0.957597009,-0.210933828,-0.993727583,0.656334307	ok
0.286172	0.244890	1.741003515,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766640	-0.000004669	NaN	secant_step_tol	sign_change_pair	1.742957408	1.862957408	1.727957408	1.742957408	0.015000000	6	true	16	-0.995061108,0.319321163,0.975222896,-0.802472431,-0.422826302,0.979107367,-0.459377071,-0.935506614,0.846170069,0.248468918,-0.992295302,0.555643092,0.879206896,-0.883718549,-0.072748270,0.999244448	ok
0.286172	0.247695	1.742957408,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766797	-0.000004613	NaN	secant_step_tol	sign_change_pair	1.744914771	1.864914771	1.729914771	1.744914771	0.015000000	6	true	16	-0.994893667,0.444468315,0.939503009,-0.892202610,0.069237269,0.997903106,-0.789565750,-0.427602768,0.988181253,-0.629004606,-0.805586628,0.942648173,-0.362172138,-0.965318992,0.867490769,0.063372270	ok
0.286172	0.250501	1.744914771,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570766965	-0.000004555	NaN	secant_step_tol	sign_change_pair	1.746875623	1.866875623	1.731875623	1.746875623	0.015000000	6	true	16	-0.994724239,0.572221488,0.866348172,-0.951444701,0.528678580,0.897612324,-0.943787885,0.491568828,0.918661649,-0.936475178,0.451521366,0.936358729,-0.928753977,0.408170681,0.951157575,-0.920595996	ok
0.286172	0.253307	1.746875623,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570767144	-0.000004496	NaN	secant_step_tol	sign_change_pair	1.748839978	1.868839978	1.733839978	1.748839978	0.015000000	6	true	16	-0.994552841,0.692652781,0.684330613,-0.987823009,0.800415609,0.265413943,-0.999942566,0.875634664,-0.213703389,-0.983623144,0.927950080,-0.528789421,-0.897180229,0.965627717,-0.708111436,-0.645289168	ok
0.286172	0.256112	1.748839978,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570767334	-0.000004435	NaN	secant_step_tol	sign_change_pair	1.750807853	1.870807853	1.735807853	1.750807853	0.015000000	6	true	16	-0.994379481,0.796040474,0.165095276,-0.998940957,0.932573610,-0.667096007,-0.733880001,0.993202740,-0.883136857,0.397318923,0.950791879,-0.970053265,0.808081125,0.134783543,-0.998119571,0.935528626	ok
0.286172	0.258918	1.750807853,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570767536	-0.000004372	NaN	secant_step_tol	sign_change_pair	1.752779267	1.872779267	1.737779267	1.752779267	0.015000000	6	true	16	-0.994204243,0.876373847,-0.582609166,-0.854006233,0.993580517,-0.926212256,0.739646804,0.479490177,-0.999999592,0.951901104,-0.824172781,0.100464629,0.986922042,-0.972583710,0.877441787,-0.496627857	ok
0.286172	0.261723	1.752779267,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570767750	-0.000004308	NaN	secant_step_tol	sign_change_pair	1.754754235	1.874754235	1.739754235	1.754754235	0.015000000	6	true	16	-0.994027164,0.932857743,-0.884177249,0.634274849,0.787156449,-0.999093061,0.967200528,-0.913418914,0.782813795,0.125895346,-0.993508565,0.982690041,-0.938414247,0.854844388,-0.483506386,-0.919570285	ok
0.286172	0.264529	1.754754235,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570767975	-0.000004243	NaN	secant_step_tol	sign_change_pair	1.756732777	1.876732777	1.741732777	1.756732777	0.015000000	6	true	16	-0.993848279,0.968710244,-0.965513165,0.937879201,-0.910485902,0.848152820,-0.575078515,-0.861141428,0.999680789,-0.984167812,0.965904419,-0.946442408,0.920788387,-0.874010593,0.720859606,0.498056051	ok
0.286172	0.267335	1.756732777,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570768213	-0.000004176	NaN	secant_step_tol	sign_change_pair	1.758714908	1.878714908	1.743714908	1.758714908	0.015000000	6	true	16	-0.993667650,0.988826719,-0.990243969,0.983197277,-0.982881073,0.981172742,-0.980615787,0.980109038,-0.979838953,0.979654494,-0.979542284,0.979470186,-0.979424903,0.979396151,-0.979377985,0.979366477	ok
0.286172	0.270140	1.758714908,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570768463	-0.000004107	NaN	secant_step_tol	sign_change_pair	1.760700648	1.880700648	1.745700648	1.760700648	0.015000000	6	true	16	-0.993485268,0.997971013,-0.998082078,0.996376153,-0.996778366,0.996474730,-0.996538018,0.996494845,-0.996503684,0.996497749,-0.996498949,0.996498160,-0.996498299,0.996498224,-0.996498212,0.996498205	ok
0.286172	0.272946	1.760700648,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570768726	-0.000004037	NaN	secant_step_tol	sign_change_pair	1.762690015	1.882690015	1.747690015	1.762690015	0.015000000	6	true	16	-0.993301210,0.999960967,-0.999961247,0.999898557,-0.999920951,0.999905101,-0.999910876,0.999908038,-0.999909176,0.999908650,-0.999908864,0.999908769,-0.999908810,0.999908793,-0.999908803,0.999908802	ok
0.286172	0.275752	1.762690015,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570769002	-0.000003966	NaN	secant_step_tol	sign_change_pair	1.764683028	1.884683028	1.749683028	1.764683028	0.015000000	6	true	16	-0.993115474,0.997547873,-0.999573623,0.999101335,-0.999325237,0.999221988,-0.999272091,0.999247989,-0.999259587,0.999253976,-0.999256723,0.999255415,-0.999256055,0.999255749,-0.999255894,0.999255815	ok
0.286172	0.278557	1.764683028,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570769292	-0.000003894	NaN	secant_step_tol	sign_change_pair	1.766679705	1.886679705	1.751679705	1.766679705	0.015000000	6	true	16	-0.992928167,0.992593517,-0.998375663,0.995938832,-0.997234001,0.996549451,-0.996914126,0.996720594,-0.996823510,0.996768860,-0.996797913,0.996782469,-0.996790677,0.996786304,-0.996788635,0.996787383	ok
0.286172	0.281363	1.766679705,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570769594	-0.000003820	NaN	secant_step_tol	sign_change_pair	1.768680066	1.888680066	1.753680066	1.768680066	0.015000000	6	true	16	-0.992739307,0.986308294,-0.997008589,0.991342631,-0.994635827,0.992733228,-0.993834744,0.993199532,-0.993566504,0.993354840,-0.993477007,0.993406522,-0.993447206,0.993423733,-0.993437268,0.993429445	ok
0.286172	0.284168	1.768680066,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570769911	-0.000003745	NaN	secant_step_tol	sign_change_pair	1.770684131	1.890684131	1.755684131	1.770684131	0.015000000	6	true	16	-0.992548944,0.979456685,-0.995775661,0.985846345,-0.992045255,0.988167493,-0.990578097,0.989079286,-0.990010047,0.989431880,-0.989790897,0.989567947,-0.989706385,0.989620405,-0.989673808,0.989640659	ok
0.286172	0.286974	1.770684131,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570770241	-0.000003668	NaN	secant_step_tol	sign_change_pair	1.772691919	1.892691919	1.757691919	1.772691919	0.015000000	6	true	16	-0.992357092,0.972508824,-0.994826126,0.979799646,-0.989758702,0.983053960,-0.987488026,0.984532109,-0.986489083,0.985188407,-0.986050382,0.985478125,-0.985857558,0.985605771,-0.985772740,0.985661959	ok
0.286172	0.289780	1.772691919,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570770586	-0.000003591	NaN	secant_step_tol	sign_change_pair	1.774703451	1.894703451	1.759703451	1.774703451	0.015000000	6	true	16	-0.992163798,0.965744610,-0.994232192,0.973455333,-0.987960581,0.977510020,-0.984809172,0.979615836,-0.983255987,0.980679403,-0.982489854,0.981211381,-0.982110908,0.981476371,-0.981923200,0.981608191	ok
0.286172	0.292585	1.774703451,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570770945	-0.000003512	NaN	secant_step_tol	sign_change_pair	1.776718746	1.896718746	1.761718746	1.776718746	0.015000000	6	true	16	-0.991969149,0.959322491,-0.994023980,0.967007724,-0.986773452,0.971622830,-0.982734610,0.974331950,-0.980530706,0.975875486,-0.979323696,0.976743695,-0.978659423,0.977228920,-0.978292605,0.977499185	ok
0.286172	0.295391	1.776718746,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570771319	-0.000003432	NaN	secant_step_tol	sign_change_pair	1.778737827	1.898737827	1.763737827	1.778737827	0.015000000	6	true	16	-0.991773091,0.953324161,-0.994204251,0.960611167,-0.986283397,0.965479191,-0.981431108,0.968666836,-0.978528188,0.970697685,-0.976781110,0.971973401,-0.975721885,0.972768140,-0.975076364,0.973260803	ok
0.286172	0.298196	1.778737827,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570771708	-0.000003351	NaN	secant_step_tol	sign_change_pair	1.780760714	1.900760714	1.765760714	1.780760714	0.015000000	6	true	16	-0.991575761,0.947783396,-0.994753538,0.954388680,-0.986550524,0.959180546,-0.981051274,0.962627077,-0.977474050,0.965055335,-0.975129841,0.966745418,-0.973578905,0.967911835,-0.972545211,0.968712075	ok
0.286172	0.301002	1.780760714,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570772113	-0.000003269	NaN	secant_step_tol	sign_change_pair	1.782787429	1.902787429	1.767787429	1.782787429	0.015000000	6	true	16	-0.991377145,0.942704359,-0.995627510,0.948436505,-0.987608465,0.952847586,-0.981735425,0.956269090,-0.977610161,0.958895523,-0.974691661,0.960898401,-0.972603294,0.962416982,-0.971094853,0.963562690	ok
0.286172	0.303808	1.782787429,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570772533	-0.000003186	NaN	secant_step_tol	sign_change_pair	1.784817994	1.904817994	1.769817994	1.784817994	0.015000000	6	true	16	-0.991177288,0.938073516,-0.996749036,0.942826694,-0.989450319,0.946615460,-0.983597015,0.949717454,-0.979182882,0.952260338,-0.975839791,0.954348892,-0.973276780,0.956064509,-0.971289603,0.957472246	ok
0.286172	0.306613	1.784817994,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570772969	-0.000003103	NaN	secant_step_tol	sign_change_pair	1.786852432	1.906852432	1.771852432	1.786852432	0.015000000	6	true	16	-0.990976250,0.933867154,-0.997991601,0.937609298,-0.991994104,0.940622564,-0.986677092,0.943163487,-0.982391717,0.945331168,-0.978949131,0.947200768,-0.976153031,0.948825841,-0.973854108,0.950245741	ok
0.286172	0.309419	1.786852432,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570773421	-0.000003018	NaN	secant_step_tol	sign_change_pair	1.788890764	1.908890764	1.773890764	1.788890764	0.015000000	6	true	16	-0.990774062,0.930056091,-0.999153059,0.932814596,-0.995011822,0.934996572,-0.990836708,0.936840240,-0.987246443,0.938426205,-0.984220606,0.939814182,-0.981657192,0.941045838,-0.979462411,0.942150965	ok
0.286172	0.312224	1.788890764,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570773890	-0.000002933	NaN	secant_step_tol	sign_change_pair	1.790933014	1.910933014	1.775933014	1.790933014	0.015000000	6	true	16	-0.990570757,0.926608952,-0.999913117,0.928455787,-0.997993828,0.929841626,-0.995524122,0.930979648,-0.993230019,0.931931163,-0.991223295,0.932741201,-0.989488317,0.933441244,-0.987985514,0.934053859	ok
0.286172	0.315030	1.790933014,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570774376	-0.000002846	NaN	secant_step_tol	sign_change_pair	1.792979206	1.912979206	1.777979206	1.792979206	0.015000000	6	true	16	-0.990366373,0.923493833,-0.999767382,0.924532073,-0.999898114,0.925230586,-0.999315285,0.925768768,-0.998612174,0.926188148,-0.997950826,0.926519044,-0.997373129,0.926782823,-0.996883030,0.926994855	ok
0.286172	0.317836	1.792979206,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570774879	-0.000002760	NaN	secant_step_tol	sign_change_pair	1.795029364	1.915029364	1.780029364	1.795029364	0.015000000	6	true	16	-0.990160951,0.920679716,-0.997926886,0.921032233,-0.998710419,0.921204182,-0.999104465,0.921323360,-0.999325572,0.921405567,-0.999456688,0.921462446,-0.999537798,0.921501900,-0.999589641,0.921529317	ok
0.286172	0.320641	1.795029364,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570775399	-0.000002672	NaN	secant_step_tol	sign_change_pair	1.797083512	1.917083512	1.782083512	1.797083512	0.015000000	6	true	16	-0.989954536,0.918136997,-0.993170346,0.917938290,-0.990746272,0.917778524,-0.988996494,0.917689531,-0.987871556,0.917639576,-0.987186571,0.917611489,-0.986782316,0.917595672,-0.986548047,0.917586742	ok
0.286172	0.323447	1.797083512,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570775937	-0.000002584	NaN	secant_step_tol	sign_change_pair	1.799141674	1.919141674	1.784141674	1.799141674	0.015000000	6	true	16	-0.989747177,0.915838007,-0.983642388,0.915229988,-0.969789755,0.914962203,-0.959729300,0.914875659,-0.954081760,0.914849921,-0.951302541,0.914842007,-0.950019584,0.914839316,-0.949444582,0.914838302	ok
0.286172	0.326253	1.799141674,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570776493	-0.000002496	NaN	secant_step_tol	sign_change_pair	1.801203877	1.921203877	1.786203877	1.801203877	0.015000000	6	true	16	-0.989538859,0.913757096,-0.966616246,0.912890101,-0.926777059,0.912794942,-0.900983902,0.912930694,-0.890055669,0.913021700,-0.886235596,0.913058073,-0.884995252,0.913070400,-0.884602591,0.913074354	ok
0.286172	0.329058	1.801203877,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570777067	-0.000002408	NaN	secant_step_tol	sign_change_pair	1.803270145	1.923270145	1.788270145	1.803270145	0.015000000	6	true	16	-0.989329682,0.911870780,-0.938316111,0.910913585,-0.851916458,0.911477898,-0.808505274,0.912220049,-0.796720972,0.912497610,-0.794208285,0.912562262,-0.793714406,0.912575228,-0.793619587,0.912577725	ok
0.286172	0.331864	1.803270145,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570777660	-0.000002319	NaN	secant_step_tol	sign_change_pair	1.805340505	1.925340505	1.790340505	1.805340505	0.015000000	6	true	16	-0.989119638,0.910157652,-0.894045437,0.909328937,-0.741066399,0.912274496,-0.690141869,0.916139086,-0.681433861,0.917361494,-0.679961245,0.917597876,-0.679725523,0.917636580,-0.679689522,0.917642520	ok
0.286172	0.334669	1.805340505,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570778272	-0.000002230	NaN	secant_step_tol	sign_change_pair	1.807414984	1.927414984	1.792414984	1.807414984	0.015000000	6	true	16	-0.988908825,0.908598332,-0.829051903,0.908273235,-0.602745280,-0.811496108,0.642416368,-0.926463118,0.552703889,0.892991687,-0.585051376,-0.877571341,0.597786919,0.850241894,-0.618074832,0.983888307	ok
0.286172	0.337475	1.807414984,0.000000000,1.385248069	maximum	continued_angle_secant_step_tol	1.570778904	-0.000002140	NaN	secant_step_tol	sign_change_pair	1.809493609	1.929493609	1.794493609	1.809493609	0.015000000	6	true	16	-0.988697181,0.907175358,-0.740471886,0.908438809,-0.455809196,-0.900068866,0.465266011,0.899806080,-0.465507807,-0.899798923,0.465515696,0.899798686,-0.465515797,-0.899798684,0.465515802,0.899798685	ok
