alpha	lambda	critical_state	critical_kind	critical_source	critical_theta	critical_theta_dx	critical_theta_dxx	critical_refine_mode	critical_scan_mode	critical_refine_input_x	critical_scan_best_x	critical_scan_left_x	critical_scan_right_x	critical_scan_spacing	critical_trace_len	critical_bracketed	absxmax_count	absxmax_dot_values	status
0.014028	0.200000	7.835212520,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.787642701	0.000000069	NaN	scan_grad_tol	sign_change_pair	7.808412107	7.838412107	7.823412107	7.838412107	0.015000000	1	true	16	0.814559399,0.791922166,0.751161600,0.706538044,0.660431297,0.613440537,0.565816297,0.517819255,0.469823206,0.422325931,0.375916639,0.331223882,0.288860943,0.249383104,0.213268237,0.180929214	ok
0.014028	0.202806	7.808412107,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.785960800	0.000000074	NaN	scan_grad_tol	sign_change_pair	7.781928138	7.811928138	7.796928138	7.811928138	0.015000000	1	true	16	0.814943481,0.792027515,0.750885355,0.705721740,0.658905941,0.611048974,0.562433470,0.513370908,0.464300397,0.415792228,0.368506493,0.323132445,0.280328424,0.240678632,0.204679121,0.172762213	ok
0.014028	0.205611	7.781928138,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.784280904	0.000000079	NaN	scan_grad_tol	sign_change_pair	7.755759286	7.785759286	7.770759286	7.785759286	0.015000000	1	true	16	0.815324779,0.792123298,0.750588640,0.704868445,0.657321684,0.608573024,0.558940808,0.508792274,0.458637331,0.409123665,0.360985242,0.314972650,0.271787859,0.232041826,0.196248098,0.164862781	ok
0.014028	0.208417	7.755759286,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.782603121	0.000000084	NaN	scan_grad_tol	sign_change_pair	7.729904201	7.759904201	7.744904201	7.759904201	0.015000000	1	true	16	0.815703302,0.792209471,0.750271232,0.703977682,0.655677722,0.606011790,0.555337766,0.504083983,0.452836941,0.402326482,0.353363173,0.306759051,0.263257887,0.223495183,0.188002143,0.157265361	ok
0.014028	0.211222	7.729904201,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.780927559	0.000000088	NaN	scan_grad_tol	sign_change_pair	7.704361510	7.734361510	7.719361510	7.734361510	0.015000000	1	true	16	0.816078995,0.792285963,0.749932875,0.703048924,0.653973306,0.603364409,0.551623924,0.499247003,0.446902567,0.395407448,0.345651125,0.298506695,0.254757481,0.215061493,0.179968803,0.150006018	ok
0.014028	0.214028	7.704361510,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.779254325	0.000000092	NaN	scan_grad_tol	sign_change_pair	7.679129815	7.709129815	7.694129815	7.709129815	0.015000000	1	true	16	0.816451869,0.792352677,0.749573358,0.702081670,0.652207624,0.600630055,0.547799044,0.494282509,0.440837975,0.388373870,0.337860483,0.290231057,0.246305914,0.206763792,0.172176202,0.143122570	ok
0.014028	0.216834	7.679129815,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.777583525	0.000000095	NaN	scan_grad_tol	sign_change_pair	7.654207698	7.684207698	7.669207698	7.684207698	0.015000000	1	true	16	0.816821895,0.792409559,0.749192416,0.701075450,0.650379963,0.597808026,0.543863011,0.489191976,0.434647352,0.381233551,0.330003135,0.281947989,0.237922639,0.198625440,0.164654244,0.136652055	ok
0.014028	0.219639	7.654207698,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.775915261	0.000000099	NaN	scan_grad_tol	sign_change_pair	7.629593716	7.659593716	7.644593716	7.659593716	0.015000000	1	true	16	0.817189048,0.792456526,0.748789853,0.700029759,0.648489564,0.594897599,0.539815830,0.483977159,0.428335267,0.373994785,0.322091396,0.273673652,0.229627388,0.190670174,0.157434211,0.130636606	ok
0.014028	0.222445	7.629593716,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.774249637	0.000000102	NaN	scan_grad_tol	sign_change_pair	7.605286403	7.635286403	7.620286403	7.635286403	0.015000000	1	true	16	0.817553322,0.792493509,0.748365431,0.698944106,0.646535751,0.591898204,0.535657735,0.478640110,0.421906744,0.366666336,0.314138012,0.265424469,0.221440007,0.182922085,0.150547522,0.125120455	ok
0.014028	0.225251	7.605286403,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.772586754	0.000000104	NaN	scan_grad_tol	sign_change_pair	7.581284273	7.611284273	7.596284273	7.611284273	0.015000000	1	true	16	0.817914701,0.792520458,0.747918900,0.697818022,0.644517814,0.588809286,0.531389078,0.473183196,0.415367221,0.359257415,0.306156078,0.257217095,0.213380541,0.175406118,0.144024958,0.120150429	ok
0.014028	0.228056	7.581284273,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.770926710	0.000000106	NaN	scan_grad_tol	sign_change_pair	7.557585814	7.587585814	7.572585814	7.587585814	0.015000000	1	true	16	0.818273143,0.792537286,0.747450042,0.696651022,0.642435115,0.585630385,0.527010425,0.467609065,0.408722520,0.351777650,0.298159017,0.249068305,0.205469219,0.168145356,0.137900843,0.115774653	ok
0.014028	0.230862	7.557585814,0.000000000,1.432448386	maximum	continued_angle_scan_grad_tol	0.769269605	0.000000108	NaN	scan_grad_tol	sign_change_pair	7.534189496	7.564189496	7.549189496	7.564189496	0.015000000	1	true	16	0.818628676,0.792543923,0.746958638,0.695442629,0.640287035,0.582361168,0.522522507,0.461920678,0.401978858,0.344237057,0.290160498,0.240995066,0.197726512,0.161175236,0.132211621,0.112041945	ok
