alpha	lambda	critical_state	critical_kind	critical_source	critical_theta	critical_theta_dx	critical_theta_dxx	critical_refine_mode	critical_scan_mode	critical_refine_input_x	critical_scan_best_x	critical_scan_left_x	critical_scan_right_x	critical_scan_spacing	critical_trace_len	critical_bracketed	absxmax_count	absxmax_dot_values	status
0.441884	0.200000	1.283756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.319849205	0.846263231	NaN	secant_step_tol	nearest_best_neighbor	1.283756280	1.283756280	1.268756280	1.283756280	0.015000000	3	false	16	-0.826883763,-0.462858046,-0.389648136,-0.366239512,-0.357541642,-0.353953342,-0.352277994,-0.351384874,-0.350854799,-0.350518544,-0.350298093,-0.350151652,-0.350054034,-0.349988980,-0.349945727,-0.349917013	ok
0.441884	0.202806	1.283756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.319720371	0.843715229	NaN	secant_step_tol	nearest_best_neighbor	1.283756280	1.283756280	1.268756280	1.283756280	0.015000000	3	false	16	-0.826849368,-0.462407966,-0.388682807,-0.364635610,-0.355291690,-0.351134016,-0.349006320,-0.347780671,-0.347019767,-0.346530090,-0.346210959,-0.346002655,-0.345867063,-0.345779171,-0.345722366,-0.345685767	ok
0.441884	0.205611	1.283756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.319602919	0.841351311	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.283756280	1.268756280	1.283756280	0.015000000	3	false	16	-0.826819381,-0.461949309,-0.387650598,-0.362843248,-0.352692336,-0.347805504,-0.345095531,-0.343446070,-0.342397364,-0.341722193,-0.341288250,-0.341011258,-0.340835725,-0.340725173,-0.340655912,-0.340612686	ok
0.441884	0.208417	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.332076356	0.839064044	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828765709,-0.461030892,-0.385675136,-0.359882564,-0.348794400,-0.343137723,-0.339872578,-0.337861166,-0.336594633,-0.335797191,-0.335299163,-0.334991178,-0.334802401,-0.334687512,-0.334617977,-0.334576043	ok
0.441884	0.211222	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.331942580	0.836107417	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828720967,-0.460509678,-0.384389183,-0.357494976,-0.345183884,-0.338413414,-0.334275681,-0.331653027,-0.329992607,-0.328957029,-0.328322325,-0.327939370,-0.327711199,-0.327576588,-0.327497735,-0.327451798	ok
0.441884	0.214028	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.331820959	0.833344223	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828680889,-0.459978612,-0.383015077,-0.354836832,-0.341046641,-0.332904971,-0.327689691,-0.324317378,-0.322180343,-0.320862016,-0.320068758,-0.319601222,-0.319330095,-0.319174835,-0.319086761,-0.319037154	ok
0.441884	0.216834	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.331710811	0.830767871	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828645410,-0.459437704,-0.381547089,-0.351878542,-0.336309609,-0.326490309,-0.319950284,-0.315658115,-0.312939222,-0.311277812,-0.310293316,-0.309724283,-0.309401724,-0.309221690,-0.309122400,-0.309068138	ok
0.441884	0.219639	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.331611480	0.828371995	NaN	secant_step_tol	nearest_best_neighbor	1.298756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828614464,-0.458886873,-0.379978990,-0.348586327,-0.330886992,-0.319022346,-0.310854179,-0.305425098,-0.301981505,-0.299887414,-0.298657267,-0.297954308,-0.297561340,-0.297345499,-0.297228584,-0.297165980	ok
0.441884	0.222445	1.298756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.331522334	0.826150451	NaN	secant_step_tol	nearest_best_neighbor	1.313756280	1.298756280	1.283756280	1.298756280	0.015000000	3	false	16	-0.828587987,-0.458326110,-0.378304026,-0.344921580,-0.324677262,-0.310322318,-0.300145533,-0.293290591,-0.288914689,-0.286243526,-0.284669667,-0.283767938,-0.283262641,-0.282984494,-0.282833597,-0.282752674	ok
0.441884	0.225251	1.313756280,0.000000000,1.455375237	maximum	continued_angle_secant_step_tol	0.343793074	0.823454139	NaN	secant_step_tol	nearest_best_neighbor	1.313756280	1.313756280	1.298756280	1.313756280	0.015000000	3	false	16	-0.830508671,-0.456908868,-0.374724847,-0.338521351,-0.315199959,-0.298177552,-0.286020244,-0.277810659,-0.272541091,-0.269289183,-0.267341420,-0.266201240,-0.265545569,-0.265173739,-0.264965214,-0.264849299	ok
