delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-1.02	-42.278888888888886	true	true	fallback_global	fallback_global	0.10339174927868792	0.0015589621950525157	124	44.998460834	0.10339174927868792	0.0015589621950525157	124	44.998460834	-15,0,-1,0,-12	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	true
-1.08	-42.278888888888886	true	true	fallback_local	fallback_global	0.11762131643937249	0.00836635960426019	13	0.135321583	0.11848410049266613	0.0053092921169290664	124	9.10218375	15,0,-1,0,1	0,0,0,0,-2,0	0,0,0,0,0,0,-1,1	false
-1.14	-42.278888888888886	true	true	fallback_local	fallback_global	0.1371869712853137	0.002709387472136943	13	0.207021125	0.13406001535634532	0.012669976129476714	124	9.000712167	15,-1,1,0,-1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,-1	false
-1.2	-42.278888888888886	true	true	fallback_local	fallback_global	0.156752626131255	0.003877813232152211	13	0.200668375	0.15739451407272248	0.0020520597694040146	124	10.24861225	15,1,0,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.26	-42.278888888888886	true	true	fallback_local	fallback_global	0.17631828097719632	0.010512822838925719	13	0.108841041	0.18016247671056995	0.000582202708834053	124	55.030099916	-16,-1,-1,0,-1,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.32	-42.278888888888886	true	true	fallback_local	fallback_global	0.2032210563903656	0.00427859999702383	13	0.097944333	0.20481214182509444	0.0005809149709556839	124	29.065058291	-16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.38	-42.278888888888886	true	true	fallback_local	fallback_global	0.2301238318035348	0.004709455588901949	13	0.168015375	0.22873672845304366	0.007662718133526503	124	6.841451209	16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-42.278888888888886	true	true	fallback_local	fallback_global	0.25702660721670406	0.010596973367489439	13	0.071598083	0.26049756619537834	0.0038550080590984714	124	45.451598209	16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-42.278888888888886	true	true	fallback_local	fallback_global	0.2940179234098118	0.003074270090038601	13	0.119875292	0.292379853173782	0.005947845235052993	124	5.458850833	16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-41.443333333333335	true	true	fallback_global	fallback_global	0.084	0.004222085687703798	124	62.47102125	0.084	0.004222085687703798	124	62.47102125	14,-2,2,-3	0,0,0,0,0,0,13	0,0,0,0,0,0,13	true
-1.02	-41.443333333333335	true	true	fallback_global	fallback_global	0.0983290730296461	0.0014698297039023138	124	44.592808291	0.0983290730296461	0.0014698297039023138	124	44.592808291	14,5,4,-2	0,0,0,0,0,0,0,0,0,0,-1	0,0,0,0,0,0,0,0,0,0,-1	true
-1.08	-41.443333333333335	true	true	fallback_local	fallback_global	0.1129590782419617	0.006056311092498865	13	0.154862166	0.11323560868230854	0.004967592714956823	124	9.178161208	-15,2,-2,1,0	0,0,0,0,1,0	0,0,0,0,0,0,0,-1,-1	false
-1.14	-41.443333333333335	true	true	fallback_local	fallback_global	0.12758908345427727	0.016599685778094137	13	0.094678416	0.132	0.0008599175674469648	124	9.305543584	-15,0,1,-1,0	0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.2	-41.443333333333335	true	true	fallback_local	fallback_global	0.1477053406212112	0.013988296101716697	13	0.125897625	0.15038666488321656	0.005319926860964081	124	60.452835875	-15,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0	false
-1.26	-41.443333333333335	true	true	fallback_local	fallback_global	0.16782159778814515	0.018515262416572975	13	0.114695666	0.17377910678058753	0.0010152645766567563	124	54.892200875	15,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.32	-41.443333333333335	true	true	fallback_local	fallback_global	0.1954814513926793	0.008479932010581165	13	0.082249875	0.19752338377262202	0.003072679829471749	124	30.420804375	15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.38	-41.443333333333335	true	true	fallback_local	fallback_global	0.22314130499721335	0.006847499573366363	13	0.187637041	0.22149633669486188	0.010857429121021769	124	6.861204209	15,0,-1,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.44	-41.443333333333335	true	true	fallback_local	fallback_global	0.2508011586017475	0.012160122893161958	13	0.140377208	0.253157016026218	0.006891294393204604	124	45.663813209	-16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-41.443333333333335	true	true	fallback_local	fallback_global	0.288833457307982	0.0021417601790900856	13	0.061269833	0.2850556115261572	0.00980336872345647	124	5.856731625	-16,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-40.60777777777778	true	true	fallback_global	fallback_global	0.07789674852735107	0.016697690502828145	124	62.381047625	0.07789674852735107	0.016697690502828145	124	62.381047625	-14,0,13	0,-1,-10,0,-1	0,-1,-10,0,-1	true
-1.02	-40.60777777777778	true	true	fallback_global	fallback_global	0.09256837103582133	0.006743356119859375	124	44.933965542	0.09256837103582133	0.006743356119859375	124	44.933965542	-14,0,0,-1	0,0,0,5,0	0,0,0,5,0	true
-1.08	-40.60777777777778	true	true	fallback_local	fallback_global	0.10760416173831319	0.004724353637837071	13	0.16356775	0.10854431244509634	0.0007054868580884637	124	8.918583375	14,0,-3,0,0	0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.14	-40.60777777777778	true	true	fallback_local	fallback_global	0.12467570726075636	0.004993688439121581	13	0.117194459	0.12482795560917388	0.004394267445867285	124	8.880355166	14,-1,0,-1,-1,-1	0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	false
-1.2	-40.60777777777778	true	true	fallback_local	fallback_global	0.14271977882668355	0.009259712248698768	13	0.144273125	0.14429372707711358	0.0036099253369094434	124	60.679719042	14,1,-1,1,-1	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	false
-1.26	-40.60777777777778	true	true	fallback_local	fallback_global	0.1615552973608674	0.017796904205565834	13	0.2750305	0.16673422690575238	0.0007376907083083573	124	54.801017958	-15,1,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
