delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-0.9177215189873418	-38.386774	true	true	predict	fallback_global	0.054459382626302656	0.052591765678684295	3	0.002123208	0.05452102106121906	0.052584468945867505	124	0.482350333	-13,-3,12,2	-1,-1,1,-13	-1,-1,1,-13	true
-0.930379746835443	-38.386774	true	true	predict	fallback_global	0.05666686267129868	0.05062039029550715	3	0.002935792	0.05684669012470811	0.05056506457865993	124	0.55475175	-13,-2,12,-13	-1,-3,-11,12	-1,-3,2,1,12	false
-0.9430379746835443	-38.386774	true	true	predict	fallback_global	0.05887434271629473	0.048760899618329336	3	0.002004875	0.05926311306238277	0.048550077493017374	124	0.675908125	-13,1,-3,12	-1,12,-12,-1	-1,12,12,12	false
-0.9556962025316456	-38.386774	true	true	fallback_local	fallback_global	0.06173589230146125	0.04654128792095739	13	0.008687666	0.0617321735542477	0.046541445109916674	124	0.478167917	-13,-1,-1,-1,12	-1,-13,12,12	-1,-13,12,12	true
-0.9683544303797469	-38.386774	true	true	predict	fallback_global	0.0645974418866278	0.04465318618465067	3	0.002029875	0.06429086920452562	0.044538054584591584	124	0.481561208	-13,-1,12,-13	0,-13,-3,-1,-13	0,-13,-3,-1,2	false
-0.9810126582278481	-38.386774	true	true	predict	fallback_global	0.06745899147179434	0.04290864706923553	3	0.00199825	0.06690836604854478	0.04254122047297806	124	0.45631925	-13,0,-13,3	0,-13,-12,0	0,-13,12,-2	false
-0.9936708860759493	-38.386774	true	true	fallback_local	fallback_global	0.06959416196661394	0.040551041132321296	13	0.008312416	0.06965689783417495	0.040552644868670516	124	0.464043209	-13,0,12,-13	0,12,-13,1	0,12,-13,1	true
-1.0063291139240507	-38.386774	true	true	fallback_local	fallback_global	0.07237395301990661	0.03856676810303445	13	0.008336541	0.07238615831173453	0.038566601788228766	124	0.45927025	-13,0,12,2	0,12,-2,1	0,12,-2,1	true
-1.018987341772152	-38.386774	true	true	predict	fallback_global	0.07515374407319927	0.036596881991604976	3	0.0020205	0.07522705044441447	0.036589605951991275	124	0.450959041	-13,0,11,1	0,-7,-1,1,9	0,-7,-1,0,12	false
-1.0316455696202531	-38.386774	true	true	predict	fallback_global	0.0779335351264919	0.034676951789084094	3	0.002038709	0.0781808668259429	0.034620166251831314	124	0.454293834	-13,0,10,2	0,2,-13,1	0,2,-13,-3,0	false
