[column] mismatches=25
-0.8417721518987342	-38.386774	predict	3,12,-12	3,-12,12
-0.8670886075949367	-38.386774	predict	-2,11,12,-13	-2,-12,12,-13
-0.930379746835443	-38.386774	predict	-1,-3,-11,12	-1,-3,2,1,12
-0.9430379746835443	-38.386774	predict	-1,12,-12,-1	-1,12,12,12
-0.9683544303797469	-38.386774	predict	0,-13,-3,-1,-13	0,-13,-3,-1,2
-0.9810126582278481	-38.386774	predict	0,-13,-12,0	0,-13,12,-2
-1.018987341772152	-38.386774	predict	0,-7,-1,1,9	0,-7,-1,0,12
-1.0316455696202531	-38.386774	predict	0,2,-13,1	0,2,-13,-3,0
-1.0443037974683544	-38.386774	predict	0,1,-13,0	0,1,-13,-1,-2
-1.0696202531645569	-38.386774	predict	0,-1,-1,2,-13	0,-1,-1,1,-2,-2
-1.0822784810126582	-38.386774	predict	0,-1,-13,-1,0	0,0,-13,0,-1
-1.0949367088607596	-38.386774	predict	0,0,12,-1,0	0,0,-12,-2
-1.1455696202531647	-38.386774	predict	0,0,0,-3,-6	0,0,0,2,13
-1.1582278481012658	-38.386774	predict	0,0,0,0,-1,0,0,0	0,0,0,0,-1,0,0
-1.1708860759493671	-38.386774	predict	0,0,0,0,7	0,0,0,0,3,0
-1.2088607594936709	-38.386774	predict	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
-1.2215189873417722	-38.386774	predict	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
-1.2341772151898733	-38.386774	predict	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
-1.2848101265822784	-38.386774	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.2974683544303798	-38.386774	predict	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3227848101265822	-38.386774	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3481012658227849	-38.386774	predict	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.360759493670886	-38.386774	predict	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0
-1.3860759493670887	-38.386774	predict	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3987341772151898	-38.386774	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0

[patch] mismatches=43
-1.08	-43.95	fallback_local	0,0,0,0,0,0,0,0,-1,-1,-1,1	0,0,0,-1,-1,0,-1
-1.14	-43.95	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1
-1.2	-43.95	fallback_local	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0
-1.32	-43.95	fallback_local	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0
-1.44	-43.95	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-43.114444444444445	fallback_local	0,0,0,0,0,1,-1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.14	-43.114444444444445	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0
-1.2	-43.114444444444445	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0
-1.26	-43.114444444444445	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0
-1.32	-43.114444444444445	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-42.278888888888886	fallback_local	0,0,0,0,-2,0	0,0,0,0,0,0,-1,1
-1.14	-42.278888888888886	fallback_local	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,-1
