time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
200	0.2	0.0121106153571	17.4719247178	NaN	1	72.8346766987	0.0728346766987	0
400	0.4	0.00731002634652	10.5461387589	NaN	1	72.8346766987	0.0728346766987	0
600	0.6	0.00551675757109	7.9589987896	NaN	1	72.8346766987	0.0728346766987	0
800	0.8	0.00453246310117	6.53896203907	NaN	1	72.8346766987	0.0728346766987	0
1000	1	0.00381194359866	5.49947212593	NaN	1	72.8346766987	0.0728346766987	0
