time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
200	0.2	0.0121108583738	17.4722753168	NaN	1	72.8346890334	0.0728346890334	0
400	0.4	0.00731043564276	10.5467292485	NaN	1	72.8346890334	0.0728346890334	0
600	0.6	0.00551720298036	7.95964137935	NaN	1	72.8346890334	0.0728346890334	0
800	0.8	0.00453291797947	6.53961828974	NaN	1	72.8346890334	0.0728346890334	0
1000	1	0.00381264118669	5.50047853272	NaN	1	72.8346890334	0.0728346890334	0
