time	time_seconds	lambda1_nat_per_timeunit	lambda2_nat_per_timeunit	lambda1_bits_per_second	lambda2_bits_per_second	positive_lyap_sum_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
200	0.2	0.01456030542	-0.0135940714886	21.0060804233	-19.6120995221	21.0060804233	NaN	1	72.8346771798	0.0728346771798	0
400	0.4	0.00722942891017	-0.0118877161046	10.4298612372	-17.1503490716	10.4298612372	NaN	1	72.8346771798	0.0728346771798	0
600	0.6	0.00496369715179	-0.00867406554124	7.16110126537	-12.5140313407	7.16110126537	NaN	1	72.8346771798	0.0728346771798	0
800	0.8	0.0038792512504	-0.00651310838496	5.59657654131	-9.39642916776	5.59657654131	NaN	1	72.8346771798	0.0728346771798	0
1000	1	0.00315569439495	-0.00521324092486	4.55270465416	-7.52111682926	4.55270465416	NaN	1	72.8346771798	0.0728346771798	0
