time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	first_symbol_time	last_symbol_time	mean_event_interval_seconds	lz76_phrase_count
10000	10	0.000870875543395	1.25640782769	NaN	1	2211.95160888	2211.95160888	NaN	0
20000	20	0.000673541273028	0.971714654431	0.108271197216	2	2211.95160888	11448.0183165	9.23606670762	2
30000	30	0.000505111163322	0.728721370423	0.14174779756	3	2211.95160888	24575.0856823	11.1815670367	3
40000	40	0.000356330533491	0.514076293585	0.197829441766	4	2211.95160888	32541.1076053	10.1097186655	4
50000	50	0.000466531337579	0.673062447144	0.239118683295	5	2211.95160888	41053.3848736	9.71035831618	5
60000	60	0.000426483431183	0.615285531189	0.255044592309	7	2211.95160888	58820.9750848	9.43483724599	6
70000	70	0.000404359472638	0.583367405912	0.255044592309	7	2211.95160888	58820.9750848	9.43483724599	6
80000	80	0.000333495548278	0.48113237366	0.291153581824	9	2211.95160888	79633.9388567	9.67774840598	8
90000	90	0.000345991864726	0.499160747428	0.285420327057	10	2211.95160888	86010.7564445	9.31097831507	8
100000	100	0.00035260683444	0.508704131431	0.312759420044	11	2211.95160888	92711.0339774	9.04990823685	9
110000	110	0.000303347672167	0.437638182301	0.283895762684	12	2211.95160888	106390.824697	9.47080664437	9
120000	120	0.000302824224052	0.4368830063	0.30561779539	13	2211.95160888	113978.692963	9.31389511284	10
130000	130	0.000311859497942	0.449918151135	0.294251952789	14	2211.95160888	122360.720905	9.24221302278	10
140000	140	0.000265463763283	0.382983254824	0.298226296726	15	2211.95160888	136709.626323	9.60697676529	11
150000	150	0.000260719534673	0.376138779736	0.289588027602	16	2211.95160888	144655.685701	9.49624893947	11
160000	160	0.000262400883455	0.378564453285	0.309537533294	17	2211.95160888	151351.494448	9.32122142745	12
170000	170	0.000266144017277	0.383964653888	0.297882800094	18	2211.95160888	160862.098584	9.33236158677	12
180000	180	0.000246365261661	0.355429941245	0.30241992472	19	2211.95160888	175205.119977	9.61073157601	13
190000	190	0.000243088163911	0.350702088574	0.289675687345	21	2211.95160888	189942.835591	9.38654419911	13
200000	200	0.000240303127272	0.346684130025	0.303341447143	22	2211.95160888	198671.166468	9.35520070758	14
210000	210	0.000232416580684	0.335306248374	0.317431655688	23	2211.95160888	206675.74429	9.29380875823	15
220000	220	0.000249475575667	0.359917175837	0.30698750215	24	2211.95160888	216907.453824	9.33458705283	15
230000	230	0.000237647930205	0.342853490384	0.313764822031	25	2211.95160888	229546.649658	9.47227908538	16
240000	240	0.000236106065679	0.340629050079	0.307436415792	26	2211.95160888	237429.555925	9.40870417264	16
250000	250	0.000228053304486	0.329011371441	0.301939572366	27	2211.95160888	244844.900805	9.33203650754	16
260000	260	0.00023253796039	0.335481362273	0.295247438818	28	2211.95160888	253427.06492	9.30426345597	16
270000	270	0.000221180370045	0.319095823005	0.300624690786	29	2211.95160888	267452.623445	9.472881137	17
280000	280	0.000220655887356	0.318339154431	0.292775472033	30	2211.95160888	277633.141191	9.49728239938	17
290000	290	0.000231774290238	0.334379619132	0.299911925695	31	2211.95160888	289959.44038	9.59158295904	18
300000	300	0.000231187915965	0.333533659876	0.309928174046	32	2211.95160888	299155.752486	9.57883228636	19
310000	310	0.000230722458427	0.332862146594	0.302451461553	33	2211.95160888	309498.084932	9.60269166635	19
320000	320	0.000239384989627	0.345359537398	0.313877150722	34	2211.95160888	316846.614875	9.53438373534	20
330000	330	0.000231612096696	0.334145623313	0.310144737637	35	2211.95160888	323528.515712	9.4504871795	20
340000	340	0.000235774460833	0.340150645412	0.314868709611	36	2211.95160888	337439.404272	9.57792721895	21
350000	350	0.000234517066386	0.338336608678	0.326130340911	37	2211.95160888	344131.87516	9.4977756542	22
360000	360	0.000233332701725	0.336627931655	0.31970258927	38	2211.95160888	353839.167794	9.50343827527	22
370000	370	0.00022872240221	0.329976675409	0.309855337208	39	2211.95160888	367857.871708	9.62226105524	22
