block_size	block_entropy_bits	conditional_entropy_bits	mean_event_interval_seconds	block_event_interval_seconds	abramov_block_entropy_bits_per_second	abramov_conditional_entropy_bits_per_second	sample_count
1	3.31794398371	3.31794398371	9.57115465834	9.57115465834	0.346660784633	0.346660784633	1045
2	6.23495621831	2.9170122346	9.57115465834	19.1423093167	0.325715989391	0.304771194148	1044
3	8.17450099364	1.93954477533	9.57115465834	28.713463975	0.284692261468	0.202644805623	1043
4	9.22627062571	1.05176963207	9.57115465834	38.2846186334	0.240991577167	0.109889524265	1042
5	9.70437813402	0.478107508312	9.57115465834	47.8557732917	0.202783853786	0.0499529602622	1041
6	9.9160896159	0.211711481878	9.57115465834	57.4269279501	0.172673168666	0.022119743065	1040
7	9.98175483062	0.0656652147243	9.57115465834	66.9980826084	0.148985679023	0.00686074116116	1039
8	10.0061032524	0.0243484218178	9.57115465834	76.5692372668	0.130680461366	0.0025439377679	1038
