trajectory	initial_state	post_transient_state	final_state	retcode	n_symbols	final_lambda1_bits_per_second	final_lz76_bits_per_second	final_lz76_phrase_count	events_path	convergence_path	metadata_path
1	0.7913218438453058,0.10950107425528167,0.49756135167575705,0.9825545679487505,-42.14903489879139	0.8134110565874426,0.12443966505423977,0.45238911326361547,0.8164037195707864,-38.978834535297295	0.8307603554903985,0.4525165413113399,0.1728969023442868,0.697684442431883,26.0776085612601	Success	1055	0.327829190787	0.360599219251	359	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj01_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj01_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj01_metadata.txt
2	0.925328435488879,0.20941877542882287,0.20523356368511406,1.0897407299764779,-34.20608521548568	0.6817238565546244,0.10663470389997769,0.5922215110384738,0.823153575718053,-45.88007333573935	0.6157198437834857,0.06431302503421957,0.7309183157915697,0.8253175737379075,-47.76782818418429	Success	1043	0.328187528057	0.358868338678	358	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj02_events.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj02_convergence.tsv	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/kneading/experiment/attempt-058/smoke_ensemble2_qrdt10_trajectories/traj02_metadata.txt
